Index         V(1)             V(2)           I(VIDMON)
0       -1.50000000e+01  0.00000000e+00   -1.18314996e-03  
1       -1.40000000e+01  0.00000000e+00   -1.17843324e-03  
2       -1.30000000e+01  0.00000000e+00   -1.17371648e-03  
3       -1.20000000e+01  0.00000000e+00   -1.16899968e-03  
4       -1.10000000e+01  0.00000000e+00   -1.16428284e-03  
5       -1.00000000e+01  0.00000000e+00   -1.15956597e-03  
6       -9.00000000e+00  0.00000000e+00   -1.15484906e-03  
7       -8.00000000e+00  0.00000000e+00   -1.15013211e-03  
8       -7.00000000e+00  0.00000000e+00   -1.14541513e-03  
9       -6.00000000e+00  0.00000000e+00   -1.14069810e-03  
10      -5.00000000e+00  0.00000000e+00   -1.13598104e-03  
11      -4.00000000e+00  0.00000000e+00   -1.13126395e-03  
12      -3.00000000e+00  0.00000000e+00   -1.12654682e-03  
13      -2.00000000e+00  0.00000000e+00   -1.06722614e-03  
14      -1.00000000e+00  0.00000000e+00   -7.17440141e-04  
15      0.00000000e+00   0.00000000e+00   1.73146240e-17   
16      -1.50000000e+01  5.00000000e-01   -6.40103185e-04  
17      -1.40000000e+01  5.00000000e-01   -6.37550606e-04  
18      -1.30000000e+01  5.00000000e-01   -6.34998014e-04  
19      -1.20000000e+01  5.00000000e-01   -6.32445407e-04  
20      -1.10000000e+01  5.00000000e-01   -6.29892787e-04  
21      -1.00000000e+01  5.00000000e-01   -6.27340152e-04  
22      -9.00000000e+00  5.00000000e-01   -6.24787503e-04  
23      -8.00000000e+00  5.00000000e-01   -6.22234840e-04  
24      -7.00000000e+00  5.00000000e-01   -6.19682164e-04  
25      -6.00000000e+00  5.00000000e-01   -6.17129473e-04  
26      -5.00000000e+00  5.00000000e-01   -6.14576768e-04  
27      -4.00000000e+00  5.00000000e-01   -6.12024049e-04  
28      -3.00000000e+00  5.00000000e-01   -6.09471316e-04  
29      -2.00000000e+00  5.00000000e-01   -6.05471373e-04  
30      -1.00000000e+00  5.00000000e-01   -4.45396120e-04  
31      0.00000000e+00   5.00000000e-01   -1.39864625e-10  
32      -1.50000000e+01  1.00000000e+00   -2.75694719e-04  
33      -1.40000000e+01  1.00000000e+00   -2.74595036e-04  
34      -1.30000000e+01  1.00000000e+00   -2.73495348e-04  
35      -1.20000000e+01  1.00000000e+00   -2.72395657e-04  
36      -1.10000000e+01  1.00000000e+00   -2.71295962e-04  
37      -1.00000000e+01  1.00000000e+00   -2.70196264e-04  
38      -9.00000000e+00  1.00000000e+00   -2.69096561e-04  
39      -8.00000000e+00  1.00000000e+00   -2.67996855e-04  
40      -7.00000000e+00  1.00000000e+00   -2.66897145e-04  
41      -6.00000000e+00  1.00000000e+00   -2.65797431e-04  
42      -5.00000000e+00  1.00000000e+00   -2.64697713e-04  
43      -4.00000000e+00  1.00000000e+00   -2.63597991e-04  
44      -3.00000000e+00  1.00000000e+00   -2.62498266e-04  
45      -2.00000000e+00  1.00000000e+00   -2.61398537e-04  
46      -1.00000000e+00  1.00000000e+00   -2.24499845e-04  
47      0.00000000e+00   1.00000000e+00   -1.40335800e-10  
48      -1.50000000e+01  1.50000000e+00   -6.75225303e-05  
49      -1.40000000e+01  1.50000000e+00   -6.72531373e-05  
50      -1.30000000e+01  1.50000000e+00   -6.69837439e-05  
51      -1.20000000e+01  1.50000000e+00   -6.67143500e-05  
52      -1.10000000e+01  1.50000000e+00   -6.64449556e-05  
53      -1.00000000e+01  1.50000000e+00   -6.61755609e-05  
54      -9.00000000e+00  1.50000000e+00   -6.59061656e-05  
55      -8.00000000e+00  1.50000000e+00   -6.56367700e-05  
56      -7.00000000e+00  1.50000000e+00   -6.53673738e-05  
57      -6.00000000e+00  1.50000000e+00   -6.50979773e-05  
58      -5.00000000e+00  1.50000000e+00   -6.48285803e-05  
59      -4.00000000e+00  1.50000000e+00   -6.45591828e-05  
60      -3.00000000e+00  1.50000000e+00   -6.42897849e-05  
61      -2.00000000e+00  1.50000000e+00   -6.40203866e-05  
62      -1.00000000e+00  1.50000000e+00   -6.31626435e-05  
63      0.00000000e+00   1.50000000e+00   -1.40555300e-10  
End of Xyce(TM) Simulation
