Index        FREQ           Re(V(19))        Im(V(19))
0       1.00000000e+02   4.02819750e-08   2.17348290e-06   
1       1.05925373e+02   5.07538733e-08   2.58474453e-06   
2       1.12201845e+02   6.39545511e-08   3.07405036e-06   
3       1.18850223e+02   8.05977504e-08   3.65628638e-06   
4       1.25892541e+02   1.01585008e-07   4.34920320e-06   
5       1.33352143e+02   1.28055528e-07   5.17397589e-06   
6       1.41253754e+02   1.61449488e-07   6.15587593e-06   
7       1.49623566e+02   2.03588479e-07   7.32507885e-06   
8       1.58489319e+02   2.56777830e-07   8.71763623e-06   
9       1.67880402e+02   3.23936931e-07   1.03766471e-05   
10      1.77827941e+02   4.08765439e-07   1.23536719e-05   
11      1.88364909e+02   5.15955576e-07   1.47104427e-05   
12      1.99526231e+02   6.51463765e-07   1.75209349e-05   
13      2.11348904e+02   8.22858840e-07   2.08738833e-05   
14      2.23872114e+02   1.03976936e-06   2.48758447e-05   
15      2.37137371e+02   1.31445955e-06   2.96549351e-05   
16      2.51188643e+02   1.66257291e-06   3.53654053e-05   
17      2.66072506e+02   2.10409476e-06   4.21932578e-05   
18      2.81838293e+02   2.66460257e-06   5.03631692e-05   
19      2.98538262e+02   3.37689549e-06   6.01470527e-05   
20      3.16227766e+02   4.28312640e-06   7.18746938e-05   
21      3.34965439e+02   5.43760365e-06   8.59470211e-05   
22      3.54813389e+02   6.91048993e-06   1.02852749e-04   
23      3.75837404e+02   8.79271107e-06   1.23189362e-04   
24      3.98107171e+02   1.12025078e-05   1.47689719e-04   
25      4.21696503e+02   1.42942353e-05   1.77256015e-04   
26      4.46683592e+02   1.82702628e-05   2.13003414e-04   
27      4.73151259e+02   2.33971868e-05   2.56316527e-04   
28      5.01187234e+02   3.00281049e-05   3.08923103e-04   
29      5.30884444e+02   3.86334907e-05   3.72991002e-04   
30      5.62341325e+02   4.98444162e-05   4.51256990e-04   
31      5.95662144e+02   6.45137155e-05   5.47199514e-04   
32      6.30957344e+02   8.38035620e-05   6.65272958e-04   
33      6.68343918e+02   1.09312501e-04   8.11228998e-04   
34      7.07945784e+02   1.43262345e-04   9.92562977e-04   
35      7.49894209e+02   1.88777472e-04   1.21914245e-03   
36      7.94328235e+02   2.50309444e-04   1.50410548e-03   
37      8.41395142e+02   3.34295006e-04   1.86516521e-03   
38      8.91250938e+02   4.50197493e-04   2.32653842e-03   
39      9.44060876e+02   6.12194485e-04   2.92185200e-03   
40      1.00000000e+03   8.41986188e-04   3.69861767e-03   
41      1.05925373e+03   1.17361086e-03   4.72528469e-03   
42      1.12201845e+03   1.66198808e-03   6.10264825e-03   
43      1.18850223e+03   2.39868131e-03   7.98283908e-03   
44      1.25892541e+03   3.54233368e-03   1.06019396e-02   
45      1.33352143e+03   5.38066454e-03   1.43379259e-02   
46      1.41253754e+03   8.46507380e-03   1.98171944e-02   
47      1.49623566e+03   1.39264193e-02   2.81162110e-02   
48      1.58489319e+03   2.42902779e-02   4.11446623e-02   
49      1.67880402e+03   4.58510075e-02   6.22941955e-02   
50      1.77827941e+03   9.67008520e-02   9.65812784e-02   
51      1.88364909e+03   2.38171664e-01   1.37741884e-01   
52      1.99526231e+03   6.46788410e-01   -2.40657757e-02  
53      2.11348904e+03   4.30732857e-01   -1.02635635e+00  
54      2.23872114e+03   -5.16006821e-01  -9.25305422e-01  
55      2.37137371e+03   -9.72362654e-01  -3.82739473e-01  
56      2.51188643e+03   -9.53192915e-01  3.03944732e-01   
57      2.66072506e+03   -5.63426866e-01  7.42542168e-01   
58      2.81838293e+03   2.10905689e-02   9.84129218e-01   
59      2.98538262e+03   7.77412667e-01   3.55900645e-01   
60      3.16227766e+03   3.40972667e-01   -1.44673551e-01  
61      3.34965439e+03   1.25696918e-01   -1.15894317e-01  
62      3.54813389e+03   5.56159069e-02   -7.37014889e-02  
63      3.75837404e+03   2.81315920e-02   -4.76901691e-02  
64      3.98107171e+03   1.55973235e-02   -3.20453015e-02  
65      4.21696503e+03   9.23457577e-03   -2.22931769e-02  
66      4.46683592e+03   5.74132169e-03   -1.59657548e-02  
67      4.73151259e+03   3.70593398e-03   -1.17108866e-02  
68      5.01187234e+03   2.46354491e-03   -8.76107392e-03  
69      5.30884444e+03   1.67647016e-03   -6.66258514e-03  
70      5.62341325e+03   1.16253397e-03   -5.13674525e-03  
71      5.95662144e+03   8.18483150e-04   -4.00646079e-03  
72      6.30957344e+03   5.83340796e-04   -3.15575952e-03  
73      6.68343918e+03   4.19824210e-04   -2.50666184e-03  
74      7.07945784e+03   3.04451260e-04   -2.00549858e-03  
75      7.49894209e+03   2.22048481e-04   -1.61456288e-03  
76      7.94328235e+03   1.62590699e-04   -1.30687309e-03  
77      8.41395142e+03   1.19324249e-04   -1.06280438e-03  
78      8.91250938e+03   8.76211096e-05   -8.67872804e-04  
79      9.44060876e+03   6.42619132e-05   -7.11247671e-04  
80      1.00000000e+04   4.69773406e-05   -5.84734154e-04  
81      1.05925373e+04   3.41489630e-05   -4.82065705e-04  
82      1.12201845e+04   2.46105993e-05   -3.98404289e-04  
83      1.18850223e+04   1.75142857e-05   -3.29982387e-04  
84      1.25892541e+04   1.22385159e-05   -2.73843180e-04  
85      1.33352143e+04   8.32458610e-06   -2.27649734e-04  
86      1.41253754e+04   5.43190390e-06   -1.89543272e-04  
87      1.49623566e+04   3.30626542e-06   -1.58036848e-04  
88      1.58489319e+04   1.75711381e-06   -1.31934796e-04  
89      1.67880402e+04   6.41087719e-07   -1.10271175e-04  
90      1.77827941e+04   -1.49977916e-07  -9.22623460e-05  
91      1.88364909e+04   -6.97869040e-07  -7.72701520e-05  
92      1.99526231e+04   -1.06451509e-06  -6.47731341e-05  
93      2.11348904e+04   -1.29684348e-06  -5.43438821e-05  
94      2.23872114e+04   -1.43041217e-06  -4.56311037e-05  
95      2.37137371e+04   -1.49214102e-06  -3.83453516e-05  
96      2.51188643e+04   -1.50237436e-06  -3.22476032e-05  
97      2.66072506e+04   -1.47644420e-06  -2.71400811e-05  
98      2.81838293e+04   -1.42585895e-06  -2.28588410e-05  
99      2.98538262e+04   -1.35920972e-06  -1.92677649e-05  
100     3.16227766e+04   -1.28286285e-06  -1.62536743e-05  
101     3.34965439e+04   -1.20149012e-06  -1.37223419e-05  
102     3.54813389e+04   -1.11847509e-06  -1.15952266e-05  
103     3.75837404e+04   -1.03622483e-06  -9.80679380e-06  
104     3.98107171e+04   -9.56409190e-07  -8.30230969e-06  
105     4.21696503e+04   -8.80144278e-07  -7.03602262e-06  
106     4.46683592e+04   -8.08133231e-07  -5.96965988e-06  
107     4.73151259e+04   -7.40773939e-07  -5.07118312e-06  
108     5.01187234e+04   -6.78241385e-07  -4.31375615e-06  
109     5.30884444e+04   -6.20550394e-07  -3.67488773e-06  
110     5.62341325e+04   -5.67603273e-07  -3.13571844e-06  
111     5.95662144e+04   -5.19225826e-07  -2.68042700e-06  
112     6.30957344e+04   -4.75194400e-07  -2.29573527e-06  
113     6.68343918e+04   -4.35256067e-07  -1.97049522e-06  
114     7.07945784e+04   -3.99143517e-07  -1.69534397e-06  
115     7.49894209e+04   -3.66585933e-07  -1.46241548e-06  
116     7.94328235e+04   -3.37316799e-07  -1.26509936e-06  
117     8.41395142e+04   -3.11079388e-07  -1.09783904e-06  
118     8.91250938e+04   -2.87630520e-07  -9.55962724e-07  
119     9.44060876e+04   -2.66743033e-07  -8.35541803e-07  
120     1.00000000e+05   -2.48207314e-07  -7.33272131e-07  
