Index       V(D)              V(G)              I(VD)      
94      -3.60000000e-01   -1.00000000e+00    3.46348549e-05
95      -3.50000000e-01   -1.00000000e+00    3.39184566e-05
96      -3.40000000e-01   -1.00000000e+00    3.31857678e-05
97      -3.30000000e-01   -1.00000000e+00    3.24369809e-05
98      -3.20000000e-01   -1.00000000e+00    3.16722910e-05
99      -3.10000000e-01   -1.00000000e+00    3.08918958e-05
100     -3.00000000e-01   -1.00000000e+00    3.00959946e-05
101     -2.90000000e-01   -1.00000000e+00    2.92847879e-05
102     -2.80000000e-01   -1.00000000e+00    2.84584772e-05
103     -2.70000000e-01   -1.00000000e+00    2.76172645e-05
104     -2.60000000e-01   -1.00000000e+00    2.67613519e-05
105     -2.50000000e-01   -1.00000000e+00    2.58909415e-05
106     -2.40000000e-01   -1.00000000e+00    2.50062349e-05
107     -2.30000000e-01   -1.00000000e+00    2.41074332e-05
108     -2.20000000e-01   -1.00000000e+00    2.31947365e-05
109     -2.10000000e-01   -1.00000000e+00    2.22683444e-05
110     -2.00000000e-01   -1.00000000e+00    2.13284551e-05
111     -1.90000000e-01   -1.00000000e+00    2.03752661e-05
112     -1.80000000e-01   -1.00000000e+00    1.94089735e-05
113     -1.70000000e-01   -1.00000000e+00    1.84297728e-05
114     -1.60000000e-01   -1.00000000e+00    1.74378581e-05
115     -1.50000000e-01   -1.00000000e+00    1.64334231e-05
116     -1.40000000e-01   -1.00000000e+00    1.54166607e-05
117     -1.30000000e-01   -1.00000000e+00    1.43877637e-05
118     -1.20000000e-01   -1.00000000e+00    1.33469252e-05
119     -1.10000000e-01   -1.00000000e+00    1.22943387e-05
120     -1.00000000e-01   -1.00000000e+00    1.12301993e-05
121     -9.00000000e-02   -1.00000000e+00    1.01547038e-05
122     -8.00000000e-02   -1.00000000e+00    9.06805085e-06
123     -7.00000000e-02   -1.00000000e+00    7.97043937e-06
124     -6.00000000e-02   -1.00000000e+00    6.86206693e-06
125     -5.00000000e-02   -1.00000000e+00    5.74313372e-06
126     -4.00000000e-02   -1.00000000e+00    4.61386513e-06
127     -3.00000000e-02   -1.00000000e+00    3.47455380e-06
128     -2.00000000e-02   -1.00000000e+00    2.32557545e-06
129     -1.00000000e-02   -1.00000000e+00    1.16731005e-06
130      0.00000000e+00   -1.00000000e+00    1.83445603e-27
