Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
0       -1.00000000e-01   -1.00000000e+00   -2.35132531e-05    1.50956810e-05    1.50956880e-05    0.00000000e+00    1.40527368e-01   -1.99999953e-01   -9.99999765e-02   -1.09999998e+00    1.16722308e+00
1       -9.90000000e-02   -1.00000000e+00   -2.32812199e-05    1.49414261e-05    1.49414286e-05    0.00000000e+00    1.40644645e-01   -1.97999953e-01   -9.89999767e-02   -1.09899998e+00    1.16625407e+00
2       -9.80000000e-02   -1.00000000e+00   -2.30491057e-05    1.47872499e-05    1.47872517e-05    0.00000000e+00    1.40761969e-01   -1.95999954e-01   -9.79999770e-02   -1.09799998e+00    1.16528505e+00
3       -9.70000000e-02   -1.00000000e+00   -2.28169109e-05    1.46331539e-05    1.46331571e-05    0.00000000e+00    1.40879343e-01   -1.93999954e-01   -9.69999772e-02   -1.09699998e+00    1.16431602e+00
4       -9.60000000e-02   -1.00000000e+00   -2.25846360e-05    1.44791430e-05    1.44791445e-05    0.00000000e+00    1.40996775e-01   -1.91999955e-01   -9.59999774e-02   -1.09599998e+00    1.16334696e+00
5       -9.50000000e-02   -1.00000000e+00   -2.23522815e-05    1.43252066e-05    1.43252133e-05    0.00000000e+00    1.41114270e-01   -1.89999955e-01   -9.49999776e-02   -1.09499998e+00    1.16237789e+00
6       -9.40000000e-02   -1.00000000e+00   -2.21198479e-05    1.41713577e-05    1.41713633e-05    0.00000000e+00    1.41231833e-01   -1.87999956e-01   -9.39999779e-02   -1.09399998e+00    1.16140879e+00
7       -9.30000000e-02   -1.00000000e+00   -2.18873356e-05    1.40175903e-05    1.40175942e-05    0.00000000e+00    1.41349472e-01   -1.85999956e-01   -9.29999781e-02   -1.09299998e+00    1.16043966e+00
8       -9.20000000e-02   -1.00000000e+00   -2.16547451e-05    1.38639020e-05    1.38639054e-05    0.00000000e+00    1.41467193e-01   -1.83999957e-01   -9.19999783e-02   -1.09199998e+00    1.15947050e+00
9       -9.10000000e-02   -1.00000000e+00   -2.14220770e-05    1.37102956e-05    1.37102967e-05    0.00000000e+00    1.41585001e-01   -1.81999957e-01   -9.09999786e-02   -1.09099998e+00    1.15850130e+00
10      -9.00000000e-02   -1.00000000e+00   -2.11893317e-05    1.35567671e-05    1.35567676e-05    0.00000000e+00    1.41702904e-01   -1.79999958e-01   -8.99999788e-02   -1.08999998e+00    1.15753207e+00
11      -8.90000000e-02   -1.00000000e+00   -2.09565096e-05    1.34033139e-05    1.34033179e-05    0.00000000e+00    1.41820908e-01   -1.77999958e-01   -8.89999790e-02   -1.08899998e+00    1.15656280e+00
12      -8.80000000e-02   -1.00000000e+00   -2.07236114e-05    1.32499420e-05    1.32499470e-05    0.00000000e+00    1.41939021e-01   -1.75999959e-01   -8.79999793e-02   -1.08799998e+00    1.15559348e+00
13      -8.70000000e-02   -1.00000000e+00   -2.04906374e-05    1.30966517e-05    1.30966546e-05    0.00000000e+00    1.42057248e-01   -1.73999959e-01   -8.69999795e-02   -1.08699998e+00    1.15462412e+00
14      -8.60000000e-02   -1.00000000e+00   -2.02575882e-05    1.29434360e-05    1.29434404e-05    0.00000000e+00    1.42175599e-01   -1.71999959e-01   -8.59999797e-02   -1.08599998e+00    1.15365471e+00
15      -8.50000000e-02   -1.00000000e+00   -2.00244643e-05    1.27903030e-05    1.27903038e-05    0.00000000e+00    1.42294079e-01   -1.69999960e-01   -8.49999800e-02   -1.08499998e+00    1.15268524e+00
16      -8.40000000e-02   -1.00000000e+00   -1.97912662e-05    1.26372421e-05    1.26372446e-05    0.00000000e+00    1.42412696e-01   -1.67999960e-01   -8.39999802e-02   -1.08399998e+00    1.15171571e+00
17      -8.30000000e-02   -1.00000000e+00   -1.95579944e-05    1.24842625e-05    1.24842623e-05    0.00000000e+00    1.42531457e-01   -1.65999961e-01   -8.29999804e-02   -1.08299998e+00    1.15074612e+00
18      -8.20000000e-02   -1.00000000e+00   -1.93246493e-05    1.23313520e-05    1.23313565e-05    0.00000000e+00    1.42650371e-01   -1.63999961e-01   -8.19999807e-02   -1.08199998e+00    1.14977646e+00
19      -8.10000000e-02   -1.00000000e+00   -1.90912316e-05    1.21785270e-05    1.21785268e-05    0.00000000e+00    1.42769446e-01   -1.61999962e-01   -8.09999809e-02   -1.08099998e+00    1.14880674e+00
20      -8.00000000e-02   -1.00000000e+00   -1.88577416e-05    1.20257713e-05    1.20257728e-05    0.00000000e+00    1.42888688e-01   -1.59999962e-01   -7.99999811e-02   -1.07999998e+00    1.14783694e+00
