Index       V(G)              V(B)              I(VD)      
106     -2.40000000e-01    0.00000000e+00    8.23815814e-07
107     -2.30000000e-01    0.00000000e+00    7.47702292e-07
108     -2.20000000e-01    0.00000000e+00    6.73939596e-07
109     -2.10000000e-01    0.00000000e+00    6.02885135e-07
110     -2.00000000e-01    0.00000000e+00    5.34913419e-07
111     -1.90000000e-01    0.00000000e+00    4.70406991e-07
112     -1.80000000e-01    0.00000000e+00    4.09743993e-07
113     -1.70000000e-01    0.00000000e+00    3.53281629e-07
114     -1.60000000e-01    0.00000000e+00    3.01335255e-07
115     -1.50000000e-01    0.00000000e+00    2.54154579e-07
116     -1.40000000e-01    0.00000000e+00    2.11899999e-07
117     -1.30000000e-01    0.00000000e+00    1.74622667e-07
118     -1.20000000e-01    0.00000000e+00    1.42251982e-07
119     -1.10000000e-01    0.00000000e+00    1.14593959e-07
120     -1.00000000e-01    0.00000000e+00    9.13423654e-08
121     -9.00000000e-02    0.00000000e+00    7.21013993e-08
122     -8.00000000e-02    0.00000000e+00    5.64159884e-08
123     -7.00000000e-02    0.00000000e+00    4.38046078e-08
124     -6.00000000e-02    0.00000000e+00    3.37897439e-08
125     -5.00000000e-02    0.00000000e+00    2.59223577e-08
126     -4.00000000e-02    0.00000000e+00    1.97984799e-08
127     -3.00000000e-02    0.00000000e+00    1.50678671e-08
128     -2.00000000e-02    0.00000000e+00    1.14359899e-08
129     -1.00000000e-02    0.00000000e+00    8.66126368e-09
130      0.00000000e+00    0.00000000e+00    6.54946003e-09
131      1.00000000e-02    0.00000000e+00    4.94688274e-09
132      2.00000000e-02    0.00000000e+00    3.73341071e-09
133      3.00000000e-02    0.00000000e+00    2.81606123e-09
134      4.00000000e-02    0.00000000e+00    2.12338647e-09
135      5.00000000e-02    0.00000000e+00    1.60079169e-09
136      6.00000000e-02    0.00000000e+00    1.20673481e-09
137      7.00000000e-02    0.00000000e+00    9.09704567e-10
138      8.00000000e-02    0.00000000e+00    6.85853524e-10
139      9.00000000e-02    0.00000000e+00    5.17164509e-10
140      1.00000000e-01    0.00000000e+00    3.90041574e-10
141      1.10000000e-01    0.00000000e+00    2.94233686e-10
142      1.20000000e-01    0.00000000e+00    2.22016168e-10
143      1.30000000e-01    0.00000000e+00    1.67570150e-10
144      1.40000000e-01    0.00000000e+00    1.26513239e-10
145      1.50000000e-01    0.00000000e+00    9.55451618e-11
146      1.60000000e-01    0.00000000e+00    7.21805251e-11
147      1.70000000e-01    0.00000000e+00    5.45474552e-11
148      1.80000000e-01    0.00000000e+00    4.12359565e-11
149      1.90000000e-01    0.00000000e+00    3.11837548e-11
150      2.00000000e-01    0.00000000e+00    2.35903767e-11
151      2.10000000e-01    0.00000000e+00    1.78524851e-11
152      2.20000000e-01    0.00000000e+00    1.35152131e-11
153      2.30000000e-01    0.00000000e+00    1.02355351e-11
154      2.40000000e-01    0.00000000e+00    7.75469324e-12
155      2.50000000e-01    0.00000000e+00    5.87743841e-12
156      2.60000000e-01    0.00000000e+00    4.45639768e-12
157      2.70000000e-01    0.00000000e+00    3.38029973e-12
158      2.80000000e-01    0.00000000e+00    2.56510398e-12
159      2.90000000e-01    0.00000000e+00    1.94731572e-12
160      3.00000000e-01    0.00000000e+00    1.47894696e-12
161      3.10000000e-01    0.00000000e+00    1.12371697e-12
162      3.20000000e-01    0.00000000e+00    8.54186612e-13
163      3.30000000e-01    0.00000000e+00    6.49596254e-13
164      3.40000000e-01    0.00000000e+00    4.94234143e-13
165      3.50000000e-01    0.00000000e+00    3.76204607e-13
166      3.60000000e-01    0.00000000e+00    2.86497850e-13
167      3.70000000e-01    0.00000000e+00    2.18287259e-13
168      3.80000000e-01    0.00000000e+00    1.66398406e-13
169      3.90000000e-01    0.00000000e+00    1.26907651e-13
170      4.00000000e-01    0.00000000e+00    9.68386128e-14
171      4.10000000e-01    0.00000000e+00    7.39325708e-14
172      4.20000000e-01    0.00000000e+00    5.64747183e-14
173      4.30000000e-01    0.00000000e+00    4.31626428e-14
174      4.40000000e-01    0.00000000e+00    3.30067303e-14
175      4.50000000e-01    0.00000000e+00    2.52547163e-14
176      4.60000000e-01    0.00000000e+00    1.93345097e-14
177      4.70000000e-01    0.00000000e+00    1.48108457e-14
178      4.80000000e-01    0.00000000e+00    1.13524112e-14
179      4.90000000e-01    0.00000000e+00    8.70690211e-15
180      5.00000000e-01    0.00000000e+00    6.68209197e-15
181      5.10000000e-01    0.00000000e+00    5.13145631e-15
182      5.20000000e-01    0.00000000e+00    3.94325273e-15
183      5.30000000e-01    0.00000000e+00    3.03222216e-15
184      5.40000000e-01    0.00000000e+00    2.33327937e-15
185      5.50000000e-01    0.00000000e+00    1.79671396e-15
186      5.60000000e-01    0.00000000e+00    1.38453859e-15
187      5.70000000e-01    0.00000000e+00    1.06770888e-15
188      5.80000000e-01    0.00000000e+00    8.24006003e-16
189      5.90000000e-01    0.00000000e+00    6.36423226e-16
190      6.00000000e-01    0.00000000e+00    4.91935929e-16
191      6.10000000e-01    0.00000000e+00    3.80563443e-16
192      6.20000000e-01    0.00000000e+00    2.94653172e-16
193      6.30000000e-01    0.00000000e+00    2.28334032e-16
194      6.40000000e-01    0.00000000e+00    1.77098972e-16
195      6.50000000e-01    0.00000000e+00    1.37485904e-16
196      6.60000000e-01    0.00000000e+00    1.06833737e-16
197      6.70000000e-01    0.00000000e+00    8.30957282e-17
198      6.80000000e-01    0.00000000e+00    6.46966059e-17
199      6.90000000e-01    0.00000000e+00    5.04231439e-17
200      7.00000000e-01    0.00000000e+00    3.93403052e-17
201      7.10000000e-01    0.00000000e+00    3.07269437e-17
202      7.20000000e-01    0.00000000e+00    2.40264741e-17
203      7.30000000e-01    0.00000000e+00    1.88090024e-17
204      7.40000000e-01    0.00000000e+00    1.47422367e-17
205      7.50000000e-01    0.00000000e+00    1.15691293e-17
206      7.60000000e-01    0.00000000e+00    9.09068076e-18
207      7.70000000e-01    0.00000000e+00    7.15270638e-18
208      7.80000000e-01    0.00000000e+00    5.63564463e-18
209      7.90000000e-01    0.00000000e+00    4.44670368e-18
210      8.00000000e-01    0.00000000e+00    3.51380498e-18
211      8.10000000e-01    0.00000000e+00    2.78090971e-18
212      8.20000000e-01    0.00000000e+00    2.20440965e-18
213      8.30000000e-01    0.00000000e+00    1.75033808e-18
214      8.40000000e-01    0.00000000e+00    1.39221270e-18
215      8.50000000e-01    0.00000000e+00    1.10936618e-18
216      8.60000000e-01    0.00000000e+00    8.85653031e-19
217      8.70000000e-01    0.00000000e+00    7.08447228e-19
218      8.80000000e-01    0.00000000e+00    5.67864530e-19
219      8.90000000e-01    0.00000000e+00    4.56158662e-19
220      9.00000000e-01    0.00000000e+00    3.67252086e-19
221      9.10000000e-01    0.00000000e+00    2.96371038e-19
222      9.20000000e-01    0.00000000e+00    2.39761415e-19
223      9.30000000e-01    0.00000000e+00    1.94467404e-19
224      9.40000000e-01    0.00000000e+00    1.58158830e-19
225      9.50000000e-01    0.00000000e+00    1.28996379e-19
226      9.60000000e-01    0.00000000e+00    1.05526282e-19
227      9.70000000e-01    0.00000000e+00    8.65979374e-20
228      9.80000000e-01    0.00000000e+00    7.12994055e-20
229      9.90000000e-01    0.00000000e+00    5.89068485e-20
230      1.00000000e+00    0.00000000e+00    4.88448485e-20
231      1.01000000e+00    0.00000000e+00    4.06552277e-20
232      1.02000000e+00    0.00000000e+00    3.39725124e-20
233      1.03000000e+00    0.00000000e+00    2.85045954e-20
234      1.04000000e+00    0.00000000e+00    2.40174722e-20
235      1.05000000e+00    0.00000000e+00    2.03231850e-20
236      1.06000000e+00    0.00000000e+00    1.72703296e-20
237      1.07000000e+00    0.00000000e+00    1.47366665e-20
238      1.08000000e+00    0.00000000e+00    1.26235035e-20
239      1.09000000e+00    0.00000000e+00    1.08514707e-20
240      1.10000000e+00    0.00000000e+00    9.35712894e-21
241      1.11000000e+00    0.00000000e+00    8.08987718e-21
242      1.12000000e+00    0.00000000e+00    7.00914656e-21
243      1.13000000e+00    0.00000000e+00    6.08228301e-21
244      1.14000000e+00    0.00000000e+00    5.28326457e-21
245      1.15000000e+00    0.00000000e+00    4.59184831e-21
246      1.16000000e+00    0.00000000e+00    3.99256973e-21
247      1.17000000e+00    0.00000000e+00    3.47341290e-21
248      1.18000000e+00    0.00000000e+00    3.02448891e-21
249      1.19000000e+00    0.00000000e+00    2.63712752e-21
250      1.20000000e+00    0.00000000e+00    2.30346174e-21
251      1.21000000e+00    0.00000000e+00    2.01632838e-21
252      1.22000000e+00    0.00000000e+00    1.76928526e-21
253      1.23000000e+00    0.00000000e+00    1.55663070e-21
254      1.24000000e+00    0.00000000e+00    1.37338502e-21
255      1.25000000e+00    0.00000000e+00    1.21524251e-21
256      1.26000000e+00    0.00000000e+00    1.07850846e-21
257      1.27000000e+00    0.00000000e+00    9.60029825e-22
258      1.28000000e+00    0.00000000e+00    8.57126123e-22
259      1.29000000e+00    0.00000000e+00    7.67524279e-22
260      1.30000000e+00    0.00000000e+00    6.89299477e-22
261     -1.30000000e+00   -1.00000000e-01    6.81376802e-06
262     -1.29000000e+00   -1.00000000e-01    6.78935071e-06
263     -1.28000000e+00   -1.00000000e-01    6.76455183e-06
264     -1.27000000e+00   -1.00000000e-01    6.73936564e-06
265     -1.26000000e+00   -1.00000000e-01    6.71378634e-06
266     -1.25000000e+00   -1.00000000e-01    6.68780802e-06
267     -1.24000000e+00   -1.00000000e-01    6.66142471e-06
268     -1.23000000e+00   -1.00000000e-01    6.63463035e-06
269     -1.22000000e+00   -1.00000000e-01    6.60741879e-06
270     -1.21000000e+00   -1.00000000e-01    6.57978379e-06
271     -1.20000000e+00   -1.00000000e-01    6.55171902e-06
272     -1.19000000e+00   -1.00000000e-01    6.52321808e-06
273     -1.18000000e+00   -1.00000000e-01    6.49427446e-06
274     -1.17000000e+00   -1.00000000e-01    6.46488158e-06
275     -1.16000000e+00   -1.00000000e-01    6.43503277e-06
276     -1.15000000e+00   -1.00000000e-01    6.40472125e-06
277     -1.14000000e+00   -1.00000000e-01    6.37394019e-06
278     -1.13000000e+00   -1.00000000e-01    6.34268263e-06
279     -1.12000000e+00   -1.00000000e-01    6.31094154e-06
280     -1.11000000e+00   -1.00000000e-01    6.27870982e-06
281     -1.10000000e+00   -1.00000000e-01    6.24598025e-06
282     -1.09000000e+00   -1.00000000e-01    6.21274554e-06
283     -1.08000000e+00   -1.00000000e-01    6.17899832e-06
284     -1.07000000e+00   -1.00000000e-01    6.14473111e-06
285     -1.06000000e+00   -1.00000000e-01    6.10993636e-06
286     -1.05000000e+00   -1.00000000e-01    6.07460645e-06
287     -1.04000000e+00   -1.00000000e-01    6.03873364e-06
288     -1.03000000e+00   -1.00000000e-01    6.00231015e-06
289     -1.02000000e+00   -1.00000000e-01    5.96532810e-06
290     -1.01000000e+00   -1.00000000e-01    5.92777952e-06
291     -1.00000000e+00   -1.00000000e-01    5.88965638e-06
292     -9.90000000e-01   -1.00000000e-01    5.85095058e-06
293     -9.80000000e-01   -1.00000000e-01    5.81165394e-06
294     -9.70000000e-01   -1.00000000e-01    5.77175821e-06
295     -9.60000000e-01   -1.00000000e-01    5.73125509e-06
296     -9.50000000e-01   -1.00000000e-01    5.69013619e-06
297     -9.40000000e-01   -1.00000000e-01    5.64839309e-06
298     -9.30000000e-01   -1.00000000e-01    5.60601731e-06
299     -9.20000000e-01   -1.00000000e-01    5.56300031e-06
300     -9.10000000e-01   -1.00000000e-01    5.51933353e-06
301     -9.00000000e-01   -1.00000000e-01    5.47500834e-06
302     -8.90000000e-01   -1.00000000e-01    5.43001611e-06
303     -8.80000000e-01   -1.00000000e-01    5.38434817e-06
304     -8.70000000e-01   -1.00000000e-01    5.33799584e-06
305     -8.60000000e-01   -1.00000000e-01    5.29095041e-06
306     -8.50000000e-01   -1.00000000e-01    5.24320319e-06
307     -8.40000000e-01   -1.00000000e-01    5.19474551e-06
308     -8.30000000e-01   -1.00000000e-01    5.14556868e-06
309     -8.20000000e-01   -1.00000000e-01    5.09566407e-06
310     -8.10000000e-01   -1.00000000e-01    5.04502310e-06
311     -8.00000000e-01   -1.00000000e-01    4.99363721e-06
312     -7.90000000e-01   -1.00000000e-01    4.94149793e-06
313     -7.80000000e-01   -1.00000000e-01    4.88859689e-06
314     -7.70000000e-01   -1.00000000e-01    4.83492580e-06
315     -7.60000000e-01   -1.00000000e-01    4.78047648e-06
316     -7.50000000e-01   -1.00000000e-01    4.72524092e-06
317     -7.40000000e-01   -1.00000000e-01    4.66921125e-06
318     -7.30000000e-01   -1.00000000e-01    4.61237977e-06
319     -7.20000000e-01   -1.00000000e-01    4.55473901e-06
320     -7.10000000e-01   -1.00000000e-01    4.49628172e-06
321     -7.00000000e-01   -1.00000000e-01    4.43700092e-06
322     -6.90000000e-01   -1.00000000e-01    4.37688992e-06
323     -6.80000000e-01   -1.00000000e-01    4.31594235e-06
324     -6.70000000e-01   -1.00000000e-01    4.25415221e-06
325     -6.60000000e-01   -1.00000000e-01    4.19151390e-06
326     -6.50000000e-01   -1.00000000e-01    4.12802228e-06
327     -6.40000000e-01   -1.00000000e-01    4.06367268e-06
328     -6.30000000e-01   -1.00000000e-01    3.99846099e-06
329     -6.20000000e-01   -1.00000000e-01    3.93238368e-06
330     -6.10000000e-01   -1.00000000e-01    3.86543791e-06
331     -6.00000000e-01   -1.00000000e-01    3.79762155e-06
332     -5.90000000e-01   -1.00000000e-01    3.72893324e-06
333     -5.80000000e-01   -1.00000000e-01    3.65937252e-06
334     -5.70000000e-01   -1.00000000e-01    3.58893990e-06
335     -5.60000000e-01   -1.00000000e-01    3.51763690e-06
336     -5.50000000e-01   -1.00000000e-01    3.44546621e-06
337     -5.40000000e-01   -1.00000000e-01    3.37243180e-06
338     -5.30000000e-01   -1.00000000e-01    3.29853899e-06
339     -5.20000000e-01   -1.00000000e-01    3.22379463e-06
340     -5.10000000e-01   -1.00000000e-01    3.14820725e-06
341     -5.00000000e-01   -1.00000000e-01    3.07178717e-06
342     -4.90000000e-01   -1.00000000e-01    2.99454674e-06
343     -4.80000000e-01   -1.00000000e-01    2.91650050e-06
344     -4.70000000e-01   -1.00000000e-01    2.83766539e-06
345     -4.60000000e-01   -1.00000000e-01    2.75806104e-06
346     -4.50000000e-01   -1.00000000e-01    2.67770997e-06
347     -4.40000000e-01   -1.00000000e-01    2.59663794e-06
348     -4.30000000e-01   -1.00000000e-01    2.51487424e-06
349     -4.20000000e-01   -1.00000000e-01    2.43245212e-06
350     -4.10000000e-01   -1.00000000e-01    2.34940910e-06
351     -4.00000000e-01   -1.00000000e-01    2.26578755e-06
352     -3.90000000e-01   -1.00000000e-01    2.18163510e-06
353     -3.80000000e-01   -1.00000000e-01    2.09700528e-06
354     -3.70000000e-01   -1.00000000e-01    2.01195816e-06
355     -3.60000000e-01   -1.00000000e-01    1.92656104e-06
356     -3.50000000e-01   -1.00000000e-01    1.84088932e-06
357     -3.40000000e-01   -1.00000000e-01    1.75502737e-06
358     -3.30000000e-01   -1.00000000e-01    1.66906959e-06
359     -3.20000000e-01   -1.00000000e-01    1.58312155e-06
360     -3.10000000e-01   -1.00000000e-01    1.49730128e-06
361     -3.00000000e-01   -1.00000000e-01    1.41174072e-06
362     -2.90000000e-01   -1.00000000e-01    1.32658725e-06
363     -2.80000000e-01   -1.00000000e-01    1.24200549e-06
364     -2.70000000e-01   -1.00000000e-01    1.15817910e-06
365     -2.60000000e-01   -1.00000000e-01    1.07531274e-06
366     -2.50000000e-01   -1.00000000e-01    9.93634006e-07
367     -2.40000000e-01   -1.00000000e-01    9.13395201e-07
368     -2.30000000e-01   -1.00000000e-01    8.34874627e-07
369     -2.20000000e-01   -1.00000000e-01    7.58377011e-07
370     -2.10000000e-01   -1.00000000e-01    6.84232401e-07
371     -2.00000000e-01   -1.00000000e-01    6.12792872e-07
372     -1.90000000e-01   -1.00000000e-01    5.44426573e-07
373     -1.80000000e-01   -1.00000000e-01    4.79508953e-07
374     -1.70000000e-01   -1.00000000e-01    4.18410913e-07
375     -1.60000000e-01   -1.00000000e-01    3.61483168e-07
376     -1.50000000e-01   -1.00000000e-01    3.09036422e-07
377     -1.40000000e-01   -1.00000000e-01    2.61318683e-07
378     -1.30000000e-01   -1.00000000e-01    2.18492535e-07
