Index       V(D)              V(G)            {-I(VD)}     
109      1.09000000e+00    4.00000000e-01    1.86801114e-05
110      1.10000000e+00    4.00000000e-01    1.87074647e-05
111      1.11000000e+00    4.00000000e-01    1.87348156e-05
112      1.12000000e+00    4.00000000e-01    1.87621641e-05
113      1.13000000e+00    4.00000000e-01    1.87895103e-05
114      1.14000000e+00    4.00000000e-01    1.88168543e-05
115      1.15000000e+00    4.00000000e-01    1.88441961e-05
116      1.16000000e+00    4.00000000e-01    1.88715359e-05
117      1.17000000e+00    4.00000000e-01    1.88988735e-05
118      1.18000000e+00    4.00000000e-01    1.89262093e-05
119      1.19000000e+00    4.00000000e-01    1.89535431e-05
120      1.20000000e+00    4.00000000e-01    1.89808750e-05
121      1.21000000e+00    4.00000000e-01    1.90082052e-05
122      1.22000000e+00    4.00000000e-01    1.90355337e-05
123      1.23000000e+00    4.00000000e-01    1.90628606e-05
124      1.24000000e+00    4.00000000e-01    1.90901859e-05
125      1.25000000e+00    4.00000000e-01    1.91175096e-05
126      1.26000000e+00    4.00000000e-01    1.91448320e-05
127      1.27000000e+00    4.00000000e-01    1.91721530e-05
128      1.28000000e+00    4.00000000e-01    1.91994727e-05
129      1.29000000e+00    4.00000000e-01    1.92267912e-05
130      1.30000000e+00    4.00000000e-01    1.92541086e-05
131      0.00000000e+00    7.00000000e-01   -0.00000000e+00
132      1.00000000e-02    7.00000000e-01    2.72826306e-06
133      2.00000000e-02    7.00000000e-01    5.41270949e-06
134      3.00000000e-02    7.00000000e-01    8.05249963e-06
135      4.00000000e-02    7.00000000e-01    1.06468096e-05
136      5.00000000e-02    7.00000000e-01    1.31948359e-05
137      6.00000000e-02    7.00000000e-01    1.56957981e-05
138      7.00000000e-02    7.00000000e-01    1.81489396e-05
139      8.00000000e-02    7.00000000e-01    2.05535261e-05
140      9.00000000e-02    7.00000000e-01    2.29088440e-05
141      1.00000000e-01    7.00000000e-01    2.52141978e-05
142      1.10000000e-01    7.00000000e-01    2.74689076e-05
143      1.20000000e-01    7.00000000e-01    2.96723072e-05
144      1.30000000e-01    7.00000000e-01    3.18237411e-05
145      1.40000000e-01    7.00000000e-01    3.39225632e-05
146      1.50000000e-01    7.00000000e-01    3.59681343e-05
147      1.60000000e-01    7.00000000e-01    3.79598206e-05
148      1.70000000e-01    7.00000000e-01    3.98969922e-05
149      1.80000000e-01    7.00000000e-01    4.17790221e-05
150      1.90000000e-01    7.00000000e-01    4.36052850e-05
151      2.00000000e-01    7.00000000e-01    4.53751573e-05
152      2.10000000e-01    7.00000000e-01    4.70880178e-05
153      2.20000000e-01    7.00000000e-01    4.87432490e-05
154      2.30000000e-01    7.00000000e-01    5.03402402e-05
155      2.40000000e-01    7.00000000e-01    5.18783913e-05
156      2.50000000e-01    7.00000000e-01    5.33571194e-05
157      2.60000000e-01    7.00000000e-01    5.47758667e-05
158      2.70000000e-01    7.00000000e-01    5.61341109e-05
159      2.80000000e-01    7.00000000e-01    5.74313787e-05
160      2.90000000e-01    7.00000000e-01    5.86672617e-05
161      3.00000000e-01    7.00000000e-01    5.98414353e-05
162      3.10000000e-01    7.00000000e-01    6.09536808e-05
163      3.20000000e-01    7.00000000e-01    6.20039100e-05
164      3.30000000e-01    7.00000000e-01    6.29921923e-05
165      3.40000000e-01    7.00000000e-01    6.39187835e-05
166      3.50000000e-01    7.00000000e-01    6.47841552e-05
167      3.60000000e-01    7.00000000e-01    6.55890233e-05
168      3.70000000e-01    7.00000000e-01    6.63343754e-05
169      3.80000000e-01    7.00000000e-01    6.70214927e-05
170      3.90000000e-01    7.00000000e-01    6.76519669e-05
171      4.00000000e-01    7.00000000e-01    6.82277084e-05
172      4.10000000e-01    7.00000000e-01    6.87509447e-05
173      4.20000000e-01    7.00000000e-01    6.92242076e-05
174      4.30000000e-01    7.00000000e-01    6.96503070e-05
175      4.40000000e-01    7.00000000e-01    7.00322937e-05
176      4.50000000e-01    7.00000000e-01    7.03734102e-05
177      4.60000000e-01    7.00000000e-01    7.06770317e-05
178      4.70000000e-01    7.00000000e-01    7.09466023e-05
179      4.80000000e-01    7.00000000e-01    7.11855665e-05
180      4.90000000e-01    7.00000000e-01    7.13973042e-05
