Index       V(G)              V(B)            {-I(VD)}     
0       -1.30000000e+00   -3.00000000e-01    1.34245214e-08
1       -1.29000000e+00   -3.00000000e-01    1.30847355e-08
2       -1.28000000e+00   -3.00000000e-01    1.27520936e-08
3       -1.27000000e+00   -3.00000000e-01    1.24264792e-08
4       -1.26000000e+00   -3.00000000e-01    1.21077773e-08
5       -1.25000000e+00   -3.00000000e-01    1.17958738e-08
6       -1.24000000e+00   -3.00000000e-01    1.14906561e-08
7       -1.23000000e+00   -3.00000000e-01    1.11920128e-08
8       -1.22000000e+00   -3.00000000e-01    1.08998338e-08
9       -1.21000000e+00   -3.00000000e-01    1.06140100e-08
10      -1.20000000e+00   -3.00000000e-01    1.03344337e-08
11      -1.19000000e+00   -3.00000000e-01    1.00609984e-08
12      -1.18000000e+00   -3.00000000e-01    9.79359890e-09
13      -1.17000000e+00   -3.00000000e-01    9.53213103e-09
14      -1.16000000e+00   -3.00000000e-01    9.27649195e-09
15      -1.15000000e+00   -3.00000000e-01    9.02658001e-09
16      -1.14000000e+00   -3.00000000e-01    8.78229474e-09
17      -1.13000000e+00   -3.00000000e-01    8.54353687e-09
18      -1.12000000e+00   -3.00000000e-01    8.31020833e-09
19      -1.11000000e+00   -3.00000000e-01    8.08221222e-09
20      -1.10000000e+00   -3.00000000e-01    7.85945282e-09
21      -1.09000000e+00   -3.00000000e-01    7.64183560e-09
22      -1.08000000e+00   -3.00000000e-01    7.42926717e-09
23      -1.07000000e+00   -3.00000000e-01    7.22165533e-09
24      -1.06000000e+00   -3.00000000e-01    7.01890902e-09
25      -1.05000000e+00   -3.00000000e-01    6.82093832e-09
26      -1.04000000e+00   -3.00000000e-01    6.62765449e-09
27      -1.03000000e+00   -3.00000000e-01    6.43896990e-09
28      -1.02000000e+00   -3.00000000e-01    6.25479807e-09
29      -1.01000000e+00   -3.00000000e-01    6.07505362e-09
30      -1.00000000e+00   -3.00000000e-01    5.89965232e-09
31      -9.90000000e-01   -3.00000000e-01    5.72851105e-09
32      -9.80000000e-01   -3.00000000e-01    5.56154778e-09
33      -9.70000000e-01   -3.00000000e-01    5.39868161e-09
34      -9.60000000e-01   -3.00000000e-01    5.23983271e-09
35      -9.50000000e-01   -3.00000000e-01    5.08492236e-09
36      -9.40000000e-01   -3.00000000e-01    4.93387290e-09
37      -9.30000000e-01   -3.00000000e-01    4.78660777e-09
38      -9.20000000e-01   -3.00000000e-01    4.64305147e-09
39      -9.10000000e-01   -3.00000000e-01    4.50312956e-09
40      -9.00000000e-01   -3.00000000e-01    4.36676866e-09
41      -8.90000000e-01   -3.00000000e-01    4.23389642e-09
42      -8.80000000e-01   -3.00000000e-01    4.10444157e-09
43      -8.70000000e-01   -3.00000000e-01    3.97833384e-09
44      -8.60000000e-01   -3.00000000e-01    3.85550400e-09
45      -8.50000000e-01   -3.00000000e-01    3.73588385e-09
46      -8.40000000e-01   -3.00000000e-01    3.61940619e-09
47      -8.30000000e-01   -3.00000000e-01    3.50600483e-09
48      -8.20000000e-01   -3.00000000e-01    3.39561458e-09
49      -8.10000000e-01   -3.00000000e-01    3.28817124e-09
50      -8.00000000e-01   -3.00000000e-01    3.18361160e-09
51      -7.90000000e-01   -3.00000000e-01    3.08187341e-09
52      -7.80000000e-01   -3.00000000e-01    2.98289541e-09
53      -7.70000000e-01   -3.00000000e-01    2.88661729e-09
54      -7.60000000e-01   -3.00000000e-01    2.79297969e-09
55      -7.50000000e-01   -3.00000000e-01    2.70192420e-09
56      -7.40000000e-01   -3.00000000e-01    2.61339335e-09
57      -7.30000000e-01   -3.00000000e-01    2.52733059e-09
58      -7.20000000e-01   -3.00000000e-01    2.44368031e-09
59      -7.10000000e-01   -3.00000000e-01    2.36238780e-09
60      -7.00000000e-01   -3.00000000e-01    2.28339926e-09
61      -6.90000000e-01   -3.00000000e-01    2.20666178e-09
62      -6.80000000e-01   -3.00000000e-01    2.13212336e-09
63      -6.70000000e-01   -3.00000000e-01    2.05973287e-09
64      -6.60000000e-01   -3.00000000e-01    1.98944004e-09
65      -6.50000000e-01   -3.00000000e-01    1.92119549e-09
66      -6.40000000e-01   -3.00000000e-01    1.85495069e-09
