Index       TIME              V(1)              V(2)              V(3)       
0        0.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
1        1.00000000e-10    2.00062832e+00    2.00062832e+00    2.00062832e+00
2        3.00000000e-10    2.00188495e+00    2.00188495e+00    2.00188495e+00
3        7.00000000e-10    2.00439822e+00    2.00439822e+00    2.00439822e+00
4        1.50000000e-09    2.00942464e+00    2.00942464e+00    2.00942464e+00
5        3.10000000e-09    2.01947664e+00    2.01947664e+00    2.01947664e+00
6        6.30000000e-09    2.03957373e+00    2.03957373e+00    2.03957373e+00
7        1.27000000e-08    2.07971180e+00    2.07971180e+00    2.07971180e+00
8        2.55000000e-08    2.15953660e+00    2.15953660e+00    2.15953660e+00
9        5.11000000e-08    2.31558279e+00    2.31558279e+00    2.31558279e+00
10       7.67000000e-08    2.46348163e+00    2.46348163e+00    2.46348163e+00
11       1.02300000e-07    2.59941484e+00    2.59941484e+00    2.59941484e+00
12       1.25340000e-07    2.70861575e+00    2.70861575e+00    2.70861575e+00
13       1.46076000e-07    2.79428061e+00    2.79428061e+00    2.79428061e+00
14       1.66812000e-07    2.86648162e+00    2.86648162e+00    2.86648162e+00
15       1.87548000e-07    2.92399491e+00    2.92399491e+00    2.92399491e+00
16       2.08284000e-07    2.96584555e+00    2.96584555e+00    2.96584555e+00
17       2.29020000e-07    2.99132416e+00    2.99132416e+00    2.99132416e+00
18       2.49756000e-07    2.99999882e+00    2.99999882e+00    2.99999882e+00
19       2.70492000e-07    2.99172252e+00    2.99172252e+00    2.99172252e+00
20       2.91228000e-07    2.96663552e+00    2.96663552e+00    2.96663552e+00
21       3.11964000e-07    2.92516309e+00    2.92516309e+00    2.92516309e+00
22       3.32700000e-07    2.86800822e+00    2.86800822e+00    2.86800822e+00
23       3.53436000e-07    2.79613974e+00    2.79613974e+00    2.79613974e+00
24       3.74172000e-07    2.71077590e+00    2.71077590e+00    2.71077590e+00
25       3.94908000e-07    2.61336370e+00    2.61336370e+00    2.61336370e+00
26       4.15644000e-07    2.50555438e+00    2.50555438e+00    2.50555438e+00
27       4.36380000e-07    2.38917540e+00    2.38917540e+00    2.38917540e+00
28       4.57116000e-07    2.26619951e+00    2.26619951e+00    2.26619951e+00
29       4.77852000e-07    2.13871127e+00    2.13871127e+00    2.13871127e+00
30       4.98588000e-07    2.00887174e+00    2.00887174e+00    2.00887174e+00
31       5.40060000e-07    1.75094498e+00    1.75094498e+00    1.75094498e+00
32       5.46123529e-07    1.71423686e+00    1.71423686e+00    1.71423686e+00
33       5.52187057e-07    1.67794347e+00    1.67794347e+00    1.67794347e+00
34       5.64314115e-07    1.60681089e+00    1.60681089e+00    1.60681089e+00
35       5.76441172e-07    1.53796003e+00    1.53796003e+00    1.53796003e+00
36       5.88568229e-07    1.47179043e+00    1.47179043e+00    1.47179043e+00
37       6.00695286e-07    1.40868609e+00    1.40868609e+00    1.40868609e+00
38       6.12822344e-07    1.34901320e+00    1.34901320e+00    1.34901320e+00
39       6.24949401e-07    1.29311806e+00    1.29311806e+00    1.29311806e+00
40       6.37076458e-07    1.24132503e+00    1.24132503e+00    1.24132503e+00
41       6.49203515e-07    1.19393467e+00    1.19393467e+00    1.19393467e+00
42       6.61330573e-07    1.15122200e+00    1.15122200e+00    1.15122200e+00
43       6.73457630e-07    1.11343487e+00    1.11343487e+00    1.11343487e+00
44       6.85584687e-07    1.08079257e+00    1.08079257e+00    1.08079257e+00
45       6.97711745e-07    1.05348453e+00    1.05348453e+00    1.05348453e+00
46       7.09838802e-07    1.03166922e+00    1.03166922e+00    1.03166922e+00
47       7.21965859e-07    1.01547323e+00    1.01547323e+00    1.01547323e+00
48       7.34092916e-07    1.00499056e+00    1.00499056e+00    1.00499056e+00
49       7.46219974e-07    1.00028203e+00    1.00028203e+00    1.00028203e+00
50       7.58347031e-07    1.00137497e+00    1.00137497e+00    1.00137497e+00
51       7.70474088e-07    1.00826304e+00    1.00826304e+00    1.00826304e+00
52       7.82601145e-07    1.02090626e+00    1.02090626e+00    1.02090626e+00
53       7.94728203e-07    1.03923127e+00    1.03923127e+00    1.03923127e+00
54       8.06855260e-07    1.06313171e+00    1.06313171e+00    1.06313171e+00
55       8.18982317e-07    1.09246891e+00    1.09246891e+00    1.09246891e+00
56       8.31109375e-07    1.12707260e+00    1.12707260e+00    1.12707260e+00
57       8.43236432e-07    1.16674198e+00    1.16674198e+00    1.16674198e+00
58       8.55363489e-07    1.21124685e+00    1.21124685e+00    1.21124685e+00
59       8.67490546e-07    1.26032893e+00    1.26032893e+00    1.26032893e+00
60       8.79617604e-07    1.31370340e+00    1.31370340e+00    1.31370340e+00
61       8.91744661e-07    1.37106053e+00    1.37106053e+00    1.37106053e+00
62       9.03871718e-07    1.43206745e+00    1.43206745e+00    1.43206745e+00
63       9.15998776e-07    1.49637015e+00    1.49637015e+00    1.49637015e+00
64       9.28125833e-07    1.56359547e+00    1.56359547e+00    1.56359547e+00
65       9.40252890e-07    1.63335328e+00    1.63335328e+00    1.63335328e+00
66       9.52379947e-07    1.70523879e+00    1.70523879e+00    1.70523879e+00
67       9.64507005e-07    1.77883483e+00    1.77883483e+00    1.77883483e+00
68       9.76634062e-07    1.85371431e+00    1.85371431e+00    1.85371431e+00
69       1.00000000e-06    2.00000000e+00    2.00000000e+00    2.00000000e+00
End of Xyce(TM) Simulation
