Index        FREQ           Re(V(16))        Im(V(16))
0       1.00000000e+00   1.11615019e+02   -9.99892306e-06  
1       1.25892541e+00   1.11615019e+02   -1.25878983e-05  
2       1.58489319e+00   1.11615019e+02   -1.58472251e-05  
3       1.99526231e+00   1.11615019e+02   -1.99504744e-05  
4       2.51188643e+00   1.11615019e+02   -2.51161592e-05  
5       3.16227766e+00   1.11615019e+02   -3.16193710e-05  
6       3.98107171e+00   1.11615019e+02   -3.98064297e-05  
7       5.01187234e+00   1.11615019e+02   -5.01133259e-05  
8       6.30957344e+00   1.11615019e+02   -6.30889394e-05  
9       7.94328235e+00   1.11615019e+02   -7.94242690e-05  
10      1.00000000e+01   1.11615019e+02   -9.99892306e-05  
11      1.25892541e+01   1.11615019e+02   -1.25878983e-04  
12      1.58489319e+01   1.11615019e+02   -1.58472251e-04  
13      1.99526231e+01   1.11615019e+02   -1.99504744e-04  
14      2.51188643e+01   1.11615019e+02   -2.51161592e-04  
15      3.16227766e+01   1.11615019e+02   -3.16193710e-04  
16      3.98107171e+01   1.11615019e+02   -3.98064297e-04  
17      5.01187234e+01   1.11615019e+02   -5.01133259e-04  
18      6.30957344e+01   1.11615019e+02   -6.30889394e-04  
19      7.94328235e+01   1.11615019e+02   -7.94242690e-04  
20      1.00000000e+02   1.11615019e+02   -9.99892306e-04  
21      1.25892541e+02   1.11615019e+02   -1.25878983e-03  
22      1.58489319e+02   1.11615019e+02   -1.58472251e-03  
23      1.99526231e+02   1.11615019e+02   -1.99504744e-03  
24      2.51188643e+02   1.11615019e+02   -2.51161592e-03  
25      3.16227766e+02   1.11615019e+02   -3.16193710e-03  
26      3.98107171e+02   1.11615019e+02   -3.98064297e-03  
27      5.01187234e+02   1.11615019e+02   -5.01133259e-03  
28      6.30957344e+02   1.11615019e+02   -6.30889394e-03  
29      7.94328235e+02   1.11615019e+02   -7.94242689e-03  
30      1.00000000e+03   1.11615019e+02   -9.99892304e-03  
31      1.25892541e+03   1.11615019e+02   -1.25878983e-02  
32      1.58489319e+03   1.11615018e+02   -1.58472250e-02  
33      1.99526231e+03   1.11615017e+02   -1.99504742e-02  
34      2.51188643e+03   1.11615016e+02   -2.51161588e-02  
35      3.16227766e+03   1.11615014e+02   -3.16193704e-02  
36      3.98107171e+03   1.11615011e+02   -3.98064284e-02  
37      5.01187234e+03   1.11615006e+02   -5.01133233e-02  
38      6.30957344e+03   1.11614998e+02   -6.30889343e-02  
39      7.94328235e+03   1.11614986e+02   -7.94242588e-02  
40      1.00000000e+04   1.11614966e+02   -9.99892101e-02  
41      1.25892541e+04   1.11614935e+02   -1.25878942e-01  
42      1.58489319e+04   1.11614886e+02   -1.58472169e-01  
43      1.99526231e+04   1.11614807e+02   -1.99504581e-01  
44      2.51188643e+04   1.11614683e+02   -2.51161267e-01  
45      3.16227766e+04   1.11614486e+02   -3.16193062e-01  
46      3.98107171e+04   1.11614174e+02   -3.98063004e-01  
47      5.01187234e+04   1.11613680e+02   -5.01130679e-01  
48      6.30957344e+04   1.11612896e+02   -6.30884246e-01  
49      7.94328235e+04   1.11611655e+02   -7.94232419e-01  
50      1.00000000e+05   1.11609687e+02   -9.99871813e-01  
51      1.25892541e+05   1.11606568e+02   -1.25874894e+00  
52      1.58489319e+05   1.11601625e+02   -1.58464092e+00  
53      1.99526231e+05   1.11593790e+02   -1.99488465e+00  
54      2.51188643e+05   1.11581375e+02   -2.51129112e+00  
55      3.16227766e+05   1.11561698e+02   -3.16128906e+00  
56      3.98107171e+05   1.11530516e+02   -3.97934999e+00  
57      5.01187234e+05   1.11481103e+02   -5.00875285e+00  
58      6.30957344e+05   1.11402810e+02   -6.30374698e+00  
59      7.94328235e+05   1.11278772e+02   -7.93215828e+00  
60      1.00000000e+06   1.11082311e+02   -9.97843738e+00  
61      1.25892541e+06   1.10771254e+02   -1.25470332e+01  
62      1.58489319e+06   1.10279050e+02   -1.57657177e+01  
63      1.99526231e+06   1.09500942e+02   -1.97879389e+01  
64      2.51188643e+06   1.08272711e+02   -2.47921550e+01  
65      3.16227766e+06   1.06338653e+02   -3.09738496e+01  
66      3.98107171e+06   1.03305038e+02   -3.85215205e+01  
67      5.01187234e+06   9.85770371e+01   -4.75596441e+01  
68      6.30957344e+06   9.12859405e+01   -5.80270334e+01  
69      7.94328235e+06   8.02425215e+01   -6.94374909e+01  
70      1.00000000e+07   6.40324140e+01   -8.04551628e+01  
71      1.25892541e+07   4.15501064e+01   -8.82887490e+01  
72      1.58489319e+07   1.35035747e+01   -8.83396105e+01  
73      1.99526231e+07   -1.50395640e+01  -7.57265728e+01  
74      2.51188643e+07   -3.41937587e+01  -5.06943870e+01  
75      3.16227766e+07   -3.68423845e+01  -2.30763211e+01  
76      3.98107171e+07   -2.74449685e+01  -4.39453667e+00  
77      5.01187234e+07   -1.60212953e+01  3.24154221e+00   
78      6.30957344e+07   -7.93079063e+00  4.43190057e+00   
79      7.94328235e+07   -3.46703963e+00  3.42389779e+00   
80      1.00000000e+08   -1.31962560e+00  2.17820098e+00   
81      1.25892541e+08   -3.73694649e-01  1.22298579e+00   
82      1.58489319e+08   -3.82907353e-02  5.77978929e-01   
83      1.99526231e+08   -1.17097683e-03  2.50900103e-01   
84      2.51188643e+08   7.65105853e-03   1.24363761e-01   
85      3.16227766e+08   1.27123563e-02   5.62206824e-02   
86      3.98107171e+08   8.57508425e-03   2.14485281e-02   
87      5.01187234e+08   3.22843529e-03   6.64772424e-03   
88      6.30957344e+08   -2.87000116e-05  1.55049293e-03   
89      7.94328235e+08   -1.21454239e-03  2.13910274e-04   
90      1.00000000e+09   -1.30829108e-03  -1.77978321e-05  
91      1.25892541e+09   -1.04947462e-03  -2.04375609e-05  
92      1.58489319e+09   -7.63100382e-04  4.92727569e-06   
93      1.99526231e+09   -5.33894716e-04  3.20189930e-05   
94      2.51188643e+09   -3.60416399e-04  5.54239058e-05   
95      3.16227766e+09   -2.29485151e-04  6.69619929e-05   
96      3.98107171e+09   -1.34899191e-04  6.35871662e-05   
97      5.01187234e+09   -7.26880120e-05  5.02794156e-05   
98      6.30957344e+09   -3.61384078e-05  3.46009299e-05   
99      7.94328235e+09   -1.68158797e-05  2.15014485e-05   
100     1.00000000e+10   -7.44228262e-06  1.24299911e-05   
