Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}           I(L1)             I(L2)      
0        0.00000000e+00    0.00000000e+00    2.00000000e-01    2.00000000e-01    0.00000000e+00    0.00000000e+00
1        1.00000000e-04   -5.63701201e-03    9.59011991e-01    5.79505995e-01    5.63701201e-03   -3.79505995e-04
2        1.03125000e-04   -5.81588261e-03    9.79917952e-01    5.89958976e-01    5.81588261e-03   -3.89958976e-04
3        1.09375000e-04   -6.17817188e-03    1.01715408e+00    6.08577041e-01    6.17817188e-03   -4.08577041e-04
4        1.15625000e-04   -6.54810951e-03    1.04670301e+00    6.23351505e-01    6.54810951e-03   -4.23351505e-04
5        1.21875000e-04   -6.92328496e-03    1.07097306e+00    6.35486532e-01    6.92328496e-03   -4.35486532e-04
6        1.34375000e-04   -7.68317474e-03    1.10984226e+00    6.54921132e-01    7.68317474e-03   -4.54921132e-04
7        1.46875000e-04   -8.45106697e-03    1.14051819e+00    6.70259094e-01    8.45106697e-03   -4.70259094e-04
8        1.59375000e-04   -9.22330601e-03    1.16663875e+00    6.83319373e-01    9.22330601e-03   -4.83319373e-04
9        1.71875000e-04   -9.99821788e-03    1.18986020e+00    6.94930099e-01    9.99821788e-03   -4.94930099e-04
10       1.96875000e-04   -1.15531504e-02    1.23044460e+00    7.15222302e-01    1.15531504e-02   -5.15222302e-04
11       2.21875000e-04   -1.31132187e-02    1.26477546e+00    7.32387729e-01    1.31132187e-02   -5.32387729e-04
12       2.46875000e-04   -1.46772730e-02    1.29386086e+00    7.46930430e-01    1.46772730e-02   -5.46930430e-04
13       2.71875000e-04   -1.62447153e-02    1.31815750e+00    7.59078748e-01    1.62447153e-02   -5.59078748e-04
14       2.96875000e-04   -1.78150601e-02    1.33800931e+00    7.69004657e-01    1.78150601e-02   -5.69004657e-04
15       3.46875000e-04   -2.09625011e-02    1.36576990e+00    7.82884952e-01    2.09625011e-02   -5.82884952e-04
16       4.46875000e-04   -2.72722007e-02    1.38176190e+00    7.90880951e-01    2.72722007e-02   -5.90880951e-04
17       5.54181382e-04   -3.40396284e-02    1.35698866e+00    7.78494330e-01    3.40396284e-02   -5.78494330e-04
18       6.15224709e-04   -3.78779955e-02    1.32931622e+00    7.64658111e-01    3.78779955e-02   -5.64658111e-04
19       6.76268035e-04   -4.17053612e-02    1.29198837e+00    7.45994185e-01    4.17053612e-02   -5.45994185e-04
20       7.98354688e-04   -4.93002186e-02    1.20721956e+00    7.03609781e-01    4.93002186e-02   -5.03609781e-04
21       9.08232675e-04   -5.60518797e-02    1.12398653e+00    6.61993264e-01    5.60518797e-02   -4.61993264e-04
22       1.01811066e-03   -6.27053131e-02    1.04123225e+00    6.20616127e-01    6.27053131e-02   -4.20616127e-04
23       1.12798865e-03   -6.92466095e-02    9.61593105e-01    5.80796552e-01    6.92466095e-02   -3.80796552e-04
24       1.23786664e-03   -7.56625792e-02    8.87173134e-01    5.43586567e-01    7.56625792e-02   -3.43586567e-04
25       1.34774462e-03   -8.19416610e-02    8.18653676e-01    5.09326838e-01    8.19416610e-02   -3.09326838e-04
26       1.45762261e-03   -8.80729105e-02    7.56324296e-01    4.78162148e-01    8.80729105e-02   -2.78162148e-04
27       1.56750060e-03   -9.40461041e-02    6.99996645e-01    4.49998322e-01    9.40461041e-02   -2.49998322e-04
28       1.67737859e-03   -9.98514225e-02    6.49338760e-01    4.24669380e-01    9.98514225e-02   -2.24669380e-04
29       1.78725657e-03   -1.05479462e-01    6.03881414e-01    4.01940707e-01    1.05479462e-01   -2.01940707e-04
30       1.89713456e-03   -1.10921133e-01    5.63137599e-01    3.81568800e-01    1.10921133e-01   -1.81568800e-04
31       2.00701255e-03   -1.16167668e-01    5.26607635e-01    3.63303817e-01    1.16167668e-01   -1.63303817e-04
