Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}        I(XKS1:L1)        I(XKS1:L2)    
46       1.67989755e-03   -1.00379078e-01    2.51628712e-01    2.38725605e-01    1.00379078e-01   -3.87256052e-05
47       1.87497985e-03   -1.10161673e-01    2.48680258e-01    2.36516033e-01    1.10161673e-01   -3.65160332e-05
48       2.07006214e-03   -1.19348643e-01    2.45523540e-01    2.34147439e-01    1.19348643e-01   -3.41474392e-05
49       2.26514443e-03   -1.27890429e-01    2.42067476e-01    2.31557440e-01    1.27890429e-01   -3.15574399e-05
50       2.46022673e-03   -1.35740746e-01    2.38435584e-01    2.28832079e-01    1.35740746e-01   -2.88320794e-05
51       2.65530902e-03   -1.42857254e-01    2.34545867e-01    2.25917084e-01    1.42857254e-01   -2.59170835e-05
52       2.85039131e-03   -1.49201381e-01    2.30517895e-01    2.22894296e-01    1.49201381e-01   -2.28942960e-05
53       3.04547361e-03   -1.54738923e-01    2.26277888e-01    2.19716793e-01    1.54738923e-01   -1.97167934e-05
54       3.24055590e-03   -1.59439851e-01    2.21941444e-01    2.16462303e-01    1.59439851e-01   -1.64623031e-05
55       3.43563819e-03   -1.63278840e-01    2.17442115e-01    2.13090490e-01    1.63278840e-01   -1.30904896e-05
56       3.63072049e-03   -1.66235047e-01    2.12891430e-01    2.09674989e-01    1.66235047e-01   -9.67498873e-06
57       3.82580278e-03   -1.68292575e-01    2.08229383e-01    2.06181291e-01    1.68292575e-01   -6.18129126e-06
58       4.02088507e-03   -1.69440218e-01    2.03563281e-01    2.02678916e-01    1.69440218e-01   -2.67891585e-06
59       4.21596737e-03   -1.69671852e-01    1.98838668e-01    1.99138426e-01    1.69671852e-01    8.61574166e-07
60       4.41104966e-03   -1.68986146e-01    1.94158432e-01    1.95625157e-01    1.68986146e-01    4.37484304e-06
61       4.60613195e-03   -1.67386883e-01    1.89472787e-01    1.92114006e-01    1.67386883e-01    7.88599382e-06
62       4.80121424e-03   -1.64882636e-01    1.84879976e-01    1.88666031e-01    1.64882636e-01    1.13339686e-05
63       4.99629654e-03   -1.61487015e-01    1.80334023e-01    1.85259746e-01    1.61487015e-01    1.47402542e-05
64       5.19137883e-03   -1.57218309e-01    1.75928277e-01    1.81951816e-01    1.57218309e-01    1.80481842e-05
65       5.38646112e-03   -1.52099662e-01    1.71619749e-01    1.78723682e-01    1.52099662e-01    2.12763175e-05
66       5.58154342e-03   -1.46158683e-01    1.67496643e-01    1.75627499e-01    1.46158683e-01    2.43725013e-05
67       5.77662571e-03   -1.39427553e-01    1.63518173e-01    1.72646981e-01    1.39427553e-01    2.73530187e-05
68       5.97170800e-03   -1.31942603e-01    1.59767153e-01    1.69829649e-01    1.31942603e-01    3.01703508e-05
69       6.16679030e-03   -1.23744357e-01    1.56204267e-01    1.67160886e-01    1.23744357e-01    3.28391140e-05
70       6.36187259e-03   -1.14877081e-01    1.52906721e-01    1.64683467e-01    1.14877081e-01    3.53165325e-05
71       6.55695488e-03   -1.05388769e-01    1.49835996e-01    1.62383885e-01    1.05388769e-01    3.76161150e-05
72       6.75203718e-03   -9.53306648e-02    1.47063497e-01    1.60300081e-01    9.53306648e-02    3.96999189e-05
