Index       TIME              V(1)              V(2)              L1:L             {L1:L}           {2*L1:L}        {(L1:L)**2.0}     {(L1:L)*R1:R}  
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
1        1.00000000e-10    6.28318531e-07    1.52327380e-13    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
2        3.00000000e-10    1.88495559e-06    1.06629138e-12    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
3        7.00000000e-10    4.39822972e-06    4.11283732e-12    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
4        1.50000000e-09    9.42477796e-06    1.75176301e-11    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
5        3.10000000e-09    1.94778745e-05    7.35739522e-11    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
6        6.30000000e-09    3.95840674e-05    3.02673008e-10    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
7        1.27000000e-08    7.97964533e-05    1.22881249e-09    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
8        2.55000000e-08    1.60221225e-04    4.95282269e-09    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
9        5.11000000e-08    3.21070764e-04    1.98874941e-08    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
10       1.02300000e-07    6.42769813e-04    7.97012489e-08    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
11       2.04700000e-07    1.28616768e-03    3.19088854e-07    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
12       4.09500000e-07    2.57296154e-03    1.27676380e-06    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
13       8.19100000e-07    5.14653437e-03    5.10658396e-06    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
14       1.63830000e-06    1.02935607e-02    2.04150186e-05    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
15       2.45750000e-06    1.54403143e-02    4.59071877e-05    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
16       4.09590000e-06    2.57324580e-02    1.27353567e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
17       5.73430000e-06    3.60218748e-02    2.49294928e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
18       7.37270000e-06    4.63074742e-02    4.11566931e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
19       1.06495000e-05    6.68628614e-02    8.56340515e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
20       1.39263000e-05    8.73899068e-02    1.46036919e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
21       1.72031000e-05    1.07879909e-01    2.22220587e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
22       2.04799000e-05    1.28324183e-01    3.14034547e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
23       2.37567000e-05    1.48714063e-01    4.21322545e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
24       3.03103000e-05    1.89296096e-01    6.81582748e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
25       3.68639000e-05    2.29557206e-01    1.00171899e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
26       4.34175000e-05    2.69429137e-01    1.38028110e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
27       4.99711000e-05    3.08844293e-01    1.81573333e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
28       5.65247000e-05    3.47735851e-01    2.30645679e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
29       6.30783000e-05    3.86037876e-01    2.85075198e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
30       6.96319000e-05    4.23685434e-01    3.44684147e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
31       7.61855000e-05    4.60614699e-01    4.09287273e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
32       8.27391000e-05    4.96763062e-01    4.78692108e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
33       8.92927000e-05    5.32069241e-01    5.52699277e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
34       9.58463000e-05    5.66473378e-01    6.31102817e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
35       1.02399900e-04    5.99917147e-01    7.13690508e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
