Index       TIME              V(1)              V(2)             X1:L1:L          {X1:L1:L}       {2.0*X1:L1:L}     {X1:L1:L**2}    {(X1:L1:L)*R1:R} 
13       4.09500000e-07    2.57296154e-03    2.57296154e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
14       6.14300000e-07    3.85975115e-03    3.85975115e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
15       1.02390000e-06    6.43330906e-03    6.43330906e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
16       1.43350000e-06    9.00682436e-03    9.00682436e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
17       1.84310000e-06    1.15802800e-02    1.15802800e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
18       2.66230000e-06    1.67269441e-02    1.67269441e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
19       4.30070000e-06    2.70188066e-02    2.70188066e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
20       7.57750000e-06    4.75928514e-02    4.75928514e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
21       1.08543000e-05    6.81467225e-02    6.81467225e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
22       1.74079000e-05    1.09159106e-01    1.09159106e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
23       2.39615000e-05    1.49986427e-01    1.49986427e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
24       3.05151000e-05    1.90559470e-01    1.90559470e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
25       3.70687000e-05    2.30809448e-01    2.30809448e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
26       4.36223000e-05    2.70668124e-01    2.70668124e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
27       5.01759000e-05    3.10067925e-01    3.10067925e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
