Index       TIME              I(L1)      
0        0.00000000e+00    5.00000000e-02
1        1.00000000e-04    9.25924641e-03
2        1.01562500e-04    8.87127296e-03
3        1.02114516e-04    8.74478393e-03
4        1.02666532e-04    8.62336191e-03
5        1.03770563e-04    8.40879856e-03
6        1.04874595e-04    8.22806868e-03
7        1.05978626e-04    8.07665106e-03
8        1.07082658e-04    7.95074314e-03
9        1.08186690e-04    7.84712329e-03
10       1.09290721e-04    7.76304410e-03
11       1.10394753e-04    7.69614883e-03
12       1.11498784e-04    7.64440526e-03
13       1.12602816e-04    7.60605270e-03
14       1.13706848e-04    7.57955954e-03
15       1.14810879e-04    7.56359241e-03
16       1.15086887e-04    7.56140700e-03
17       1.15638903e-04    7.55814826e-03
18       1.16742934e-04    7.55815492e-03
19       1.17018942e-04    7.55976064e-03
20       1.17570958e-04    7.56397079e-03
21       1.18674990e-04    7.57651792e-03
22       1.19779021e-04    7.59202651e-03
23       1.20883053e-04    7.60916138e-03
24       1.21987085e-04    7.62788999e-03
25       1.24195148e-04    7.67002883e-03
26       1.28611274e-04    7.77172485e-03
27       1.33027400e-04    7.89459833e-03
28       1.37443527e-04    8.03614668e-03
29       1.41859653e-04    8.19416065e-03
30       1.50691906e-04    8.55130583e-03
31       1.59524159e-04    8.95409130e-03
32       1.68356412e-04    9.39234158e-03
33       1.77188664e-04    9.85817738e-03
34       1.86020917e-04    1.03455001e-02
35       1.94853170e-04    1.08495884e-02
36       2.12517675e-04    1.18932619e-02
37       2.47846687e-04    1.40651982e-02
38       2.83175698e-04    1.62961043e-02
39       3.18504709e-04    1.85493731e-02
40       3.50300819e-04    2.05852990e-02
41       3.78917318e-04    2.24204165e-02
42       4.07533817e-04    2.42564981e-02
43       4.36150316e-04    2.60925109e-02
44       4.64766815e-04    2.79276529e-02
45       4.93383314e-04    2.97612436e-02
46       5.21999813e-04    3.15926767e-02
47       5.50616312e-04    3.34213992e-02
48       5.79232810e-04    3.52469008e-02
49       6.07849309e-04    3.70687079e-02
50       6.36465808e-04    3.88863808e-02
51       6.65082307e-04    4.06995096e-02
52       7.22315305e-04    4.43105646e-02
53       7.79548303e-04    4.78992645e-02
54       8.36781301e-04    5.14630675e-02
55       8.94014299e-04    5.49997896e-02
56       9.51247297e-04    5.85074529e-02
57       1.00848030e-03    6.19842415e-02
58       1.06571329e-03    6.54284645e-02
59       1.12294629e-03    6.88385279e-02
60       1.18017929e-03    7.22129127e-02
61       1.23741229e-03    7.55501574e-02
62       1.29464528e-03    7.88488461e-02
63       1.35187828e-03    8.21075985e-02
64       1.46634428e-03    8.84999202e-02
65       1.58081027e-03    9.47167366e-02
66       1.69527627e-03    1.00747459e-01
67       1.80974227e-03    1.06582291e-01
68       1.92420826e-03    1.12211366e-01
69       2.03867426e-03    1.17625261e-01
70       2.15314025e-03    1.22814712e-01
71       2.26760625e-03    1.27770839e-01
72       2.38207225e-03    1.32485043e-01
73       2.61100424e-03    1.41155259e-01
74       2.63962074e-03    1.42164490e-01
75       2.69685373e-03    1.44137019e-01
76       2.75408673e-03    1.46038579e-01
77       2.76839498e-03    1.46503432e-01
78       2.79701148e-03    1.47421536e-01
79       2.80416561e-03    1.47647794e-01
