Index       TIME              V(2)              I(L1)             V(1)              I(L2)      
64       2.17903125e-02   -8.17700715e-01    8.17700715e-01   -8.17700715e-01    8.17700715e-01
65       2.25103125e-02   -7.88055976e-01    7.88055976e-01   -7.88055976e-01    7.88055976e-01
66       2.32303125e-02   -7.59485971e-01    7.59485971e-01   -7.59485971e-01    7.59485971e-01
67       2.39503125e-02   -7.31951737e-01    7.31951737e-01   -7.31951737e-01    7.31951737e-01
68       2.46703125e-02   -7.05415722e-01    7.05415722e-01   -7.05415722e-01    7.05415722e-01
69       2.53903125e-02   -6.79841738e-01    6.79841738e-01   -6.79841738e-01    6.79841738e-01
70       2.61103125e-02   -6.55194908e-01    6.55194908e-01   -6.55194908e-01    6.55194908e-01
71       2.68303125e-02   -6.31441618e-01    6.31441618e-01   -6.31441618e-01    6.31441618e-01
72       2.75503125e-02   -6.08549475e-01    6.08549475e-01   -6.08549475e-01    6.08549475e-01
73       2.82703125e-02   -5.86487258e-01    5.86487258e-01   -5.86487258e-01    5.86487258e-01
74       2.89903125e-02   -5.65224880e-01    5.65224880e-01   -5.65224880e-01    5.65224880e-01
75       2.97103125e-02   -5.44733344e-01    5.44733344e-01   -5.44733344e-01    5.44733344e-01
76       3.04303125e-02   -5.24984703e-01    5.24984703e-01   -5.24984703e-01    5.24984703e-01
77       3.11503125e-02   -5.05952025e-01    5.05952025e-01   -5.05952025e-01    5.05952025e-01
78       3.18703125e-02   -4.87609353e-01    4.87609353e-01   -4.87609353e-01    4.87609353e-01
79       3.25903125e-02   -4.69931673e-01    4.69931673e-01   -4.69931673e-01    4.69931673e-01
80       3.33103125e-02   -4.52894875e-01    4.52894875e-01   -4.52894875e-01    4.52894875e-01
81       3.40303125e-02   -4.36475725e-01    4.36475725e-01   -4.36475725e-01    4.36475725e-01
82       3.47503125e-02   -4.20651832e-01    4.20651832e-01   -4.20651832e-01    4.20651832e-01
83       3.54703125e-02   -4.05401615e-01    4.05401615e-01   -4.05401615e-01    4.05401615e-01
84       3.61903125e-02   -3.90704275e-01    3.90704275e-01   -3.90704275e-01    3.90704275e-01
85       3.69103125e-02   -3.76539770e-01    3.76539770e-01   -3.76539770e-01    3.76539770e-01
86       3.76303125e-02   -3.62888781e-01    3.62888781e-01   -3.62888781e-01    3.62888781e-01
87       3.83503125e-02   -3.49732692e-01    3.49732692e-01   -3.49732692e-01    3.49732692e-01
88       3.90703125e-02   -3.37053561e-01    3.37053561e-01   -3.37053561e-01    3.37053561e-01
89       3.97903125e-02   -3.24834097e-01    3.24834097e-01   -3.24834097e-01    3.24834097e-01
90       4.05103125e-02   -3.13057634e-01    3.13057634e-01   -3.13057634e-01    3.13057634e-01
91       4.12303125e-02   -3.01708113e-01    3.01708113e-01   -3.01708113e-01    3.01708113e-01
92       4.19503125e-02   -2.90770054e-01    2.90770054e-01   -2.90770054e-01    2.90770054e-01
93       4.26703125e-02   -2.80228542e-01    2.80228542e-01   -2.80228542e-01    2.80228542e-01
94       4.33903125e-02   -2.70069199e-01    2.70069199e-01   -2.70069199e-01    2.70069199e-01
95       4.41103125e-02   -2.60278171e-01    2.60278171e-01   -2.60278171e-01    2.60278171e-01
96       4.48303125e-02   -2.50842104e-01    2.50842104e-01   -2.50842104e-01    2.50842104e-01
97       4.55503125e-02   -2.41748130e-01    2.41748130e-01   -2.41748130e-01    2.41748130e-01
98       4.62703125e-02   -2.32983848e-01    2.32983848e-01   -2.32983848e-01    2.32983848e-01
99       4.69903125e-02   -2.24537303e-01    2.24537303e-01   -2.24537303e-01    2.24537303e-01
100      4.77103125e-02   -2.16396978e-01    2.16396978e-01   -2.16396978e-01    2.16396978e-01
101      4.84303125e-02   -2.08551770e-01    2.08551770e-01   -2.08551770e-01    2.08551770e-01
102      4.91503125e-02   -2.00990981e-01    2.00990981e-01   -2.00990981e-01    2.00990981e-01
103      4.98703125e-02   -1.93704299e-01    1.93704299e-01   -1.93704299e-01    1.93704299e-01
104      5.00000000e-02   -1.92420311e-01    1.92420311e-01   -1.92420311e-01    1.92420311e-01
End of Xyce(TM) Simulation
