Index       TIME              V(1)              V(2)              L1:L             {L1:L}          {R1:R*L1:L}   
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+02    1.00000000e+02    2.00000000e+02
1        1.00000000e-10    6.28318531e-07    6.28318531e-07    1.00000000e+02    1.00000000e+02    2.00000000e+02
2        3.00000000e-10    1.88495559e-06    1.88495559e-06    1.00000000e+02    1.00000000e+02    2.00000000e+02
3        7.00000000e-10    4.39822972e-06    4.39822972e-06    1.00000000e+02    1.00000000e+02    2.00000000e+02
4        1.50000000e-09    9.42477796e-06    9.42477796e-06    1.00000000e+02    1.00000000e+02    2.00000000e+02
5        3.10000000e-09    1.94778745e-05    1.94778745e-05    1.00000000e+02    1.00000000e+02    2.00000000e+02
6        6.30000000e-09    3.95840674e-05    3.95840674e-05    1.00000000e+02    1.00000000e+02    2.00000000e+02
7        1.27000000e-08    7.97964533e-05    7.97964533e-05    1.00000000e+02    1.00000000e+02    2.00000000e+02
8        2.55000000e-08    1.60221225e-04    1.60221225e-04    1.00000000e+02    1.00000000e+02    2.00000000e+02
9        5.11000000e-08    3.21070764e-04    3.21070764e-04    1.00000000e+02    1.00000000e+02    2.00000000e+02
10       1.02300000e-07    6.42769813e-04    6.42769813e-04    1.00000000e+02    1.00000000e+02    2.00000000e+02
11       2.04700000e-07    1.28616768e-03    1.28616768e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02
12       3.07100000e-07    1.92956501e-03    1.92956501e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02
13       4.09500000e-07    2.57296154e-03    2.57296154e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02
14       6.14300000e-07    3.85975115e-03    3.85975115e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02
15       1.02390000e-06    6.43330906e-03    6.43330906e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02
16       1.43350000e-06    9.00682436e-03    9.00682436e-03    1.00000000e+02    1.00000000e+02    2.00000000e+02
17       1.84310000e-06    1.15802800e-02    1.15802800e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02
18       2.66230000e-06    1.67269441e-02    1.67269441e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02
19       4.30070000e-06    2.70188066e-02    2.70188066e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02
20       7.57750000e-06    4.75928514e-02    4.75928514e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02
21       1.08543000e-05    6.81467225e-02    6.81467225e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02
