STEPNUM  Index       FREQ             RLP1:R            RLP2:R            INOISE            ONOISE      
2        13       3.98107171e+04    1.00000000e+02    1.50000000e+03    3.42123582e-15    6.08785498e-16
2        14       6.30957344e+04    1.00000000e+02    1.50000000e+03    3.42123582e-15    4.24014114e-16
2        15       1.00000000e+05    1.00000000e+02    1.50000000e+03    3.42123582e-15    2.40592023e-16
2        16       1.58489319e+05    1.00000000e+02    1.50000000e+03    3.42123582e-15    1.15303151e-16
2        17       2.51188643e+05    1.00000000e+02    1.50000000e+03    3.42123582e-15    4.99565035e-17
2        18       3.98107171e+05    1.00000000e+02    1.50000000e+03    3.42123582e-15    2.06126829e-17
2        19       6.30957344e+05    1.00000000e+02    1.50000000e+03    3.42123582e-15    8.32684131e-18
2        20       1.00000000e+06    1.00000000e+02    1.50000000e+03    3.42123582e-15    3.33451454e-18
2        21       1.58489319e+06    1.00000000e+02    1.50000000e+03    3.42123582e-15    1.33061650e-18
2        22       2.51188643e+06    1.00000000e+02    1.50000000e+03    3.42123582e-15    5.30224457e-19
2        23       3.98107171e+06    1.00000000e+02    1.50000000e+03    3.42123582e-15    2.11164950e-19
2        24       6.30957344e+06    1.00000000e+02    1.50000000e+03    3.42123582e-15    8.40787747e-20
2        25       1.00000000e+07    1.00000000e+02    1.50000000e+03    3.42123582e-15    3.34743437e-20
2        26       1.58489319e+07    1.00000000e+02    1.50000000e+03    3.42123582e-15    1.33266902e-20
2        27       2.51188643e+07    1.00000000e+02    1.50000000e+03    3.42123582e-15    5.30550068e-21
2        28       3.98107171e+07    1.00000000e+02    1.50000000e+03    3.42123582e-15    2.11216575e-21
2        29       6.30957344e+07    1.00000000e+02    1.50000000e+03    3.42123582e-15    8.40869580e-22
2        30       1.00000000e+08    1.00000000e+02    1.50000000e+03    3.42123582e-15    3.34756407e-22

3        0        1.00000000e+02    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.70221706e-16
3        1        1.58489319e+02    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.70213499e-16
3        2        2.51188643e+02    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.70192885e-16
3        3        3.98107171e+02    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.70141109e-16
3        4        6.30957344e+02    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.70011082e-16
3        5        1.00000000e+03    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.69684639e-16
3        6        1.58489319e+03    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.68865731e-16
3        7        2.51188643e+03    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.66815514e-16
3        8        3.98107171e+03    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.61708026e-16
3        9        6.30957344e+03    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.49140202e-16
3        10       1.00000000e+04    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.19131075e-16
3        11       1.58489319e+04    1.00000000e+03    1.50000000e+03    3.48090854e-15    7.52344284e-16
3        12       2.51188643e+04    1.00000000e+03    1.50000000e+03    3.48090854e-15    6.24453981e-16
3        13       3.98107171e+04    1.00000000e+03    1.50000000e+03    3.48090854e-15    4.37601222e-16
3        14       6.30957344e+04    1.00000000e+03    1.50000000e+03    3.48090854e-15    2.49826388e-16
3        15       1.00000000e+05    1.00000000e+03    1.50000000e+03    3.48090854e-15    1.20233043e-16
3        16       1.58489319e+05    1.00000000e+03    1.50000000e+03    3.48090854e-15    5.22071416e-17
3        17       2.51188643e+05    1.00000000e+03    1.50000000e+03    3.48090854e-15    2.15626447e-17
3        18       3.98107171e+05    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.71420548e-18
3        19       6.30957344e+05    1.00000000e+03    1.50000000e+03    3.48090854e-15    3.49022391e-18
3        20       1.00000000e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    1.39284551e-18
3        21       1.58489319e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    5.55036487e-19
3        22       2.51188643e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    2.21048864e-19
3        23       3.98107171e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.80145943e-20
3        24       6.30957344e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    3.50413742e-20
3        25       1.00000000e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    1.39505605e-20
3        26       1.58489319e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    5.55387174e-21
3        27       2.51188643e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    2.21104466e-21
3        28       3.98107171e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.80234079e-22
3        29       6.30957344e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    3.50427712e-22
3        30       1.00000000e+08    1.00000000e+03    1.50000000e+03    3.48090854e-15    1.39507819e-22
End of Xyce(TM) Parameter Sweep
