Index       FREQ             RLP1:R            RLP2:R            INOISE            ONOISE      
20       1.00000000e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    1.39284551e-18
21       1.58489319e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    5.55036487e-19
22       2.51188643e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    2.21048864e-19
23       3.98107171e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.80145943e-20
24       6.30957344e+06    1.00000000e+03    1.50000000e+03    3.48090854e-15    3.50413742e-20
25       1.00000000e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    1.39505605e-20
26       1.58489319e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    5.55387174e-21
27       2.51188643e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    2.21104466e-21
28       3.98107171e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    8.80234079e-22
29       6.30957344e+07    1.00000000e+03    1.50000000e+03    3.48090854e-15    3.50427712e-22
30       1.00000000e+08    1.00000000e+03    1.50000000e+03    3.48090854e-15    1.39507819e-22
End of Xyce(TM) Parameter Sweep
