Index      TIME           mosfet:gainscale           mosfet:nltermscale           V(VOUT)           V(OUT20)           V(IN)           V(1)
47      0.00000000e+00   1.00000000e+00   7.51777926e-01   1.90810960e+00   2.23815469e-01   2.00000000e+00   2.00000000e+00   
48      0.00000000e+00   1.00000000e+00   7.60691919e-01   1.90282095e+00   2.32718497e-01   2.00000000e+00   2.00000000e+00   
49      0.00000000e+00   1.00000000e+00   7.69559700e-01   1.89737995e+00   2.41561217e-01   2.00000000e+00   2.00000000e+00   
50      0.00000000e+00   1.00000000e+00   7.78390949e-01   1.89179389e+00   2.50346215e-01   2.00000000e+00   2.00000000e+00   
51      0.00000000e+00   1.00000000e+00   7.87194057e-01   1.88607045e+00   2.59076151e-01   2.00000000e+00   2.00000000e+00   
52      0.00000000e+00   1.00000000e+00   7.95976290e-01   1.88021749e+00   2.67753709e-01   2.00000000e+00   2.00000000e+00   
53      0.00000000e+00   1.00000000e+00   8.04743922e-01   1.87424301e+00   2.76381547e-01   2.00000000e+00   2.00000000e+00   
54      0.00000000e+00   1.00000000e+00   8.13502351e-01   1.86815506e+00   2.84962254e-01   2.00000000e+00   2.00000000e+00   
55      0.00000000e+00   1.00000000e+00   8.22256196e-01   1.86196165e+00   2.93498315e-01   2.00000000e+00   2.00000000e+00   
56      0.00000000e+00   1.00000000e+00   8.31009385e-01   1.85567072e+00   3.01992081e-01   2.00000000e+00   2.00000000e+00   
57      0.00000000e+00   1.00000000e+00   8.39765226e-01   1.84929009e+00   3.10445749e-01   2.00000000e+00   2.00000000e+00   
58      0.00000000e+00   1.00000000e+00   8.48526468e-01   1.84282743e+00   3.18861342e-01   2.00000000e+00   2.00000000e+00   
59      0.00000000e+00   1.00000000e+00   8.57295357e-01   1.83629024e+00   3.27240702e-01   2.00000000e+00   2.00000000e+00   
60      0.00000000e+00   1.00000000e+00   8.66073685e-01   1.82968581e+00   3.35585484e-01   2.00000000e+00   2.00000000e+00   
61      0.00000000e+00   1.00000000e+00   8.74862828e-01   1.82302126e+00   3.43897153e-01   2.00000000e+00   2.00000000e+00   
