V(g) I(d) I(g) I(s) I(b)
0.17 -4.069668e-10 2.40446e-11 1.338415e-10 2.490807e-10
0.16 -4.53572e-10 2.19136e-11 1.825777e-10 2.490807e-10
0.15 -5.140388e-10 1.98406e-11 2.451175e-10 2.490807e-10
0.14 -5.925168e-10 1.78397e-11 3.255963e-10 2.490807e-10
0.13 -6.944047e-10 1.59232e-11 4.294009e-10 2.490807e-10
0.12 -8.267294e-10 1.41002e-11 5.635485e-10 2.490807e-10
0.11 -9.986389e-10 1.23772e-11 7.371809e-10 2.490807e-10
0.1 -1.222e-09 1.07581e-11 9.622073e-10 2.490807e-10
0.09 -1.5125e-09 9.2443e-12 1.2541e-09 2.490807e-10
0.08 -1.8901e-09 7.8355e-12 1.6332e-09 2.490807e-10
0.07 -2.3814e-09 6.53e-12 2.1258e-09 2.490807e-10
0.06 -3.0206e-09 5.3252e-12 2.7662e-09 2.490807e-10
0.05 -3.8525e-09 4.218e-12 3.5992e-09 2.490807e-10
0.04 -4.9356e-09 3.2047e-12 4.6833e-09 2.490807e-10
0.03 -6.3461e-09 2.2818e-12 6.0947e-09 2.490807e-10
0.02 -8.1835e-09 1.4455e-12 7.933e-09 2.490807e-10
0.01 -1.05776e-08 6.923792e-13 1.03278e-08 2.490807e-10
0. -1.3698e-08 1.89741e-14 1.34489e-08 2.490807e-10
-0.01 -1.77659e-08 -6.426229e-13 1.75175e-08 2.490807e-10
-0.02 -2.30704e-08 -1.3567e-12 2.28227e-08 2.490807e-10
-0.03 -2.99892e-08 -2.1198e-12 2.97422e-08 2.490807e-10
-0.04 -3.90154e-08 -2.9262e-12 3.87692e-08 2.490807e-10
-0.05 -5.07933e-08 -3.7684e-12 5.0548e-08 2.490807e-10
-0.06 -6.61649e-08 -4.6383e-12 6.59204e-08 2.490807e-10
-0.07 -8.62299e-08 -5.5279e-12 8.59864e-08 2.490807e-10
-0.08 -1.12425e-07 -6.4317e-12 1.121824e-07 2.490807e-10
-0.09 -1.466265e-07 -7.3479e-12 1.463848e-07 2.490807e-10
-0.1 -1.912837e-07 -8.2802e-12 1.910429e-07 2.490807e-10
-0.11 -2.495926e-07 -9.2379e-12 2.493528e-07 2.490807e-10
-0.12 -3.257199e-07 -1.02363e-11 3.25481e-07 2.490807e-10
-0.13 -4.250919e-07 -1.12963e-11 4.248541e-07 2.490807e-10
-0.14 -5.547647e-07 -1.24449e-11 5.545281e-07 2.490807e-10
-0.15 -7.238953e-07 -1.37151e-11 7.236599e-07 2.490807e-10
-0.16 -9.44335e-07 -1.5148e-11 9.441011e-07 2.490807e-10
-0.17 -1.2314e-06 -1.67941e-11 1.2311e-06 2.490807e-10
-0.18 -1.6046e-06 -1.87164e-11 1.6044e-06 2.490807e-10
-0.19 -2.0891e-06 -2.09927e-11 2.0889e-06 2.490807e-10
-0.2 -2.7165e-06 -2.37198e-11 2.7163e-06 2.490807e-10
-0.21 -3.5266e-06 -2.70162e-11 3.5263e-06 2.490807e-10
-0.22 -4.5684e-06 -3.10254e-11 4.5682e-06 2.490807e-10
-0.23 -5.9018e-06 -3.59171e-11 5.9016e-06 2.490807e-10
