Index        TIME               V(VOUT)              V(IN)               V(1)        
0        0.0000000000e+00    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
1        7.5000000000e-09    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
2        2.2500000000e-08    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
3        5.2500000000e-08    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
4        1.1250000000e-07    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
5        2.3250000000e-07    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
6        3.8250000000e-07    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
7        5.3250000000e-07    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
8        6.8250000000e-07    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
9        8.3250000000e-07    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
10       9.8250000000e-07    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
11       1.1325000000e-06    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
12       1.2825000000e-06    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
13       1.4325000000e-06    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
14       1.5000000000e-06    5.3304066405e-01    3.2999659695e+00    3.3000000000e+00
15       1.5000078125e-06    5.3294001444e-01    3.2985786650e+00    3.2948437500e+00
16       1.5000155459e-06    5.3276674638e-01    3.2962090455e+00    3.2897396765e+00
17       1.5000232794e-06    5.3253957417e-01    3.2931097503e+00    3.2846356030e+00
18       1.5000310128e-06    5.3229019387e-01    3.2897028763e+00    3.2795315296e+00
19       1.5000464797e-06    5.3169678665e-01    3.2815362700e+00    3.2693233826e+00
20       1.5000619466e-06    5.3103575198e-01    3.2722935215e+00    3.2591152356e+00
21       1.5000774135e-06    5.3035568559e-01    3.2625551262e+00    3.2489070887e+00
22       1.5001083473e-06    5.2902568150e-01    3.2425490608e+00    3.2284907948e+00
23       1.5001392811e-06    5.2780044077e-01    3.2223189420e+00    3.2080745009e+00
24       1.5002011486e-06    5.2596023899e-01    3.1819440620e+00    3.1672419130e+00
25       1.5002630162e-06    5.2551921363e-01    3.1418619093e+00    3.1264093252e+00
26       1.5003248837e-06    5.2724911616e-01    3.1019321327e+00    3.0855767374e+00
27       1.5003867513e-06    5.3156974403e-01    3.0619625262e+00    3.0447441495e+00
28       1.5004486188e-06    5.3853180567e-01    3.0218786691e+00    3.0039115617e+00
29       1.5005104864e-06    5.4798272954e-01    2.9816800601e+00    2.9630789738e+00
30       1.5005723540e-06    5.5972186054e-01    2.9413885996e+00    2.9222463860e+00
31       1.5006342215e-06    5.7354874558e-01    2.9010226264e+00    2.8814137982e+00
32       1.5006960891e-06    5.8929505214e-01    2.8605968649e+00    2.8405812103e+00
33       1.5007579566e-06    6.0682734138e-01    2.8201213055e+00    2.7997486225e+00
34       1.5008198242e-06    6.2605408262e-01    2.7796041053e+00    2.7589160347e+00
35       1.5008816917e-06    6.4692234979e-01    2.7390512543e+00    2.7180834468e+00
36       1.5009435593e-06    6.6941917056e-01    2.6984676701e+00    2.6772508590e+00
37       1.5010054269e-06    6.9356927652e-01    2.6578567230e+00    2.6364182712e+00
38       1.5010672944e-06    7.1943667153e-01    2.6172206470e+00    2.5955856833e+00
39       1.5011291620e-06    7.4712509227e-01    2.5765602847e+00    2.5547530955e+00
40       1.5011910295e-06    7.7678059190e-01    2.5358753708e+00    2.5139205077e+00
41       1.5012528971e-06    8.0859276285e-01    2.4951646152e+00    2.4730879198e+00
42       1.5013147646e-06    8.4279478736e-01    2.4544263196e+00    2.4322553320e+00
43       1.5013766322e-06    8.7965807336e-01    2.4136593566e+00    2.3914227442e+00
44       1.5014384998e-06    9.1947806689e-01    2.3728649904e+00    2.3505901563e+00
45       1.5015003673e-06    9.6254546362e-01    2.3320492601e+00    2.3097575685e+00
46       1.5015622349e-06    1.0091004317e+00    2.2912251298e+00    2.2689249807e+00
47       1.5016241024e-06    1.0592748836e+00    2.2504121289e+00    2.2280923928e+00
48       1.5016859700e-06    1.1130415839e+00    2.2096311008e+00    2.1872598050e+00
49       1.5017478375e-06    1.1701953727e+00    2.1688952690e+00    2.1464272172e+00
50       1.5018097051e-06    1.2303798807e+00    2.1282031196e+00    2.1055946293e+00
51       1.5018715727e-06    1.2931461407e+00    2.0875390549e+00    2.0647620415e+00
52       1.5019334402e-06    1.3580132744e+00    2.0468815877e+00    2.0239294537e+00
53       1.5019953078e-06    1.4245116091e+00    2.0062120420e+00    1.9830968658e+00
54       1.5020571753e-06    1.4922061631e+00    1.9655186656e+00    1.9422642780e+00
55       1.5021809105e-06    1.6296204758e+00    1.8840522347e+00    1.8605991023e+00
56       1.5023046456e-06    1.7676516596e+00    1.8024591812e+00    1.7789339267e+00
57       1.5024283807e-06    1.9037069520e+00    1.7207536741e+00    1.6972687510e+00
58       1.5025521158e-06    2.0347854457e+00    1.6389304325e+00    1.6156035753e+00
59       1.5026634774e-06    2.1450148383e+00    1.5651711307e+00    1.5421049172e+00
60       1.5027562829e-06    2.2284804530e+00    1.5036308516e+00    1.4808533059e+00
61       1.5028347758e-06    2.2916356271e+00    1.4515637226e+00    1.4290480044e+00
62       1.5029054193e-06    2.3422621027e+00    1.4047224161e+00    1.3824232331e+00
63       1.5029760629e-06    2.3872328257e+00    1.3579157585e+00    1.3357984618e+00
64       1.5030467065e-06    2.4271537803e+00    1.3111489769e+00    1.2891736905e+00
