Index    TIME    v(drain)mean    v(drain)meanPlus    v(drain)meanMinus    v(drain)stddev    v(drain)variance    
48   4.56221300e-07   6.58152500e-01   1.08071700e+00   2.35588200e-01   4.22564300e-01   1.78560600e-01   
49   4.56594900e-07   6.43681600e-01   1.07125000e+00   2.16113600e-01   4.27568000e-01   1.82814400e-01   
50   4.56968500e-07   6.29120500e-01   1.06139300e+00   1.96847700e-01   4.32272800e-01   1.86859800e-01   
51   4.57342100e-07   6.14676000e-01   1.05108200e+00   1.78270200e-01   4.36405800e-01   1.90450000e-01   
52   4.57715800e-07   6.00386200e-01   1.04032200e+00   1.60450000e-01   4.39936200e-01   1.93543800e-01   
53   4.58089400e-07   5.86166700e-01   1.02917400e+00   1.43159400e-01   4.43007400e-01   1.96255500e-01   
54   4.58463000e-07   5.71976200e-01   1.01768000e+00   1.26272200e-01   4.45704000e-01   1.98652100e-01   
55   4.58836600e-07   5.57803700e-01   1.00586400e+00   1.09743100e-01   4.48060600e-01   2.00758300e-01   
56   4.59210200e-07   5.43589500e-01   9.93770400e-01   9.34086500e-02   4.50180900e-01   2.02662800e-01   
57   4.59583800e-07   5.29405400e-01   9.81414700e-01   7.73961200e-02   4.52009300e-01   2.04312400e-01   
58   4.59957400e-07   5.15409500e-01   9.68773100e-01   6.20458600e-02   4.53363600e-01   2.05538600e-01   
59   4.60331000e-07   5.01672800e-01   9.55840300e-01   4.75053500e-02   4.54167500e-01   2.06268100e-01   
60   4.60704700e-07   4.88287000e-01   9.42595900e-01   3.39781200e-02   4.54308900e-01   2.06396600e-01   
61   4.61078300e-07   4.75201800e-01   9.29022700e-01   2.13808400e-02   4.53820900e-01   2.05953500e-01   
62   4.61451900e-07   4.62192700e-01   9.15131700e-01   9.25373400e-03   4.52939000e-01   2.05153700e-01   
63   4.61825500e-07   4.49222500e-01   9.00928200e-01   -2.48318500e-03   4.51705700e-01   2.04038000e-01   
64   4.62199100e-07   4.36378000e-01   8.86401000e-01   -1.36449300e-02   4.50023000e-01   2.02520700e-01   
65   4.62572700e-07   4.23691800e-01   8.71538700e-01   -2.41551000e-02   4.47846900e-01   2.00566800e-01   
66   4.62946300e-07   4.11233700e-01   8.56320400e-01   -3.38530400e-02   4.45086700e-01   1.98102200e-01   
67   4.63319900e-07   3.98903700e-01   8.40707100e-01   -4.28996700e-02   4.41803400e-01   1.95190200e-01   
68   4.63693500e-07   3.86550500e-01   8.24691000e-01   -5.15899300e-02   4.38140400e-01   1.91967000e-01   
69   4.64067200e-07   3.74239900e-01   8.08271300e-01   -5.97915300e-02   4.34031400e-01   1.88383300e-01   
70   4.64440800e-07   3.61952000e-01   7.91431500e-01   -6.75274000e-02   4.29479400e-01   1.84452600e-01   
71   4.64814400e-07   3.49602200e-01   7.74163700e-01   -7.49593100e-02   4.24561500e-01   1.80252500e-01   
72   4.65188000e-07   3.37225700e-01   7.56473900e-01   -8.20224400e-02   4.19248200e-01   1.75769000e-01   
73   4.65561600e-07   3.24839400e-01   7.38365700e-01   -8.86870000e-02   4.13526400e-01   1.71004000e-01   
74   4.65935200e-07   3.12419100e-01   7.19837400e-01   -9.49991600e-02   4.07418300e-01   1.65989600e-01   
75   4.66308800e-07   2.99976500e-01   7.00899700e-01   -1.00946600e-01   4.00923200e-01   1.60739400e-01   
76   4.66682400e-07   2.87565600e-01   6.81566600e-01   -1.06435400e-01   3.94001000e-01   1.55236800e-01   
77   4.67056000e-07   2.75156200e-01   6.61829500e-01   -1.11517100e-01   3.86673300e-01   1.49516200e-01   
78   4.67429700e-07   2.62700100e-01   6.41697100e-01   -1.16297000e-01   3.78997000e-01   1.43638800e-01   
