Index        TIME             I(VB)           I(VIC)
0       0.00000000e+00   -3.24629210e-12  -1.28614283e-11  
1       1.00000000e-10   -3.24629107e-12  -1.28614284e-11  
2       3.00000000e-10   -3.24627900e-12  -1.28614203e-11  
3       7.00000000e-10   -3.24628188e-12  -1.28614192e-11  
4       1.50000000e-09   -3.24628335e-12  -1.28614227e-11  
5       3.10000000e-09   -3.24628147e-12  -1.28614157e-11  
6       6.30000000e-09   -3.24628270e-12  -1.28614235e-11  
7       1.27000000e-08   -3.24628188e-12  -1.28614159e-11  
8       2.55000000e-08   -3.24628294e-12  -1.28614234e-11  
9       5.11000000e-08   -3.24628170e-12  -1.28614158e-11  
10      1.02300000e-07   -3.24628299e-12  -1.28614234e-11  
11      2.02300000e-07   -3.24628163e-12  -1.28614158e-11  
12      3.02300000e-07   -3.24628298e-12  -1.28614234e-11  
13      4.02300000e-07   -3.24628160e-12  -1.28614158e-11  
14      5.02300000e-07   -3.24628302e-12  -1.28614233e-11  
15      6.02300000e-07   -3.24628158e-12  -1.28614159e-11  
16      7.02300000e-07   -3.24628302e-12  -1.28614233e-11  
17      8.02300000e-07   -3.24628161e-12  -1.28614159e-11  
18      9.02300000e-07   -3.24628302e-12  -1.28614233e-11  
19      1.00000000e-06   -3.24628157e-12  -1.28614159e-11  
0       0.00000000e+00   -3.51555271e-12  -1.40751994e-11  
1       1.00000000e-10   -3.51554149e-12  -1.40751898e-11  
2       3.00000000e-10   -3.51553657e-12  -1.40751889e-11  
3       7.00000000e-10   -3.51553670e-12  -1.40751729e-11  
4       1.50000000e-09   -3.51552418e-12  -1.40751846e-11  
5       3.10000000e-09   -3.51553496e-12  -1.40751692e-11  
6       6.30000000e-09   -3.51552709e-12  -1.40751886e-11  
7       1.27000000e-08   -3.51553325e-12  -1.40751685e-11  
8       2.55000000e-08   -3.51552657e-12  -1.40751883e-11  
9       5.11000000e-08   -3.51553355e-12  -1.40751684e-11  
10      1.02300000e-07   -3.51552649e-12  -1.40751883e-11  
11      2.02300000e-07   -3.51553355e-12  -1.40751684e-11  
12      3.02300000e-07   -3.51552647e-12  -1.40751883e-11  
13      4.02300000e-07   -3.51553355e-12  -1.40751684e-11  
14      5.02300000e-07   -3.51552647e-12  -1.40751883e-11  
15      6.02300000e-07   -3.51553354e-12  -1.40751684e-11  
16      7.02300000e-07   -3.51552646e-12  -1.40751883e-11  
17      8.02300000e-07   -3.51553356e-12  -1.40751684e-11  
18      9.02300000e-07   -3.51552643e-12  -1.40751883e-11  
19      1.00000000e-06   -3.51553363e-12  -1.40751684e-11  
0       0.00000000e+00   -3.78493906e-12  -1.52957535e-11  
1       1.00000000e-10   -3.78491103e-12  -1.52957253e-11  
2       3.00000000e-10   -3.78489874e-12  -1.52957211e-11  
3       7.00000000e-10   -3.78488943e-12  -1.52956956e-11  
4       1.50000000e-09   -3.78489979e-12  -1.52957222e-11  
5       3.10000000e-09   -3.78488473e-12  -1.52956920e-11  
6       6.30000000e-09   -3.78490370e-12  -1.52957241e-11  
7       1.27000000e-08   -3.78488467e-12  -1.52956924e-11  
8       2.55000000e-08   -3.78490271e-12  -1.52957237e-11  
9       5.11000000e-08   -3.78488482e-12  -1.52956924e-11  
10      1.02300000e-07   -3.78490255e-12  -1.52957235e-11  
11      2.02300000e-07   -3.78488476e-12  -1.52956924e-11  
12      3.02300000e-07   -3.78490254e-12  -1.52957235e-11  
13      4.02300000e-07   -3.78488476e-12  -1.52956924e-11  
14      5.02300000e-07   -3.78490256e-12  -1.52957235e-11  
15      6.02300000e-07   -3.78488474e-12  -1.52956924e-11  
16      7.02300000e-07   -3.78490259e-12  -1.52957235e-11  
17      8.02300000e-07   -3.78488477e-12  -1.52956924e-11  
18      9.02300000e-07   -3.78490255e-12  -1.52957234e-11  
19      1.00000000e-06   -3.78488476e-12  -1.52956925e-11  
0       0.00000000e+00   -4.05443082e-12  -1.65219830e-11  
1       1.00000000e-10   -4.05437804e-12  -1.65219303e-11  
2       3.00000000e-10   -4.05435683e-12  -1.65219010e-11  
3       7.00000000e-10   -4.05432864e-12  -1.65218889e-11  
4       1.50000000e-09   -4.05434784e-12  -1.65218940e-11  
5       3.10000000e-09   -4.05433636e-12  -1.65218936e-11  
6       6.30000000e-09   -4.05434843e-12  -1.65218946e-11  
7       1.27000000e-08   -4.05433474e-12  -1.65218938e-11  
8       2.55000000e-08   -4.05434914e-12  -1.65218947e-11  
9       5.11000000e-08   -4.05433499e-12  -1.65218941e-11  
10      1.02300000e-07   -4.05434936e-12  -1.65218947e-11  
11      2.02300000e-07   -4.05433506e-12  -1.65218941e-11  
12      3.02300000e-07   -4.05434935e-12  -1.65218947e-11  
13      4.02300000e-07   -4.05433510e-12  -1.65218942e-11  
14      5.02300000e-07   -4.05434938e-12  -1.65218947e-11  
15      6.02300000e-07   -4.05433515e-12  -1.65218943e-11  
16      7.02300000e-07   -4.05434927e-12  -1.65218946e-11  
17      8.02300000e-07   -4.05433520e-12  -1.65218944e-11  
18      9.02300000e-07   -4.05434924e-12  -1.65218945e-11  
19      1.00000000e-06   -4.05433527e-12  -1.65218944e-11  
End of Xyce(TM) Parameter Sweep
