Index	    FREQ                VM(1)
0      -1.000000000e-08    1.825051002e-07
1      -9.000000000e-07    2.322810004e-07
2      -8.000000000e-07    2.900486973e-07
3      -7.000000000e-07    3.596211226e-07
4      -6.000000000e-07    4.472916136e-07
5      -5.000000000e-07    5.643078710e-07
6      -4.000000000e-07    7.330710995e-07
7      -3.000000000e-07    1.005737170e-06
8      -2.000000000e-07    1.538619912e-06
9      -1.000000000e-07    1.829103034e+02
10      0.000000000e+00    3.654586305e+02
11      1.000000000e+07    1.829103034e+02
12      2.000000000e+07    1.538619912e-06
13      3.000000000e+07    1.005737170e-06
14      4.000000000e+07    7.330710995e-07
15      5.000000000e+07    5.643078710e-07
16      6.000000000e+07    4.472916136e-07
17      7.000000000e+07    3.596211226e-07
18      8.000000000e+07    2.900486973e-07
19      9.000000000e+07    2.322810004e-07
20      1.000000000e+08    1.825051002e-07
End of Xyce(TM) Simulation
