Index       V(1A)             I(R1)             P(R1)             V(2A)             I(R2)             P(R2)            {R3:R}      
0        5.00000000e-01    5.00000000e-04    2.50000000e-04    5.00000000e-01    5.00000000e-04    2.50000000e-04    5.00000000e+02
0        3.33333333e-01    3.33333333e-04    2.22222222e-04    5.00000000e-01    5.00000000e-04    2.50000000e-04    5.00000000e+02
0        5.00000000e-01    5.00000000e-04    2.50000000e-04    3.33333333e-01    3.33333333e-04    2.22222222e-04    5.00000000e+02
0        3.33333333e-01    3.33333333e-04    2.22222222e-04    3.33333333e-01    3.33333333e-04    2.22222222e-04    5.00000000e+02
0        5.00000000e-01    5.00000000e-04    2.50000000e-04    5.00000000e-01    5.00000000e-04    2.50000000e-04    1.00000000e+03
0        3.33333333e-01    3.33333333e-04    2.22222222e-04    5.00000000e-01    5.00000000e-04    2.50000000e-04    1.00000000e+03
0        5.00000000e-01    5.00000000e-04    2.50000000e-04    3.33333333e-01    3.33333333e-04    2.22222222e-04    1.00000000e+03
0        3.33333333e-01    3.33333333e-04    2.22222222e-04    3.33333333e-01    3.33333333e-04    2.22222222e-04    1.00000000e+03
End of Xyce(TM) Parameter Sweep
