Index            V(3)           V(1)        I(VIDS)
0       -1.75000000e+00   1.00000000e-01  1.66815682e-24   
1       -1.70000000e+00   1.00000000e-01  -1.66815682e-24  
2       -1.65000000e+00   1.00000000e-01  -1.66887627e-24  
3       -1.60000000e+00   1.00000000e-01  -1.66963357e-24  
4       -1.55000000e+00   1.00000000e-01  -1.67043505e-24  
5       -1.50000000e+00   1.00000000e-01  -1.67129965e-24  
6       -1.45000000e+00   1.00000000e-01  -1.67220210e-24  
7       -1.40000000e+00   1.00000000e-01  -1.67318029e-24  
8       -1.35000000e+00   1.00000000e-01  -1.67419634e-24  
9       -1.30000000e+00   1.00000000e-01  -1.67530706e-24  
10      -1.25000000e+00   1.00000000e-01  1.30894707e-06   
11      -1.20000000e+00   1.00000000e-01  5.13949333e-06   
12      -1.15000000e+00   1.00000000e-01  1.13384992e-05   
13      -1.10000000e+00   1.00000000e-01  1.97438471e-05   
14      -1.05000000e+00   1.00000000e-01  3.01875085e-05   
15      -1.00000000e+00   1.00000000e-01  4.24983315e-05   
16      -9.50000000e-01   1.00000000e-01  5.65045290e-05   
17      -9.00000000e-01   1.00000000e-01  7.20358553e-05   
18      -8.50000000e-01   1.00000000e-01  8.89254731e-05   
19      -8.00000000e-01   1.00000000e-01  1.07011520e-04   
20      -7.50000000e-01   1.00000000e-01  1.26138386e-04   
21      -7.00000000e-01   1.00000000e-01  1.46157728e-04   
22      -6.50000000e-01   1.00000000e-01  1.66929230e-04   
23      -6.00000000e-01   1.00000000e-01  1.88321151e-04   
24      -5.50000000e-01   1.00000000e-01  2.10210665e-04   
25      -5.00000000e-01   1.00000000e-01  2.32484034e-04   
26      -4.50000000e-01   1.00000000e-01  2.55036629e-04   
27      -4.00000000e-01   1.00000000e-01  2.77772823e-04   
28      -3.50000000e-01   1.00000000e-01  3.00605785e-04   
29      -3.00000000e-01   1.00000000e-01  3.23457180e-04   
30      -2.50000000e-01   1.00000000e-01  3.46256812e-04   
31      -2.00000000e-01   1.00000000e-01  3.68942213e-04   
32      -1.50000000e-01   1.00000000e-01  3.91458198e-04   
33      -1.00000000e-01   1.00000000e-01  4.13756395e-04   
34      -5.00000000e-02   1.00000000e-01  4.35794771e-04   
35      9.71445147e-17    1.00000000e-01  4.57537147e-04   
36      -1.75000000e+00   1.90000000e+00  6.14936892e-23   
37      -1.70000000e+00   1.90000000e+00  -1.65554136e-24  
38      -1.65000000e+00   1.90000000e+00  -1.65584428e-24  
39      -1.60000000e+00   1.90000000e+00  -1.65594526e-24  
40      -1.55000000e+00   1.90000000e+00  -1.65604623e-24  
41      -1.50000000e+00   1.90000000e+00  -1.65636178e-24  
42      -1.45000000e+00   1.90000000e+00  -1.65646275e-24  
43      -1.40000000e+00   1.90000000e+00  -1.65679092e-24  
44      -1.35000000e+00   1.90000000e+00  -1.65690451e-24  
45      -1.30000000e+00   1.90000000e+00  -1.65723268e-24  
46      -1.25000000e+00   1.90000000e+00  5.06902155e-06   
47      -1.20000000e+00   1.90000000e+00  1.98552408e-05   
48      -1.15000000e+00   1.90000000e+00  4.37696702e-05   
49      -1.10000000e+00   1.90000000e+00  7.62743776e-05   
50      -1.05000000e+00   1.90000000e+00  1.16876645e-04   
51      -1.00000000e+00   1.90000000e+00  1.65123954e-04   
52      -9.50000000e-01   1.90000000e+00  2.20599654e-04   
53      -9.00000000e-01   1.90000000e+00  2.82919212e-04   
54      -8.50000000e-01   1.90000000e+00  3.51726944e-04   
55      -8.00000000e-01   1.90000000e+00  4.26693161e-04   
56      -7.50000000e-01   1.90000000e+00  5.07511660e-04   
57      -7.00000000e-01   1.90000000e+00  5.93897519e-04   
58      -6.50000000e-01   1.90000000e+00  6.85585147e-04   
59      -6.00000000e-01   1.90000000e+00  7.82326553e-04   
60      -5.50000000e-01   1.90000000e+00  8.83889812e-04   
61      -5.00000000e-01   1.90000000e+00  9.90057690e-04   
62      -4.50000000e-01   1.90000000e+00  1.10062642e-03   
63      -4.00000000e-01   1.90000000e+00  1.21540461e-03   
64      -3.50000000e-01   1.90000000e+00  1.33421223e-03   
65      -3.00000000e-01   1.90000000e+00  1.45687977e-03   
66      -2.50000000e-01   1.90000000e+00  1.58324737e-03   
67      -2.00000000e-01   1.90000000e+00  1.71316416e-03   
68      -1.50000000e-01   1.90000000e+00  1.84648755e-03   
69      -1.00000000e-01   1.90000000e+00  1.98308265e-03   
70      -5.00000000e-02   1.90000000e+00  2.12282175e-03   
71      9.71445147e-17    1.90000000e+00  2.26558375e-03   
End of Xyce(TM) Simulation
