Index       TIME              V(A)              V(B)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-10    3.14159265e-07    5.15610408e-08
2        3.00000000e-10    9.42477796e-07    1.54683122e-07
3        7.00000000e-10    2.19911486e-06    3.60927286e-07
4        1.50000000e-09    4.71238898e-06    7.73415612e-07
5        3.10000000e-09    9.73893723e-06    1.59839227e-06
6        6.30000000e-09    1.97920337e-05    3.24834557e-06
7        1.27000000e-08    3.98982267e-05    6.54825218e-06
8        2.55000000e-08    8.01106123e-05    1.31480654e-05
9        5.11000000e-08    1.60535382e-04    2.63476914e-05
10       1.02300000e-07    3.21384906e-04    5.27469411e-05
11       2.04700000e-07    6.43083839e-04    1.05545421e-04
12       4.09500000e-07    1.28648077e-03    2.11142229e-04
13       8.19100000e-07    2.57326718e-03    4.22334621e-04
14       1.63830000e-06    5.14678035e-03    8.44709614e-04
15       3.27670000e-06    1.02933294e-02    1.68938127e-03
16       6.55350000e-06    2.05826099e-02    3.37809801e-03
17       1.31071000e-05    4.11306393e-02    6.75052053e-03
18       1.96607000e-05    6.16089381e-02    1.01114986e-02
19       2.62143000e-05    8.19827884e-02    1.34553342e-02
20       3.27679000e-05    1.02217650e-01    1.67763583e-02
21       3.93215000e-05    1.22279216e-01    2.00689407e-02
22       4.58751000e-05    1.42133478e-01    2.33274993e-02
23       5.24287000e-05    1.61746774e-01    2.65465098e-02
24       5.89823000e-05    1.81085853e-01    2.97205147e-02
25       6.55359000e-05    2.00117930e-01    3.28441331e-02
26       7.20895000e-05    2.18810737e-01    3.59120694e-02
27       7.86431000e-05    2.37132584e-01    3.89191223e-02
28       8.51967000e-05    2.55052410e-01    4.18601938e-02
29       9.17503000e-05    2.72539834e-01    4.47302978e-02
30       9.83039000e-05    2.89565208e-01    4.75245685e-02
31       1.04857500e-04    3.06099670e-01    5.02382686e-02
32       1.11411100e-04    3.22115187e-01    5.28667976e-02
33       1.17964700e-04    3.37584607e-01    5.54056990e-02
34       1.24518300e-04    3.52481705e-01    5.78506686e-02
35       1.31071900e-04    3.66781224e-01    6.01975614e-02
36       1.37625500e-04    3.80458922e-01    6.24423985e-02
37       1.44179100e-04    3.93491611e-01    6.45813741e-02
38       1.50732700e-04    4.05857196e-01    6.66108620e-02
39       1.57286300e-04    4.17534713e-01    6.85274215e-02
40       1.63839900e-04    4.28504364e-01    7.03278033e-02
41       1.70393500e-04    4.38747552e-01    7.20089551e-02
42       1.76947100e-04    4.48246912e-01    7.35680270e-02
43       1.83500700e-04    4.56986337e-01    7.50023755e-02
44       1.90054300e-04    4.64951014e-01    7.63095692e-02
45       1.96607900e-04    4.72127437e-01    7.74873917e-02
46       2.03161500e-04    4.78503442e-01    7.85338464e-02
47       2.09715100e-04    4.84068217e-01    7.94471590e-02
48       2.16268700e-04    4.88812330e-01    8.02257813e-02
49       2.22822300e-04    4.92727737e-01    8.08683931e-02
50       2.29375900e-04    4.95807801e-01    8.13739051e-02
51       2.35929500e-04    4.98047298e-01    8.17414602e-02
52       2.42483100e-04    4.99442434e-01    8.19704352e-02
53       2.49036700e-04    4.99990842e-01    8.20604421e-02
54       2.55590300e-04    4.99691592e-01    8.20113281e-02
55       2.62143900e-04    4.98545193e-01    8.18231766e-02
56       2.68697500e-04    4.96553587e-01    8.14963065e-02
57       2.75251100e-04    4.93720152e-01    8.10312720e-02
58       2.81804700e-04    4.90049690e-01    8.04288616e-02
59       2.88358300e-04    4.85548425e-01    7.96900964e-02
60       2.94911900e-04    4.80223987e-01    7.88162290e-02
61       3.01465500e-04    4.74085404e-01    7.78087408e-02
62       3.08019100e-04    4.67143082e-01    7.66693399e-02
63       3.14572700e-04    4.59408791e-01    7.53999580e-02
64       3.21126300e-04    4.50895643e-01    7.40027471e-02
65       3.27679900e-04    4.41618072e-01    7.24800760e-02
66       3.34233500e-04    4.31591805e-01    7.08345261e-02
67       3.40787100e-04    4.20833841e-01    6.90688872e-02
68       3.47340700e-04    4.09362418e-01    6.71861527e-02
69       3.53894300e-04    3.97196985e-01    6.51895144e-02
70       3.60447900e-04    3.84358165e-01    6.30823574e-02
71       3.67001500e-04    3.70867726e-01    6.08682540e-02
72       3.73555100e-04    3.56748537e-01    5.85509578e-02
73       3.80108700e-04    3.42024537e-01    5.61343976e-02
74       3.86662300e-04    3.26720687e-01    5.36226701e-02
75       3.93215900e-04    3.10862932e-01    5.10200337e-02
76       3.99769500e-04    2.94478157e-01    4.83309007e-02
77       4.06323100e-04    2.77594140e-01    4.55598302e-02
78       4.12876700e-04    2.60239505e-01    4.27115199e-02
79       4.19430300e-04    2.42443674e-01    3.97907989e-02
80       4.25983900e-04    2.24236817e-01    3.68026188e-02
81       4.32537500e-04    2.05649801e-01    3.37520455e-02
82       4.39091100e-04    1.86714138e-01    3.06442508e-02
83       4.45644700e-04    1.67461930e-01    2.74845035e-02
84       4.52198300e-04    1.47925816e-01    2.42781604e-02
85       4.58751900e-04    1.28138917e-01    2.10306575e-02
86       4.65305500e-04    1.08134778e-01    1.77475004e-02
87       4.71859100e-04    8.79473129e-02    1.44342551e-02
88       4.78412700e-04    6.76107470e-02    1.10965388e-02
89       4.84966300e-04    4.71595574e-02    7.74001003e-03
90       4.98073500e-04    6.05213045e-03    9.93299195e-04
91       5.11180700e-04   -3.50963209e-02   -5.76014473e-03
92       5.22165658e-04   -6.94105751e-02   -1.13919336e-02
93       5.33150617e-04   -1.03394300e-01   -1.69694748e-02
94       5.44135575e-04   -1.36885667e-01   -2.24662082e-02
95       5.55120534e-04   -1.69725193e-01   -2.78559589e-02
96       5.66105492e-04   -2.01756497e-01   -3.31130611e-02
97       5.77090451e-04   -2.32827048e-01   -3.82124809e-02
98       5.88075409e-04   -2.62788890e-01   -4.31299349e-02
99       5.99060367e-04   -2.91499346e-01   -4.78420067e-02
100      6.10045326e-04   -3.18821699e-01   -5.23262576e-02
101      6.21030284e-04   -3.44625842e-01   -5.65613339e-02
102      6.32015243e-04   -3.68788896e-01   -6.05270684e-02
103      6.43000201e-04   -3.91195799e-01   -6.42045764e-02
104      6.53985160e-04   -4.11739849e-01   -6.75763459e-02
105      6.64970118e-04   -4.30323219e-01   -7.06263207e-02
106      6.75955076e-04   -4.46857413e-01   -7.33399771e-02
107      6.86940035e-04   -4.61263699e-01   -7.57043927e-02
108      6.97924993e-04   -4.73473473e-01   -7.77083083e-02
109      7.08909952e-04   -4.83428593e-01   -7.93421814e-02
110      7.19894910e-04   -4.91081654e-01   -8.05982316e-02
111      7.30879869e-04   -4.96396213e-01   -8.14704776e-02
112      7.41864827e-04   -4.99346962e-01   -8.19547660e-02
113      7.52849785e-04   -4.99919848e-01   -8.20487904e-02
114      7.63834744e-04   -4.98112146e-01   -8.17521032e-02
115      7.74819702e-04   -4.93932461e-01   -8.10661171e-02
116      7.85804661e-04   -4.87400699e-01   -7.99940989e-02
117      7.96789619e-04   -4.78547963e-01   -7.85411533e-02
118      8.07774578e-04   -4.67416408e-01   -7.67141993e-02
119      8.18759536e-04   -4.54059044e-01   -7.45219367e-02
120      8.29744494e-04   -4.38539476e-01   -7.19748049e-02
121      8.40729453e-04   -4.20931609e-01   -6.90849332e-02
122      8.51714411e-04   -4.01319289e-01   -6.58660830e-02
123      8.62699370e-04   -3.79795910e-01   -6.23335823e-02
124      8.73684328e-04   -3.56463965e-01   -5.85042527e-02
125      8.84669287e-04   -3.31434559e-01   -5.43963292e-02
126      8.95654245e-04   -3.04826880e-01   -5.00293735e-02
127      9.06639203e-04   -2.76767634e-01   -4.54241807e-02
128      9.17624162e-04   -2.47390435e-01   -4.06026807e-02
129      9.28609120e-04   -2.16835178e-01   -3.55878330e-02
130      9.39594079e-04   -1.85247364e-01   -3.04035181e-02
131      9.50579037e-04   -1.52777413e-01   -2.50744233e-02
132      9.61563996e-04   -1.19579944e-01   -1.96259256e-02
133      9.72548954e-04   -8.58130427e-02   -1.40839704e-02
134      9.83533912e-04   -5.16375045e-02   -8.47494813e-03
135      9.94518871e-04   -1.72160715e-02   -2.82556863e-03
136      1.00000000e-03   -1.22464024e-16    6.59953015e-17
End of Xyce(TM) Simulation
