Index        TIME             V(N0)       V(N00000000000)
0       0.00000000e+00   -6.50000000e-02  -6.50000000e-02  
1       6.87194777e-05   -6.49057520e-02  -6.49818791e-02  
2       1.37438954e-04   -6.48611669e-02  -6.49411584e-02  
3       2.74877908e-04   -6.47765257e-02  -6.48558636e-02  
4       5.49755815e-04   -6.46072047e-02  -6.46868746e-02  
5       1.09951163e-03   -6.42725599e-02  -6.43519885e-02  
6       2.19902326e-03   -6.36164658e-02  -6.36961007e-02  
7       4.39804651e-03   -6.23573001e-02  -6.24367441e-02  
8       6.59706977e-03   -6.11652772e-02  -6.12449025e-02  
9       8.79609302e-03   -6.00372524e-02  -6.01167055e-02  
10      1.09951163e-02   -5.89693725e-02  -5.90489891e-02  
11      1.31941395e-02   -5.79588304e-02  -5.80382918e-02  
12      1.53931628e-02   -5.70021646e-02  -5.70817733e-02  
13      1.75921860e-02   -5.60968696e-02  -5.61763386e-02  
14      1.97912093e-02   -5.52398354e-02  -5.53194370e-02  
15      2.19902326e-02   -5.44288263e-02  -5.45083021e-02  
16      2.41892558e-02   -5.36610475e-02  -5.37406425e-02  
17      2.85873023e-02   -5.22457487e-02  -5.23252292e-02  
18      3.29853488e-02   -5.09778058e-02  -5.10573977e-02  
19      3.73833953e-02   -4.98421554e-02  -4.99216389e-02  
20      4.17814419e-02   -4.88247217e-02  -4.89043107e-02  
21      4.61794884e-02   -4.79134661e-02  -4.79929524e-02  
22      5.05775349e-02   -4.70970461e-02  -4.71766325e-02  
23      5.49755814e-02   -4.63658487e-02  -4.64453377e-02  
24      5.93736279e-02   -4.57107265e-02  -4.57903103e-02  
25      6.37716744e-02   -4.51240108e-02  -4.52035023e-02  
26      6.81697209e-02   -4.45983175e-02  -4.46778987e-02  
27      7.25677674e-02   -4.41275361e-02  -4.42070301e-02  
28      7.69658139e-02   -4.37056995e-02  -4.37852783e-02  
29      8.13638605e-02   -4.33279457e-02  -4.34074420e-02  
30      8.57619070e-02   -4.29894459e-02  -4.30690225e-02  
31      9.01599535e-02   -4.26863388e-02  -4.27658373e-02  
32      9.89560465e-02   -4.21700419e-02  -4.22496168e-02  
33      1.07752140e-01   -4.17561379e-02  -4.18356375e-02  
34      1.16548233e-01   -4.14241324e-02  -4.15037063e-02  
35      1.25344326e-01   -4.11580062e-02  -4.12375068e-02  
36      1.34140419e-01   -4.09445029e-02  -4.10240758e-02  
37      1.42936512e-01   -4.07733994e-02  -4.08529010e-02  
38      1.51732605e-01   -4.06360950e-02  -4.07156669e-02  
39      1.69324791e-01   -4.04358736e-02  -4.05153760e-02  
40      1.94324791e-01   -4.02666588e-02  -4.03462302e-02  
41      2.19324791e-01   -4.01781052e-02  -4.02576079e-02  
42      2.44324791e-01   -4.01316375e-02  -4.02112086e-02  
43      2.50000000e-01   -4.01249271e-02  -4.02044308e-02  
End of Xyce(TM) Simulation
