Index        TIME             V(N0)       V(N00000000000)
0       0.00000000e+00   -6.50000000e-02  -6.50000000e-02  
1       6.87194777e-05   -6.49057520e-02  -6.49818791e-02  
2       1.37438954e-04   -6.48611669e-02  -6.49411585e-02  
3       2.74877908e-04   -6.47765257e-02  -6.48558636e-02  
4       5.49755815e-04   -6.46072047e-02  -6.46868746e-02  
5       1.09951163e-03   -6.42725600e-02  -6.43519886e-02  
6       2.19902326e-03   -6.36164659e-02  -6.36961008e-02  
7       3.29853488e-03   -6.29784042e-02  -6.30578530e-02  
8       4.39804651e-03   -6.23574214e-02  -6.24370380e-02  
9       5.49755814e-03   -6.17534806e-02  -6.18329460e-02  
10      6.59706977e-03   -6.11657284e-02  -6.12453299e-02  
11      7.69658140e-03   -6.05940853e-02  -6.06735643e-02  
12      8.79609302e-03   -6.00377841e-02  -6.01173732e-02  
13      1.09951163e-02   -5.89700488e-02  -5.90495365e-02  
14      1.53931628e-02   -5.70012965e-02  -5.70808816e-02  
15      1.97912093e-02   -5.52378619e-02  -5.53173522e-02  
16      2.37494512e-02   -5.38086098e-02  -5.38881922e-02  
17      2.70145438e-02   -5.27320345e-02  -5.28115279e-02  
18      2.99531272e-02   -5.18354723e-02  -5.19150512e-02  
19      3.28917106e-02   -5.10025626e-02  -5.10820595e-02  
20      3.58302940e-02   -5.02285572e-02  -5.03081328e-02  
21      3.87688774e-02   -4.95095127e-02  -4.95890128e-02  
22      4.17074607e-02   -4.88413108e-02  -4.89208832e-02  
23      4.46460441e-02   -4.82205656e-02  -4.83000687e-02  
24      4.75846275e-02   -4.76437038e-02  -4.77232733e-02  
25      5.05232109e-02   -4.71078199e-02  -4.71873258e-02  
26      5.34617943e-02   -4.66098121e-02  -4.66893790e-02  
27      5.64003777e-02   -4.61471887e-02  -4.62266972e-02  
28      5.93389611e-02   -4.57172556e-02  -4.57968199e-02  
29      6.22775444e-02   -4.53178775e-02  -4.53973885e-02  
30      6.52161278e-02   -4.49467134e-02  -4.50262754e-02  
31      7.10932946e-02   -4.42807119e-02  -4.43602246e-02  
32      7.69704614e-02   -4.37057885e-02  -4.37853494e-02  
33      8.28476281e-02   -4.32096359e-02  -4.32891497e-02  
34      8.87247949e-02   -4.27813159e-02  -4.28608757e-02  
35      9.46019617e-02   -4.24116983e-02  -4.24912130e-02  
36      1.00479128e-01   -4.20925961e-02  -4.21721549e-02  
37      1.06356295e-01   -4.18172451e-02  -4.18967609e-02  
38      1.12233462e-01   -4.15795090e-02  -4.16590669e-02  
39      1.23987796e-01   -4.11955055e-02  -4.12750220e-02  
40      1.35742129e-01   -4.09098215e-02  -4.09893789e-02  
41      1.47496463e-01   -4.06974002e-02  -4.07769172e-02  
42      1.59250796e-01   -4.05393379e-02  -4.06188947e-02  
43      1.82759463e-01   -4.03309970e-02  -4.04105144e-02  
44      2.07759463e-01   -4.02117373e-02  -4.02912939e-02  
45      2.32759463e-01   -4.01493249e-02  -4.02288425e-02  
46      2.50000000e-01   -4.01249288e-02  -4.02044852e-02  
End of Xyce(TM) Simulation
