Index       TIME             V(IN1)            V(OUT)      
0        0.00000000e+00   -6.50000000e-02   -6.50001272e-02
1        5.00000000e-05   -6.02230220e-02   -6.51573597e-02
2        1.00000000e-04   -5.83027992e-02   -6.53122138e-02
3        1.50000000e-04   -5.68715608e-02   -6.54651206e-02
4        2.00000000e-04   -5.57030374e-02   -6.56162802e-02
5        2.50000000e-04   -5.46859382e-02   -6.57659538e-02
6        3.00000000e-04   -5.37645389e-02   -6.59143161e-02
7        3.50000000e-04   -5.29035805e-02   -6.60614741e-02
8        4.00000000e-04   -5.20774427e-02   -6.62074822e-02
9        4.50000000e-04   -5.12655330e-02   -6.63523551e-02
10       5.00000000e-04   -5.04497939e-02   -6.64960781e-02
11       5.50000000e-04   -4.96130779e-02   -6.66386156e-02
12       6.00000000e-04   -4.87378848e-02   -6.67799175e-02
13       6.50000000e-04   -4.78051480e-02   -6.69199245e-02
14       7.00000000e-04   -4.67928673e-02   -6.70585717e-02
15       7.50000000e-04   -4.56744372e-02   -6.71957920e-02
16       8.00000000e-04   -4.44163612e-02   -6.73315182e-02
17       8.50000000e-04   -4.29750811e-02   -6.74656841e-02
18       9.00000000e-04   -4.12924103e-02   -6.75982264e-02
19       9.50000000e-04   -3.92889179e-02   -6.77290844e-02
20       1.00000000e-03   -3.68543679e-02   -6.78582011e-02
21       1.05000000e-03   -3.38344459e-02   -6.79855234e-02
22       1.10000000e-03   -3.00142038e-02   -6.81110014e-02
23       1.15000000e-03   -2.51037036e-02   -6.82345894e-02
24       1.20000000e-03   -1.87465693e-02   -6.83562450e-02
25       1.25000000e-03   -1.06064152e-02   -6.84759292e-02
26       1.30000000e-03   -6.18732491e-04   -6.85936064e-02
27       1.35000000e-03    1.06066678e-02   -6.87092443e-02
28       1.40000000e-03    2.16126038e-02   -6.88228132e-02
29       1.45000000e-03    3.06649761e-02   -6.89342866e-02
30       1.50000000e-03    3.67630022e-02   -6.90436402e-02
31       1.55000000e-03    4.00382130e-02   -6.91508523e-02
32       1.60000000e-03    4.12586524e-02   -6.92559032e-02
33       1.65000000e-03    4.11878042e-02   -6.93587749e-02
34       1.70000000e-03    4.03324292e-02   -6.94594508e-02
35       1.75000000e-03    3.89783321e-02   -6.95579149e-02
36       1.80000000e-03    3.72833972e-02   -6.96541516e-02
37       1.85000000e-03    3.53406300e-02   -6.97481439e-02
38       1.90000000e-03    3.32105952e-02   -6.98398729e-02
39       1.95000000e-03    3.09368825e-02   -6.99293156e-02
40       2.00000000e-03    2.85534396e-02   -7.00164426e-02
41       2.05000000e-03    2.60880955e-02   -7.01012149e-02
42       2.10000000e-03    2.35643042e-02   -7.01835798e-02
43       2.15000000e-03    2.10020451e-02   -7.02634659e-02
44       2.20000000e-03    1.84183416e-02   -7.03407757e-02
45       2.25000000e-03    1.58275985e-02   -7.04153783e-02
46       2.30000000e-03    1.32418723e-02   -7.04870985e-02
47       2.35000000e-03    1.06711039e-02   -7.05557049e-02
48       2.40000000e-03    8.12334507e-03   -7.06208948e-02
49       2.45000000e-03    5.60497074e-03   -7.06822754e-02
50       2.50000000e-03    3.12088965e-03   -7.07393421e-02
51       2.55000000e-03    6.74736358e-04   -7.07914506e-02
52       2.60000000e-03   -1.73094307e-03   -7.08377835e-02
53       2.65000000e-03   -4.09453143e-03   -7.08773093e-02
54       2.70000000e-03   -6.41519351e-03   -7.09087315e-02
55       2.75000000e-03   -8.69276208e-03   -7.09304265e-02
56       2.80000000e-03   -1.09276433e-02   -7.09403662e-02
57       2.85000000e-03   -1.31207618e-02   -7.09360237e-02
58       2.90000000e-03   -1.52735321e-02   -7.09142556e-02
59       2.95000000e-03   -1.73878750e-02   -7.08711575e-02
60       3.00000000e-03   -1.94662635e-02   -7.08018859e-02
61       3.05000000e-03   -2.15118137e-02   -7.07004369e-02
62       3.10000000e-03   -2.35283998e-02   -7.05593744e-02
63       3.15000000e-03   -2.55208013e-02   -7.03694928e-02
64       3.20000000e-03   -2.74948545e-02   -7.01194011e-02
65       3.25000000e-03   -2.94576084e-02   -6.97950074e-02
66       3.30000000e-03   -3.14174471e-02   -6.93788801e-02
67       3.35000000e-03   -3.33841658e-02   -6.88494549e-02
68       3.40000000e-03   -3.53689444e-02   -6.81800450e-02
69       3.45000000e-03   -3.73841721e-02   -6.73375991e-02
70       3.50000000e-03   -3.94430151e-02   -6.62811247e-02
71       3.55000000e-03   -4.15586068e-02   -6.49596518e-02
72       3.60000000e-03   -4.37426607e-02   -6.33095257e-02
73       3.65000000e-03   -4.60033041e-02   -6.12506505e-02
74       3.70000000e-03   -4.83419531e-02   -5.86809494e-02
75       3.75000000e-03   -5.07492875e-02   -5.54675500e-02
76       3.80000000e-03   -5.32008810e-02   -5.14316014e-02
77       3.85000000e-03   -5.56539038e-02   -4.63204621e-02
78       3.90000000e-03   -5.80471664e-02   -3.97564397e-02
79       3.95000000e-03   -6.03068613e-02   -3.11548269e-02
80       4.00000000e-03   -6.23585801e-02   -1.96751206e-02
81       4.05000000e-03   -6.41426694e-02   -4.59147052e-03
82       4.10000000e-03   -6.56268840e-02    1.31754326e-02
83       4.15000000e-03   -6.68107586e-02    2.95536709e-02
84       4.20000000e-03   -6.77204893e-02    3.99483538e-02
85       4.25000000e-03   -6.84034192e-02    4.40073682e-02
86       4.30000000e-03   -6.88966094e-02    4.44985080e-02
87       4.35000000e-03   -6.92473440e-02    4.39319905e-02
