Index        V(A1)            V(A2)           I(VOUT)
0       -4.00000000e-02  1.00000000e+00   0.00000000e+00   
1       -3.50000000e-02  1.00000000e+00   0.00000000e+00   
2       -3.00000000e-02  1.00000000e+00   0.00000000e+00   
3       -2.50000000e-02  1.00000000e+00   0.00000000e+00   
4       -2.00000000e-02  1.00000000e+00   0.00000000e+00   
5       -1.50000000e-02  1.00000000e+00   0.00000000e+00   
6       -1.00000000e-02  1.00000000e+00   0.00000000e+00   
7       -5.00000000e-03  1.00000000e+00   0.00000000e+00   
8       0.00000000e+00   1.00000000e+00   0.00000000e+00   
9       5.00000000e-03   1.00000000e+00   0.00000000e+00   
10      1.00000000e-02   1.00000000e+00   0.00000000e+00   
11      1.50000000e-02   1.00000000e+00   0.00000000e+00   
12      2.00000000e-02   1.00000000e+00   0.00000000e+00   
13      2.50000000e-02   1.00000000e+00   0.00000000e+00   
14      3.00000000e-02   1.00000000e+00   0.00000000e+00   
15      3.50000000e-02   1.00000000e+00   0.00000000e+00   
16      4.00000000e-02   1.00000000e+00   0.00000000e+00   
17      4.50000000e-02   1.00000000e+00   0.00000000e+00   
18      5.00000000e-02   1.00000000e+00   0.00000000e+00   
19      5.50000000e-02   1.00000000e+00   0.00000000e+00   
20      6.00000000e-02   1.00000000e+00   0.00000000e+00   
21      6.50000000e-02   1.00000000e+00   0.00000000e+00   
22      7.00000000e-02   1.00000000e+00   0.00000000e+00   
23      7.50000000e-02   1.00000000e+00   0.00000000e+00   
24      8.00000000e-02   1.00000000e+00   0.00000000e+00   
25      8.50000000e-02   1.00000000e+00   0.00000000e+00   
26      9.00000000e-02   1.00000000e+00   0.00000000e+00   
27      9.50000000e-02   1.00000000e+00   0.00000000e+00   
28      1.00000000e-01   1.00000000e+00   0.00000000e+00   
29      1.05000000e-01   1.00000000e+00   0.00000000e+00   
30      1.10000000e-01   1.00000000e+00   0.00000000e+00   
31      1.15000000e-01   1.00000000e+00   0.00000000e+00   
32      1.20000000e-01   1.00000000e+00   0.00000000e+00   
33      1.25000000e-01   1.00000000e+00   0.00000000e+00   
34      1.30000000e-01   1.00000000e+00   0.00000000e+00   
35      1.35000000e-01   1.00000000e+00   0.00000000e+00   
36      1.40000000e-01   1.00000000e+00   0.00000000e+00   
End of Xyce(TM) Simulation
