Index       TIME              V(A)              V(B)       
0        0.00000000e+00   -6.50000000e-02   -6.50000000e-02
1        5.00000000e-05   -5.99287887e-02   -6.50000000e-02
2        1.00000000e-04   -5.78213811e-02   -6.50000000e-02
3        1.50000000e-04   -5.62173133e-02   -6.50000000e-02
4        2.00000000e-04   -5.48850042e-02   -6.50000000e-02
5        2.50000000e-04   -5.36919800e-02   -6.50000000e-02
6        3.00000000e-04   -5.26514192e-02   -6.50000000e-02
7        3.50000000e-04   -5.16108584e-02   -6.50000000e-02
8        4.00000000e-04   -5.06876163e-02   -6.49999999e-02
9        4.50000000e-04   -4.98385473e-02   -6.49999997e-02
10       5.00000000e-04   -4.89894783e-02   -6.49999996e-02
11       5.50000000e-04   -4.82367218e-02   -6.49999986e-02
12       6.00000000e-04   -4.74991414e-02   -6.49999975e-02
13       6.50000000e-04   -4.67704629e-02   -6.49999958e-02
14       7.00000000e-04   -4.61102246e-02   -6.49999899e-02
15       7.50000000e-04   -4.54499863e-02   -6.49999839e-02
16       8.00000000e-04   -4.48109072e-02   -6.49999715e-02
17       8.50000000e-04   -4.42084307e-02   -6.49999481e-02
18       9.00000000e-04   -4.36059542e-02   -6.49999247e-02
19       9.50000000e-04   -4.30420360e-02   -6.49998155e-02
20       1.00000000e-03   -4.25019980e-02   -6.49996532e-02
21       1.05000000e-03   -4.19619600e-02   -6.49994909e-02
22       1.10000000e-03   -4.14219220e-02   -6.49993287e-02
23       1.15000000e-03   -4.08818841e-02   -6.49991664e-02
24       1.20000000e-03   -4.03494601e-02   -6.49989428e-02
25       1.25000000e-03   -3.98728820e-02   -6.49982695e-02
26       1.30000000e-03   -3.93963039e-02   -6.49975962e-02
27       1.35000000e-03   -3.89197257e-02   -6.49969229e-02
28       1.40000000e-03   -3.84431476e-02   -6.49962496e-02
29       1.45000000e-03   -3.79665695e-02   -6.49955763e-02
30       1.50000000e-03   -3.75186258e-02   -6.49941599e-02
31       1.55000000e-03   -3.70880525e-02   -6.49922927e-02
32       1.60000000e-03   -3.66574791e-02   -6.49904255e-02
33       1.65000000e-03   -3.62269057e-02   -6.49885583e-02
34       1.70000000e-03   -3.57963323e-02   -6.49866911e-02
35       1.75000000e-03   -3.53701977e-02   -6.49845583e-02
36       1.80000000e-03   -3.49751728e-02   -6.49805636e-02
37       1.85000000e-03   -3.45801478e-02   -6.49765689e-02
38       1.90000000e-03   -3.41851229e-02   -6.49725743e-02
39       1.95000000e-03   -3.37900979e-02   -6.49685796e-02
40       2.00000000e-03   -3.33950729e-02   -6.49645849e-02
41       2.05000000e-03   -3.30179965e-02   -6.49586224e-02
42       2.10000000e-03   -3.26515836e-02   -6.49514909e-02
43       2.15000000e-03   -3.22851707e-02   -6.49443593e-02
44       2.20000000e-03   -3.19187578e-02   -6.49372277e-02
45       2.25000000e-03   -3.15523449e-02   -6.49300962e-02
46       2.30000000e-03   -3.11890094e-02   -6.49224390e-02
47       2.35000000e-03   -3.08463149e-02   -6.49112563e-02
48       2.40000000e-03   -3.05036204e-02   -6.49000736e-02
49       2.45000000e-03   -3.01609260e-02   -6.48888910e-02
50       2.50000000e-03   -2.98182315e-02   -6.48777083e-02
51       2.55000000e-03   -2.94755370e-02   -6.48665257e-02
52       2.60000000e-03   -2.91455501e-02   -6.48523263e-02
53       2.65000000e-03   -2.88229566e-02   -6.48363718e-02
54       2.70000000e-03   -2.85003630e-02   -6.48204173e-02
55       2.75000000e-03   -2.81777694e-02   -6.48044628e-02
56       2.80000000e-03   -2.78551758e-02   -6.47885083e-02
57       2.85000000e-03   -2.75358836e-02   -6.47714674e-02
58       2.90000000e-03   -2.72378109e-02   -6.47474436e-02
59       2.95000000e-03   -2.69397383e-02   -6.47234199e-02
60       3.00000000e-03   -2.66416656e-02   -6.46993961e-02
61       3.05000000e-03   -2.63435930e-02   -6.46753724e-02
62       3.10000000e-03   -2.60455203e-02   -6.46513487e-02
63       3.15000000e-03   -2.57474477e-02   -6.46273249e-02
64       3.20000000e-03   -2.54493750e-02   -6.46033012e-02
65       3.25000000e-03   -2.51513024e-02   -6.45792774e-02
