Index       TIME            V(N16554)         V(N16997)    
40       1.00893868e-03    1.00000000e+00    3.80540089e-01
41       1.01729155e-03    1.00000000e+00    3.85592220e-01
42       1.03399731e-03    1.00000000e+00    3.95573373e-01
43       1.06740882e-03    1.00000000e+00    4.15053161e-01
44       1.13423185e-03    1.00000000e+00    4.52159191e-01
45       1.20105488e-03    1.00000000e+00    4.86911404e-01
46       1.26787791e-03    1.00000000e+00    5.19459115e-01
47       1.33470094e-03    1.00000000e+00    5.49942166e-01
48       1.40152396e-03    1.00000000e+00    5.78491528e-01
49       1.46834699e-03    1.00000000e+00    6.05229866e-01
50       1.53517002e-03    1.00000000e+00    6.30272060e-01
51       1.60199305e-03    1.00000000e+00    6.53725705e-01
52       1.66881607e-03    1.00000000e+00    6.75691572e-01
53       1.73563910e-03    1.00000000e+00    6.96264037e-01
54       1.80246213e-03    1.00000000e+00    7.15531489e-01
55       1.86928516e-03    1.00000000e+00    7.33576714e-01
56       2.00293121e-03    1.00000000e+00    7.66338645e-01
57       2.13657727e-03    1.00000000e+00    7.95071859e-01
58       2.27022332e-03    1.00000000e+00    8.20271764e-01
59       2.40386938e-03    1.00000000e+00    8.42372851e-01
60       2.53751543e-03    1.00000000e+00    8.61756178e-01
61       2.67116149e-03    1.00000000e+00    8.78755948e-01
62       2.80480754e-03    1.00000000e+00    8.93665266e-01
63       2.93845360e-03    1.00000000e+00    9.06741192e-01
64       3.07209966e-03    1.00000000e+00    9.18209178e-01
65       3.20574571e-03    1.00000000e+00    9.28266953e-01
66       3.33939177e-03    1.00000000e+00    9.37087928e-01
67       3.60668388e-03    1.00000000e+00    9.51664236e-01
68       3.87397599e-03    1.00000000e+00    9.62863311e-01
69       4.14126810e-03    1.00000000e+00    9.71467634e-01
70       4.40856021e-03    1.00000000e+00    9.78078394e-01
71       4.67585232e-03    1.00000000e+00    9.83157484e-01
72       5.21043654e-03    1.00000000e+00    9.90151812e-01
73       6.00000000e-03    1.00000000e+00    9.95647903e-01
74       6.00625000e-03    9.93750000e-01    9.95514542e-01
75       6.01250000e-03    9.87500000e-01    9.95343930e-01
76       6.02500000e-03    9.75000000e-01    9.94928656e-01
77       6.05000000e-03    9.50000000e-01    9.93659197e-01
78       6.10000000e-03    9.00000000e-01    9.89417131e-01
79       6.15000000e-03    8.50000000e-01    9.82985689e-01
80       6.20000000e-03    8.00000000e-01    9.74469627e-01
81       6.25000000e-03    7.50000000e-01    9.63968688e-01
82       6.30000000e-03    7.00000000e-01    9.51577842e-01
83       6.35000000e-03    6.50000000e-01    9.37387514e-01
84       6.40000000e-03    6.00000000e-01    9.21483806e-01
85       6.45000000e-03    5.50000000e-01    9.03948695e-01
86       6.50000000e-03    5.00000000e-01    8.84860241e-01
87       6.55000000e-03    4.50000000e-01    8.64292765e-01
88       6.60000000e-03    4.00000000e-01    8.42317035e-01
89       6.65000000e-03    3.50000000e-01    8.19000430e-01
90       6.70000000e-03    3.00000000e-01    7.94407108e-01
91       6.75000000e-03    2.50000000e-01    7.68598156e-01
92       6.80000000e-03    2.00000000e-01    7.41631737e-01
93       6.85000000e-03    1.50000000e-01    7.13563233e-01
94       6.90000000e-03    1.00000000e-01    6.84445375e-01
95       6.95000000e-03    5.00000000e-02    6.54328371e-01
96       7.00000000e-03    5.21804822e-15    6.23260028e-01
97       7.00312500e-03    0.00000000e+00    6.21356363e-01
98       7.00937500e-03    0.00000000e+00    6.17572219e-01
99       7.02187500e-03    0.00000000e+00    6.10050024e-01
100      7.04687500e-03    0.00000000e+00    5.95278837e-01
101      7.09687500e-03    0.00000000e+00    5.66796596e-01
102      7.14687500e-03    0.00000000e+00    5.39677142e-01
103      7.19687500e-03    0.00000000e+00    5.13855269e-01
104      7.24687500e-03    0.00000000e+00    4.89268892e-01
105      7.29687500e-03    0.00000000e+00    4.65858898e-01
106      7.34687500e-03    0.00000000e+00    4.43568998e-01
107      7.39687500e-03    0.00000000e+00    4.22345601e-01
108      7.44687500e-03    0.00000000e+00    4.02137678e-01
109      7.49687500e-03    0.00000000e+00    3.82896640e-01
110      7.54687500e-03    0.00000000e+00    3.64576227e-01
111      7.59687500e-03    0.00000000e+00    3.47132388e-01
112      7.64687500e-03    0.00000000e+00    3.30523183e-01
113      7.69687500e-03    0.00000000e+00    3.14708677e-01
114      7.74687500e-03    0.00000000e+00    2.99650845e-01
115      7.79687500e-03    0.00000000e+00    2.85313484e-01
116      7.84687500e-03    0.00000000e+00    2.71662121e-01
117      7.89687500e-03    0.00000000e+00    2.58663934e-01
118      7.94687500e-03    0.00000000e+00    2.46287669e-01
119      7.99687500e-03    0.00000000e+00    2.34503570e-01
120      8.04687500e-03    0.00000000e+00    2.23283304e-01
121      8.09687500e-03    0.00000000e+00    2.12599892e-01
122      8.14687500e-03    0.00000000e+00    2.02427648e-01
123      8.19687500e-03    0.00000000e+00    1.92742115e-01
124      8.24687500e-03    0.00000000e+00    1.83520004e-01
125      8.29687500e-03    0.00000000e+00    1.74739143e-01
126      8.34687500e-03    0.00000000e+00    1.66378418e-01
127      8.39687500e-03    0.00000000e+00    1.58417728e-01
128      8.44687500e-03    0.00000000e+00    1.50837933e-01
129      8.49687500e-03    0.00000000e+00    1.43620807e-01
130      8.54687500e-03    0.00000000e+00    1.36748998e-01
131      8.59687500e-03    0.00000000e+00    1.30205984e-01
132      8.64687500e-03    0.00000000e+00    1.23976032e-01
133      8.69687500e-03    0.00000000e+00    1.18044165e-01
134      8.74687500e-03    0.00000000e+00    1.12396118e-01
135      8.79687500e-03    0.00000000e+00    1.07018314e-01
136      8.84687500e-03    0.00000000e+00    1.01897820e-01
137      8.89687500e-03    0.00000000e+00    9.70223264e-02
138      8.94687500e-03    0.00000000e+00    9.23801099e-02
139      8.99687500e-03    0.00000000e+00    8.79600089e-02
140      9.04687500e-03    0.00000000e+00    8.37513961e-02
141      9.09687500e-03    0.00000000e+00    7.97441522e-02
142      9.14687500e-03    0.00000000e+00    7.59286425e-02
143      9.19687500e-03    0.00000000e+00    7.22956931e-02
144      9.24687500e-03    0.00000000e+00    6.88365691e-02
145      9.29687500e-03    0.00000000e+00    6.55429533e-02
146      9.34687500e-03    0.00000000e+00    6.24069269e-02
147      9.39687500e-03    0.00000000e+00    5.94209495e-02
148      9.44687500e-03    0.00000000e+00    5.65778419e-02
149      9.49687500e-03    0.00000000e+00    5.38707681e-02
150      9.54687500e-03    0.00000000e+00    5.12932194e-02
151      9.59687500e-03    0.00000000e+00    4.88389984e-02
152      9.64687500e-03    0.00000000e+00    4.65022042e-02
153      9.69687500e-03    0.00000000e+00    4.42772183e-02
154      9.74687500e-03    0.00000000e+00    4.21586911e-02
155      9.79687500e-03    0.00000000e+00    4.01415289e-02
156      9.84687500e-03    0.00000000e+00    3.82208816e-02
157      9.89687500e-03    0.00000000e+00    3.63921312e-02
158      9.94687500e-03    0.00000000e+00    3.46508809e-02
159      9.99687500e-03    0.00000000e+00    3.29929441e-02
160      1.00000000e-02    0.00000000e+00    3.28920173e-02
End of Xyce(TM) Simulation
