Index       FREQ             SP(1,1)           SP(1,2)           SP(2,1)           SP(2,2)           YP(1,1)           YP(1,2)           YP(2,1)           YP(2,2)           ZP(1,1)           ZP(1,2)           ZP(2,1)           ZP(2,2)     
24       2.51188643e+03   -3.14133921e+00   -1.57065170e+00   -1.57065170e+00   -2.35459483e-05    3.06797897e-01    1.87762101e+00    1.87762101e+00    4.12590202e-05   -3.06800786e-01   -1.57081369e+00   -1.57081369e+00   -4.41486539e-05
25       3.16227766e+03   -3.14139134e+00   -1.57068488e+00   -1.57068488e+00   -2.17926694e-05    2.46525797e-01    1.81734113e+00    1.81734113e+00    3.93626181e-05   -2.46527295e-01   -1.57081818e+00   -1.57081818e+00   -4.08612555e-05
26       3.98107171e+03   -3.14143274e+00   -1.57071212e+00   -1.57071212e+00   -2.11999295e-05    1.97288608e-01    1.76809717e+00    1.76809717e+00    3.89819397e-05   -1.97289376e-01   -1.57082384e+00   -1.57082384e+00   -3.97498680e-05
27       5.01187234e+03   -3.14146563e+00   -1.57073488e+00   -1.57073488e+00   -2.17361631e-05    1.57463079e-01    1.72826552e+00    1.72826552e+00    4.03649342e-05   -1.57463470e-01   -1.57083097e+00   -1.57083097e+00   -4.07553058e-05
28       6.30957344e+03   -3.14149176e+00   -1.57075436e+00   -1.57075436e+00   -2.34299266e-05    1.25459179e-01    1.69625583e+00    1.69625583e+00    4.37337034e-05   -1.25459376e-01   -1.57083994e+00   -1.57083994e+00   -4.39311124e-05
29       7.94328235e+03   -3.14151251e+00   -1.57077161e+00   -1.57077161e+00   -2.63714191e-05    9.98488478e-02    1.67063972e+00    1.67063972e+00    4.93469227e-05   -9.98489473e-02   -1.57085123e+00   -1.57085123e+00   -4.94464108e-05
30       1.00000000e+04   -3.14152899e+00   -1.57078755e+00   -1.57078755e+00   -3.07172859e-05    7.94100801e-02    1.65019489e+00    1.65019489e+00    5.75448858e-05   -7.94101301e-02   -1.57086544e+00   -1.57086544e+00   -5.75949110e-05
31       1.25892541e+04   -3.14154209e+00   -1.57080301e+00   -1.57080301e+00   -3.66989601e-05    6.31266208e-02    1.63390475e+00    1.63390475e+00    6.87854362e-05   -6.31266459e-02   -1.57088334e+00   -1.57088334e+00   -6.88105501e-05
32       1.58489319e+04   -3.14155249e+00   -1.57081884e+00   -1.57081884e+00   -4.46349878e-05    5.01678473e-02    1.62093832e+00    1.62093832e+00    8.36780096e-05   -5.01678599e-02   -1.57090587e+00   -1.57090587e+00   -8.36906019e-05
33       1.99526231e+04   -3.14156075e+00   -1.57083586e+00   -1.57083586e+00   -5.49479914e-05    3.98620796e-02    1.61062353e+00    1.61062353e+00    1.03021177e-04   -3.98620859e-02   -1.57093423e+00   -1.57093423e+00   -1.03027483e-04
34       2.51188643e+04   -3.14156731e+00   -1.57085499e+00   -1.57085499e+00   -6.81871758e-05    3.16697666e-02    1.60242034e+00    1.60242034e+00    1.27847799e-04   -3.16697698e-02   -1.57096994e+00   -1.57096994e+00   -1.27850954e-04
35       3.16227766e+04   -3.14157252e+00   -1.57087724e+00   -1.57087724e+00   -8.50575760e-05    2.51592946e-02    1.59589654e+00    1.59589654e+00    1.59481378e-04   -2.51592962e-02   -1.57101489e+00   -1.57101489e+00   -1.59482953e-04
36       3.98107171e+04   -3.14157666e+00   -1.57090380e+00   -1.57090380e+00   -1.06457602e-04    1.99862947e-02    1.59070708e+00    1.59070708e+00    1.99607216e-04   -1.99862955e-02   -1.57107148e+00   -1.57107148e+00   -1.99608000e-04
37       5.01187234e+04   -3.14157995e+00   -1.57093608e+00   -1.57093608e+00   -1.33526884e-04    1.58764585e-02    1.58657675e+00    1.58657675e+00    2.50362511e-04   -1.58764589e-02   -1.57114272e+00   -1.57114272e+00   -2.50362900e-04
38       6.30957344e+04   -3.14158256e+00   -1.57097581e+00   -1.57097581e+00   -1.67706959e-04    1.26115104e-02    1.58328620e+00    1.58328620e+00    3.14450342e-04   -1.26115106e-02   -1.57123241e+00   -1.57123241e+00   -3.14450533e-04
39       7.94328235e+04   -3.14158464e+00   -1.57102509e+00   -1.57102509e+00   -2.10818041e-04    1.00178749e-02    1.58066049e+00    1.58066049e+00    3.95283704e-04   -1.00178750e-02   -1.57134533e+00   -1.57134533e+00   -3.95283797e-04
40       1.00000000e+05   -3.14158629e+00   -1.57108656e+00   -1.57108656e+00   -2.65155951e-04    7.95757913e-03    1.57855992e+00    1.57855992e+00    4.97167306e-04   -7.95757918e-03   -1.57148748e+00   -1.57148748e+00   -4.97167351e-04
End of Xyce(TM) Simulation
