Index       FREQ             SP(1,1)           SP(1,2)           SP(2,1)           SP(2,2)           YP(1,1)           YP(1,2)           YP(2,1)           YP(2,2)           ZP(1,1)           ZP(1,2)           ZP(2,1)           ZP(2,2)     
0        1.00000000e+01   -1.76353815e+02   -8.78132557e+01   -8.78132557e+01   -2.42777578e-01    8.88241742e+01    1.79280109e+02    1.79280109e+02    7.48259425e-05   -8.92800379e+01   -9.00000040e+01   -9.00000040e+01   -4.55938546e-01
1        1.25892541e+01   -1.77103328e+02   -8.82626968e+01   -8.82626968e+01   -1.92961397e-01    8.87315745e+01    1.79093739e+02    1.79093739e+02    9.41919136e-05   -8.90936493e+01   -9.00000050e+01   -9.00000050e+01   -3.62169003e-01
2        1.58489319e+01   -1.77698890e+02   -8.86198559e+01   -8.86198559e+01   -1.53333570e-01    8.85714622e+01    1.78859140e+02    1.78859140e+02    1.18563903e-04   -8.88590277e+01   -9.00000063e+01   -9.00000063e+01   -2.87684142e-01
3        1.99526231e+01   -1.78172061e+02   -8.89036356e+01   -8.89036356e+01   -1.21827387e-01    8.83353429e+01    1.78563853e+02    1.78563853e+02    1.49229822e-04   -8.85637121e+01   -9.00000079e+01   -9.00000079e+01   -2.28518440e-01
4        2.51188643e+01   -1.78547966e+02   -8.91290891e+01   -8.91290891e+01   -9.67869224e-02    8.80107082e+01    1.78192220e+02    1.78192220e+02    1.87802835e-04   -8.81920421e+01   -9.00000099e+01   -9.00000099e+01   -1.81521640e-01
5        3.16227766e+01   -1.78846583e+02   -8.93081932e+01   -8.93081932e+01   -7.68896660e-02    8.75804025e+01    1.77724581e+02    1.77724581e+02    2.36297440e-04   -8.77243574e+01   -9.00000125e+01   -9.00000125e+01   -1.44191261e-01
6        3.98107171e+01   -1.79083795e+02   -8.94504709e+01   -8.94504709e+01   -6.10815257e-02    8.70217738e+01    1.77136298e+02    1.77136298e+02    2.97217235e-04   -8.71360161e+01   -9.00000158e+01   -9.00000158e+01   -1.14539457e-01
7        5.01187234e+01   -1.79272226e+02   -8.95634917e+01   -8.95634917e+01   -4.85234228e-02    8.63055982e+01    1.76396566e+02    1.76396566e+02    3.73649594e-04   -8.63962118e+01   -9.00000198e+01   -9.00000198e+01   -9.09872300e-02
8        6.30957344e+01   -1.79421906e+02   -8.96532706e+01   -8.96532706e+01   -3.85479773e-02    8.53947802e+01    1.75467036e+02    1.75467036e+02    4.69353921e-04   -8.54665912e+01   -9.00000250e+01   -9.00000250e+01   -7.22803705e-02
9        7.94328235e+01   -1.79540802e+02   -8.97245868e+01   -8.97245868e+01   -3.06246545e-02    8.42428847e+01    1.74300276e+02    1.74300276e+02    5.88812779e-04   -8.42997186e+01   -9.00000315e+01   -9.00000315e+01   -5.74226873e-02
10       1.00000000e+02   -1.79635245e+02   -8.97812371e+01   -8.97812371e+01   -2.43318567e-02    8.27926584e+01    1.72838242e+02    1.72838242e+02    7.37182194e-04   -8.28375442e+01   -9.00000396e+01   -9.00000396e+01   -4.56229630e-02
11       1.25892541e+02   -1.79710264e+02   -8.98262379e+01   -8.98262379e+01   -1.93346437e-02    8.09749076e+01    1.71011111e+02    1.71011111e+02    9.20018312e-04   -8.10102404e+01   -9.00000499e+01   -9.00000499e+01   -3.62528236e-02
12       1.58489319e+02   -1.79769855e+02   -8.98619856e+01   -8.98619856e+01   -1.53669831e-02    7.87084859e+01    1.68737236e+02    1.68737236e+02    1.14256266e-03   -7.87361566e+01   -9.00000628e+01   -9.00000628e+01   -2.88132772e-02
13       1.99526231e+02   -1.79817189e+02   -8.98903836e+01   -8.98903836e+01   -1.22176265e-02    7.59027869e+01    1.65925616e+02    1.65925616e+02    1.40824496e-03   -7.59242868e+01   -9.00000790e+01   -9.00000790e+01   -2.29081417e-02
14       2.51188643e+02   -1.79854788e+02   -8.99129442e+01   -8.99129442e+01   -9.71888089e-03    7.24650374e+01    1.62483161e+02    1.62483161e+02    1.71598700e-03   -7.24815444e+01   -9.00000995e+01   -9.00000995e+01   -1.82229478e-02
15       3.16227766e+02   -1.79884654e+02   -8.99308687e+01   -8.99308687e+01   -7.73769010e-03    6.83154899e+01    1.58329873e+02    1.58329873e+02    2.05610883e-03   -6.83279420e+01   -9.00001252e+01   -9.00001252e+01   -1.45081921e-02
16       3.98107171e+02   -1.79908377e+02   -8.99451118e+01   -8.99451118e+01   -6.16855399e-03    6.34131286e+01    1.53424537e+02    1.53424537e+02    2.40564504e-03   -6.34222890e+01   -9.00001577e+01   -9.00001577e+01   -1.15660503e-02
