Index       V(2)             I(VDS)      
0        0.00000000e+00    7.01790733e-07
1        1.00000000e-01   -1.07713060e-03
2        2.00000000e-01   -1.90965244e-03
3        3.00000000e-01   -2.52077360e-03
4        4.00000000e-01   -2.93544084e-03
5        5.00000000e-01   -3.18980093e-03
6        6.00000000e-01   -3.34383182e-03
7        7.00000000e-01   -3.45056755e-03
8        8.00000000e-01   -3.53431235e-03
9        9.00000000e-01   -3.60542566e-03
10       1.00000000e+00   -3.66892172e-03
11       1.10000000e+00   -3.72745879e-03
12       1.20000000e+00   -3.78255155e-03
End of Xyce(TM) Simulation
