Index        TIME         {V(VOUT)+2.0}     {V(IN)+2.0}      {V(1)+2.0}
35      1.50090263e-06   1.99846086e+00   6.68265226e+00   6.09736598e+00   
36      1.50104200e-06   1.99820996e+00   6.59317349e+00   5.95799880e+00   
37      1.50107336e-06   1.99815448e+00   6.57269625e+00   5.92664119e+00   
38      1.50113607e-06   1.99804752e+00   6.53044580e+00   5.86392596e+00   
39      1.50113999e-06   1.99804085e+00   6.52780011e+00   5.86000625e+00   
40      1.50114195e-06   1.99803751e+00   6.52647600e+00   5.85804640e+00   
41      1.50114293e-06   1.99803585e+00   6.52581364e+00   5.85706648e+00   
42      1.50114342e-06   1.99803502e+00   6.52548237e+00   5.85657651e+00   
43      1.50114372e-06   1.99803451e+00   6.52528167e+00   5.85627970e+00   
44      1.50114395e-06   1.99802240e+00   6.52512951e+00   5.85605477e+00   
45      1.50114397e-06   1.99802093e+00   6.52511109e+00   5.85603152e+00   
46      1.50114398e-06   1.99802010e+00   6.52510133e+00   5.85601920e+00   
47      1.50114399e-06   1.99801930e+00   6.52509255e+00   5.85600811e+00   
48      1.50114401e-06   1.99801752e+00   6.52507501e+00   5.85598594e+00   
49      1.50114406e-06   1.99801328e+00   6.52503998e+00   5.85594160e+00   
50      1.50114415e-06   1.99800231e+00   6.52497014e+00   5.85585290e+00   
51      1.50114432e-06   1.99797236e+00   6.52483116e+00   5.85567552e+00   
52      1.50114450e-06   1.99793588e+00   6.52469276e+00   5.85549814e+00   
53      1.50114468e-06   1.99789410e+00   6.52455485e+00   5.85532076e+00   
54      1.50114503e-06   1.99780109e+00   6.52427994e+00   5.85496599e+00   
55      1.50114530e-06   1.99772182e+00   6.52407873e+00   5.85470492e+00   
56      1.50114553e-06   1.99764714e+00   6.52389802e+00   5.85446996e+00   
57      1.50114577e-06   1.99756992e+00   6.52371762e+00   5.85423500e+00   
58      1.50114600e-06   1.99749076e+00   6.52353748e+00   5.85400003e+00   
59      1.50114647e-06   1.99732928e+00   6.52317768e+00   5.85353011e+00   
60      1.50114676e-06   1.99722744e+00   6.52295713e+00   5.85324148e+00   
61      1.50114702e-06   1.99713513e+00   6.52275880e+00   5.85298171e+00   
62      1.50114728e-06   1.99704236e+00   6.52256059e+00   5.85272195e+00   
63      1.50114754e-06   1.99694925e+00   6.52236250e+00   5.85246218e+00   
