Index        V(2)            I(VMON)          V(2,3)           V(2,1)
0       0.00000000e+00   5.04870979e-29   -4.13590306e-25  0.00000000e+00   
1       1.00000000e-02   1.38663500e-14   9.99999990e-03   5.00000000e-03   
2       2.00000000e-02   2.77326999e-14   1.99999998e-02   1.00000000e-02   
3       3.00000000e-02   4.15990499e-14   2.99999997e-02   1.50000000e-02   
4       4.00000000e-02   5.54653999e-14   3.99999996e-02   2.00000000e-02   
5       5.00000000e-02   6.93317499e-14   4.99999995e-02   2.50000000e-02   
6       6.00000000e-02   8.31980998e-14   5.99999994e-02   3.00000000e-02   
7       7.00000000e-02   9.70644498e-14   6.99999993e-02   3.50000000e-02   
8       8.00000000e-02   1.10930800e-13   7.99999992e-02   4.00000000e-02   
9       9.00000000e-02   1.24797150e-13   8.99999991e-02   4.50000000e-02   
10      1.00000000e-01   1.38663500e-13   9.99999990e-02   5.00000000e-02   
11      1.10000000e-01   1.52529850e-13   1.09999999e-01   5.50000000e-02   
12      1.20000000e-01   1.66396200e-13   1.19999999e-01   6.00000000e-02   
13      1.30000000e-01   1.80262550e-13   1.29999999e-01   6.50000000e-02   
14      1.40000000e-01   1.94128900e-13   1.39999999e-01   7.00000000e-02   
15      1.50000000e-01   2.07995250e-13   1.49999998e-01   7.50000000e-02   
16      1.60000000e-01   2.21861600e-13   1.59999998e-01   8.00000000e-02   
17      1.70000000e-01   2.35727950e-13   1.69999998e-01   8.50000000e-02   
18      1.80000000e-01   2.49594299e-13   1.79999998e-01   9.00000000e-02   
19      1.90000000e-01   2.63460649e-13   1.89999998e-01   9.50000000e-02   
20      2.00000000e-01   2.77326999e-13   1.99999998e-01   1.00000000e-01   
21      2.10000000e-01   2.91193349e-13   2.09999998e-01   1.05000000e-01   
22      2.20000000e-01   3.05059699e-13   2.19999998e-01   1.10000000e-01   
23      2.30000000e-01   3.18926049e-13   2.29999998e-01   1.15000000e-01   
24      2.40000000e-01   3.32792399e-13   2.39999998e-01   1.20000000e-01   
25      2.50000000e-01   3.46658749e-13   2.49999997e-01   1.25000000e-01   
26      2.60000000e-01   3.60525099e-13   2.59999997e-01   1.30000000e-01   
27      2.70000000e-01   3.74391449e-13   2.69999997e-01   1.35000000e-01   
28      2.80000000e-01   3.88257799e-13   2.79999997e-01   1.40000000e-01   
29      2.90000000e-01   4.02124149e-13   2.89999997e-01   1.45000000e-01   
30      3.00000000e-01   4.15990499e-13   2.99999997e-01   1.50000000e-01   
31      3.10000000e-01   4.29856849e-13   3.09999997e-01   1.55000000e-01   
32      3.20000000e-01   4.43723199e-13   3.19999997e-01   1.60000000e-01   
33      3.30000000e-01   4.57589549e-13   3.29999997e-01   1.65000000e-01   
34      3.40000000e-01   4.71455899e-13   3.39999996e-01   1.70000000e-01   
