Index        TIME         {V(VOUT)+1.0}     {V(IN)+1.0}         V(1)
0       0.00000000e+00   1.00000000e+00   6.00000000e+00   5.00000000e+00   
1       7.50000000e-09   1.00000000e+00   6.00000000e+00   5.00000000e+00   
2       2.25000000e-08   1.00000000e+00   6.00000000e+00   5.00000000e+00   
3       5.25000000e-08   1.00000000e+00   6.00000000e+00   5.00000000e+00   
4       1.12500000e-07   1.00000000e+00   6.00000000e+00   5.00000000e+00   
5       2.32500000e-07   1.00000000e+00   6.00000000e+00   5.00000000e+00   
6       3.82500000e-07   1.00000000e+00   6.00000000e+00   5.00000000e+00   
7       5.32500000e-07   1.00000000e+00   6.00000000e+00   5.00000000e+00   
8       6.82500000e-07   1.00000000e+00   6.00000000e+00   5.00000000e+00   
9       8.32500000e-07   1.00000000e+00   6.00000000e+00   5.00000000e+00   
10      9.82500000e-07   1.00000000e+00   6.00000000e+00   5.00000000e+00   
11      1.13250000e-06   1.00000000e+00   6.00000000e+00   5.00000000e+00   
12      1.28250000e-06   1.00000000e+00   6.00000000e+00   5.00000000e+00   
13      1.43250000e-06   1.00000000e+00   6.00000000e+00   5.00000000e+00   
14      1.50000000e-06   1.00000000e+00   6.00000000e+00   5.00000000e+00   
15      1.50002500e-06   9.99800220e-01   5.99940528e+00   4.97500000e+00   
16      1.50003030e-06   9.99749210e-01   5.99925305e+00   4.96970410e+00   
17      1.50003559e-06   9.99689989e-01   5.99907488e+00   4.96440820e+00   
18      1.50004022e-06   9.99632269e-01   5.99889946e+00   4.95977918e+00   
19      1.50004485e-06   9.99568892e-01   5.99870450e+00   4.95515015e+00   
20      1.50004948e-06   9.99500140e-01   5.99849012e+00   4.95052112e+00   
21      1.50005411e-06   9.99426285e-01   5.99825646e+00   4.94589209e+00   
22      1.50005874e-06   9.99347584e-01   5.99800364e+00   4.94126307e+00   
23      1.50006337e-06   9.99264284e-01   5.99773176e+00   4.93663404e+00   
24      1.50006799e-06   9.99176620e-01   5.99744096e+00   4.93200501e+00   
25      1.50007262e-06   9.99084816e-01   5.99713134e+00   4.92737598e+00   
26      1.50007725e-06   9.98989087e-01   5.99680301e+00   4.92274696e+00   
27      1.50008651e-06   9.98783497e-01   5.99607240e+00   4.91348890e+00   
28      1.50009577e-06   9.98565207e-01   5.99526867e+00   4.90423085e+00   
29      1.50010503e-06   9.98335526e-01   5.99439264e+00   4.89497279e+00   
30      1.50011429e-06   9.98095649e-01   5.99344510e+00   4.88571474e+00   
31      1.50012354e-06   9.97846666e-01   5.99242680e+00   4.87645668e+00   
32      1.50013280e-06   9.97589573e-01   5.99133849e+00   4.86719863e+00   
33      1.50015132e-06   9.97049640e-01   5.98888751e+00   4.84868252e+00   
