Index           TIME                   V(1)                   V(2)                   V(3)                   V(9)                   V(13)
0       0.00000000000000e+00   0.00000000000000e+00   0.00000000000000e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
1       5.00000000000000e-11   1.50000000000000e-02   1.50000000000000e-02   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
2       1.50000000000000e-10   4.50000000000000e-02   4.50000000000000e-02   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
3       3.50000000000000e-10   1.05000000000000e-01   1.05000000000000e-01   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
4       7.50000000000000e-10   2.25000000000000e-01   2.25000000000000e-01   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
5       1.55000000000000e-09   4.65000000000000e-01   4.65000000000000e-01   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
6       3.15000000000000e-09   9.45000000000000e-01   9.45000000000000e-01   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
7       6.35000000000000e-09   1.90500000000000e+00   1.90500000000000e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
8       7.26250000000000e-09   2.17875000000000e+00   2.17875000000000e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
9       7.71875000000000e-09   2.31562500000000e+00   2.31562500000000e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
10      7.94687500000000e-09   2.38406250000000e+00   2.38406250000000e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
11      8.06093750000000e-09   2.41828125000000e+00   2.41828125000000e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
12      8.28906250000000e-09   2.48671875000000e+00   2.48671875000000e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
13      8.31757812500000e-09   2.49527343750000e+00   2.49527343750000e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
14      8.32470703125000e-09   2.49741210937500e+00   2.49741210937500e+00   0.00000000000000e+00   4.99500499500499e-03   4.99500499500499e-03   
