TIME,V(1),V(2)
0.00000000e+00,1.00000000e+00,5.00000000e-01
1.00000000e-10,1.00000000e+00,5.00000000e-01
3.00000000e-10,1.00000000e+00,5.00000000e-01
7.00000000e-10,1.00000000e+00,5.00000000e-01
1.50000000e-09,1.00000000e+00,5.00000000e-01
3.10000000e-09,1.00000000e+00,5.00000000e-01
6.30000000e-09,1.00000000e+00,5.00000000e-01
1.27000000e-08,1.00000000e+00,5.00000000e-01
2.55000000e-08,1.00000000e+00,5.00000000e-01
5.11000000e-08,1.00000000e+00,5.00000000e-01
1.02300000e-07,1.00000000e+00,5.00000000e-01
2.04700000e-07,1.00000000e+00,5.00000000e-01
4.09500000e-07,1.00000000e+00,5.00000000e-01
8.19100000e-07,1.00000000e+00,5.00000000e-01
1.63830000e-06,1.00000000e+00,5.00000000e-01
3.27670000e-06,1.00000000e+00,5.00000000e-01
6.55350000e-06,1.00000000e+00,5.00000000e-01
1.31071000e-05,1.00000000e+00,5.00000000e-01
2.62143000e-05,1.00000000e+00,5.00000000e-01
5.24287000e-05,1.00000000e+00,5.00000000e-01
1.04857500e-04,1.00000000e+00,5.00000000e-01
2.09715100e-04,1.00000000e+00,5.00000000e-01
4.19430300e-04,1.00000000e+00,5.00000000e-01
8.38860700e-04,1.00000000e+00,5.00000000e-01
1.67772150e-03,1.00000000e+00,5.00000000e-01
3.35544310e-03,1.00000000e+00,5.00000000e-01
6.71088630e-03,1.00000000e+00,5.00000000e-01
1.34217727e-02,1.00000000e+00,5.00000000e-01
2.68435455e-02,1.00000000e+00,5.00000000e-01
5.36870911e-02,1.00000000e+00,5.00000000e-01
1.07374182e-01,1.00000000e+00,5.00000000e-01
1.25000000e-01,1.00000000e+00,5.00000000e-01
1.35000000e-01,1.00000000e+00,5.00000000e-01
1.55000000e-01,1.00000000e+00,5.00000000e-01
1.95000000e-01,1.00000000e+00,5.00000000e-01
2.50000000e-01,1.00000000e+00,5.00000000e-01
2.58000000e-01,1.00000000e+00,5.00000000e-01
2.74000000e-01,1.00000000e+00,5.00000000e-01
3.06000000e-01,1.00000000e+00,5.00000000e-01
3.70000000e-01,1.00000000e+00,5.00000000e-01
3.75000000e-01,1.00000000e+00,5.00000000e-01
3.80000000e-01,1.00000000e+00,5.00000000e-01
3.90000000e-01,1.00000000e+00,5.00000000e-01
4.10000000e-01,1.00000000e+00,5.00000000e-01
4.50000000e-01,1.00000000e+00,5.00000000e-01
5.00000000e-01,1.00000000e+00,5.00000000e-01
5.08000000e-01,1.00000000e+00,5.00000000e-01
5.24000000e-01,1.00000000e+00,5.00000000e-01
5.56000000e-01,1.00000000e+00,5.00000000e-01
6.20000000e-01,1.00000000e+00,5.00000000e-01
6.25000000e-01,1.00000000e+00,5.00000000e-01
6.30000000e-01,1.00000000e+00,5.00000000e-01
6.40000000e-01,1.00000000e+00,5.00000000e-01
6.60000000e-01,1.00000000e+00,5.00000000e-01
7.00000000e-01,1.00000000e+00,5.00000000e-01
7.50000000e-01,1.00000000e+00,5.00000000e-01
7.58000000e-01,1.00000000e+00,5.00000000e-01
7.74000000e-01,1.00000000e+00,5.00000000e-01
8.06000000e-01,1.00000000e+00,5.00000000e-01
8.70000000e-01,1.00000000e+00,5.00000000e-01
8.75000000e-01,1.00000000e+00,5.00000000e-01
8.80000000e-01,1.00000000e+00,5.00000000e-01
8.90000000e-01,1.00000000e+00,5.00000000e-01
9.10000000e-01,1.00000000e+00,5.00000000e-01
9.50000000e-01,1.00000000e+00,5.00000000e-01
1.00000000e+00,1.00000000e+00,5.00000000e-01
