Index      TIME           V(1)           V(8)           V(9)           I(V2)           V(10)           V(11)           I(V3)
35      4.16400000e-08   5.00000000e+00   5.00000000e+00   4.99001996e+00   -4.99001996e-02  5.00000000e+00   4.99001996e+00   -4.99001996e-02  
36      8.26000000e-08   5.00000000e+00   5.00000000e+00   4.99001996e+00   -4.99001996e-02  5.00000000e+00   4.99001996e+00   -4.99001996e-02  
37      1.64520000e-07   5.00000000e+00   5.00000000e+00   4.99001996e+00   -4.99001996e-02  5.00000000e+00   4.99001996e+00   -4.99001996e-02  
38      3.28360000e-07   5.00000000e+00   5.00000000e+00   4.99001996e+00   -4.99001996e-02  5.00000000e+00   4.99001996e+00   -4.99001996e-02  
39      6.56040000e-07   5.00000000e+00   5.00000000e+00   4.99001996e+00   -4.99001996e-02  5.00000000e+00   4.99001996e+00   -4.99001996e-02  
40      1.00100000e-06   5.00000000e+00   5.00000000e+00   4.99001996e+00   -4.99001996e-02  5.00000000e+00   4.99001996e+00   -4.99001996e-02  
41      1.00100500e-06   4.97500000e+00   5.00000000e+00   4.98996991e+00   -4.98996991e-02  5.00000000e+00   4.98996991e+00   -4.98996991e-02  
42      1.00101500e-06   4.92500000e+00   5.00000000e+00   4.98986829e+00   -4.98986829e-02  5.00000000e+00   4.98986829e+00   -4.98986829e-02  
43      1.00103500e-06   4.82500000e+00   5.00000000e+00   4.98965874e+00   -4.98965874e-02  5.00000000e+00   4.98965874e+00   -4.98965874e-02  
44      1.00107500e-06   4.62500000e+00   5.00000000e+00   4.98921251e+00   -4.98921251e-02  5.00000000e+00   4.98921251e+00   -4.98921251e-02  
45      1.00115500e-06   4.22500000e+00   5.00000000e+00   4.98819362e+00   -4.98819362e-02  5.00000000e+00   4.98819362e+00   -4.98819362e-02  
46      1.00131500e-06   3.42500000e+00   5.00000000e+00   4.98544396e+00   -4.98544396e-02  5.00000000e+00   4.98544396e+00   -4.98544396e-02  
47      1.00163500e-06   1.82500000e+00   5.00000000e+00   4.97275204e+00   -4.97275204e-02  5.00000000e+00   4.97275204e+00   -4.97275204e-02  
48      1.00172625e-06   1.36875000e+00   5.00000000e+00   4.96373527e+00   -4.96373527e-02  5.00000000e+00   4.96373527e+00   -4.96373527e-02  
49      1.00190875e-06   4.56250000e-01   5.00000000e+00   4.89276139e+00   -4.89276139e-02  5.00000000e+00   4.89276139e+00   -4.89276139e-02  
50      1.00193156e-06   3.42187500e-01   5.00000000e+00   4.85803017e+00   -4.85803017e-02  5.00000000e+00   4.85803017e+00   -4.85803017e-02  
51      1.00195524e-06   2.23823989e-01   5.00000000e+00   4.78616394e+00   -4.78616394e-02  5.00000000e+00   4.78616394e+00   -4.78616394e-02  
52      1.00197129e-06   1.43562329e-01   5.00000000e+00   4.67439931e+00   -4.67439931e-02  5.00000000e+00   4.67439931e+00   -4.67439931e-02  
53      1.00197963e-06   1.01828944e-01   5.00000000e+00   4.55288856e+00   -4.55288856e-02  5.00000000e+00   4.55288856e+00   -4.55288856e-02  
54      1.00198521e-06   7.39749991e-02   5.00000000e+00   4.40458469e+00   -4.40458469e-02  5.00000000e+00   4.40458469e+00   -4.40458469e-02  
55      1.00198883e-06   5.58467849e-02   5.00000000e+00   4.24066148e+00   -4.24066148e-02  5.00000000e+00   4.24066148e+00   -4.24066148e-02  
56      1.00199135e-06   4.32605056e-02   5.00000000e+00   4.06121807e+00   -4.06121807e-02  5.00000000e+00   4.06121807e+00   -4.06121807e-02  
57      1.00199387e-06   3.06742263e-02   5.00000000e+00   3.77072032e+00   -3.77072032e-02  5.00000000e+00   3.77072032e+00   -3.77072032e-02  
58      1.00199507e-06   2.46268399e-02   5.00000000e+00   3.55603341e+00   -3.55603341e-02  5.00000000e+00   3.55603341e+00   -3.55603341e-02  
59      1.00199628e-06   1.85794534e-02   5.00000000e+00   3.25049138e+00   -3.25049138e-02  5.00000000e+00   3.25049138e+00   -3.25049138e-02  
60      1.00199718e-06   1.40773350e-02   5.00000000e+00   2.92335822e+00   -2.92335822e-02  5.00000000e+00   2.92335822e+00   -2.92335822e-02  
61      1.00199785e-06   1.07653951e-02   5.00000000e+00   2.59214791e+00   -2.59214791e-02  5.00000000e+00   2.59214791e+00   -2.59214791e-02  
62      1.00199833e-06   8.33290988e-03   5.00000000e+00   2.27266428e+00   -2.27266428e-02  5.00000000e+00   2.27266428e+00   -2.27266428e-02  
63      1.00199870e-06   6.49817153e-03   5.00000000e+00   1.96936113e+00   -1.96936113e-02  5.00000000e+00   1.96936113e+00   -1.96936113e-02  
64      1.00199898e-06   5.07589779e-03   5.00000000e+00   1.68344793e+00   -1.68344793e-02  5.00000000e+00   1.68344793e+00   -1.68344793e-02  
65      1.00199921e-06   3.94760422e-03   5.00000000e+00   1.41515495e+00   -1.41515495e-02  5.00000000e+00   1.41515495e+00   -1.41515495e-02  
66      1.00199939e-06   3.03751071e-03   5.00000000e+00   1.16491207e+00   -1.16491207e-02  5.00000000e+00   1.16491207e+00   -1.16491207e-02  
67      1.00199954e-06   2.29553631e-03   5.00000000e+00   9.33483604e-01   -9.33483604e-03  5.00000000e+00   9.33483604e-01   -9.33483604e-03  
68      1.00199966e-06   1.68736033e-03   5.00000000e+00   7.21874008e-01   -7.21874008e-03  5.00000000e+00   7.21874008e-01   -7.21874008e-03  
69      1.00199976e-06   1.18873602e-03   5.00000000e+00   5.31219976e-01   -5.31219976e-03  5.00000000e+00   5.31219976e-01   -5.31219976e-03  
70      1.00199984e-06   7.82217340e-04   5.00000000e+00   3.62734916e-01   -3.62734916e-03  5.00000000e+00   3.62734916e-01   -3.62734916e-03  
71      1.00199991e-06   4.55256178e-04   5.00000000e+00   2.17716415e-01   -2.17716415e-03  5.00000000e+00   2.17716415e-01   -2.17716415e-03  
