Index          TIME                V(BAT)              V(RESET)
0       0.000000000000e+00   0.000000000000e+00   9.999999810294e+00   
1       1.000000000000e-10   0.000000000000e+00   9.999999810294e+00   
2       3.000000000000e-10   0.000000000000e+00   9.999999810294e+00   
3       7.000000000000e-10   0.000000000000e+00   9.999999810294e+00   
4       1.500000000000e-09   0.000000000000e+00   9.999999810294e+00   
5       3.100000000000e-09   0.000000000000e+00   9.999999810294e+00   
6       6.300000000000e-09   0.000000000000e+00   9.999999810294e+00   
7       1.270000000000e-08   0.000000000000e+00   9.999999810294e+00   
8       2.550000000000e-08   0.000000000000e+00   9.999999810294e+00   
9       5.110000000000e-08   0.000000000000e+00   9.999999810294e+00   
10      1.023000000000e-07   0.000000000000e+00   9.999999810294e+00   
11      2.047000000000e-07   0.000000000000e+00   9.999999810294e+00   
12      4.095000000000e-07   0.000000000000e+00   9.999999810294e+00   
13      8.191000000000e-07   0.000000000000e+00   9.999999810294e+00   
14      1.638300000000e-06   0.000000000000e+00   9.999999810294e+00   
15      3.276700000000e-06   0.000000000000e+00   9.999999810294e+00   
16      6.553500000000e-06   0.000000000000e+00   9.999999810294e+00   
17      1.310710000000e-05   0.000000000000e+00   9.999999810294e+00   
18      2.621430000000e-05   0.000000000000e+00   9.999999810294e+00   
19      5.242870000000e-05   0.000000000000e+00   9.999999810294e+00   
20      1.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
21      2.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
22      3.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
23      4.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
24      5.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
25      6.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
26      7.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
27      8.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
28      9.048575000000e-04   0.000000000000e+00   9.999999810294e+00   
29      1.000000000000e-03   0.000000000000e+00   9.999999810294e+00   
30      1.000000005000e-03   2.499999990010e-02   9.999999810295e+00   
31      1.000000015000e-03   7.499999970031e-02   9.999999810302e+00   
32      1.000000035000e-03   1.749999993007e-01   9.999999810371e+00   
33      1.000000075000e-03   3.749999995858e-01   9.999999810954e+00   
34      1.000000155000e-03   7.749999990717e-01   9.999999815466e+00   
35      1.000000315000e-03   1.574999999128e+00   9.999999847319e+00   
36      1.000000635000e-03   3.174999999240e+00   1.000000004789e+01   
37      1.000001000000e-03   4.999999999537e+00   1.000000049281e+01   
38      1.000001100000e-03   5.000000000000e+00   1.000000062816e+01   
39      1.000001300000e-03   5.000000000000e+00   1.000000093676e+01   
40      1.000001700000e-03   5.000000000000e+00   1.000000163454e+01   
41      1.000002500000e-03   5.000000000000e+00   1.000000313251e+01   
42      1.000004100000e-03   5.000000000000e+00   1.000000611995e+01   
43      1.000007300000e-03   5.000000000000e+00   1.000001164534e+01   
44      1.000013700000e-03   5.000000000000e+00   1.000002095782e+01   
45      1.000026500000e-03   5.000000000000e+00   1.000003447709e+01   
46      1.000052100000e-03   5.000000000000e+00   1.000004987663e+01   
47      1.000103300000e-03   5.000000000000e+00   1.000006213872e+01   
48      1.000205700000e-03   5.000000000000e+00   1.000006823249e+01   
49      1.000410500000e-03   5.000000000000e+00   1.000006995755e+01   
50      1.000820100000e-03   5.000000000000e+00   1.000007021117e+01   
51      1.001639300000e-03   5.000000000000e+00   1.000007021075e+01   
52      1.002458500000e-03   5.000000000000e+00   1.000007019099e+01   
53      1.003277700000e-03   5.000000000000e+00   1.000007017048e+01   
