Index       V(2)              V(3)       
0        0.00000000e+00    1.19999390e+00
1        5.00000000e-02    1.19996522e+00
2        1.00000000e-01    1.19980607e+00
3        1.50000000e-01    1.19897471e+00
4        2.00000000e-01    1.19520400e+00
5        2.50000000e-01    1.18241742e+00
6        3.00000000e-01    1.15487542e+00
7        3.50000000e-01    1.11727664e+00
8        4.00000000e-01    1.07739781e+00
9        4.50000000e-01    1.03667005e+00
10       5.00000000e-01    9.92632382e-01
11       5.50000000e-01    9.41072533e-01
12       6.00000000e-01    8.74573533e-01
13       6.50000000e-01    7.72737175e-01
14       7.00000000e-01    5.39402508e-01
15       7.50000000e-01    3.12593349e-01
16       8.00000000e-01    1.69064436e-01
17       8.50000000e-01    9.76499740e-02
18       9.00000000e-01    5.97603180e-02
19       9.50000000e-01    3.64446951e-02
20       1.00000000e+00    2.11721023e-02
21       1.05000000e+00    1.10800710e-02
22       1.10000000e+00    4.69209078e-03
23       1.15000000e+00    1.16822095e-03
24       1.20000000e+00    2.58313303e-06
End of Xyce(TM) Simulation
