Index    TIME    V(1)+2    
0   0.00000000e+00   2.58000000e+00   
1   9.86810000e-12   2.57769473e+00   
2   1.50513261e-11   2.57585706e+00   
3   2.02345522e-11   2.57370659e+00   
4   3.06010043e-11   2.56753826e+00   
5   4.09674565e-11   2.55890292e+00   
6   5.13339087e-11   2.54783896e+00   
7   6.17003609e-11   2.53439522e+00   
8   7.20668130e-11   2.51863074e+00   
9   8.24332652e-11   2.50061451e+00   
10   9.27997174e-11   2.48042510e+00   
11   1.03166170e-10   2.45815036e+00   
12   1.13532622e-10   2.43388699e+00   
13   1.23899074e-10   2.40774017e+00   
14   1.34265526e-10   2.37982304e+00   
15   1.44631978e-10   2.35025629e+00   
16   1.54998430e-10   2.31916763e+00   
17   1.65364883e-10   2.28669128e+00   
18   1.75731335e-10   2.25296742e+00   
19   1.86097787e-10   2.21814161e+00   
20   1.96464239e-10   2.18236425e+00   
21   2.06830691e-10   2.14578992e+00   
22   2.17197143e-10   2.10857683e+00   
23   2.27563596e-10   2.07088611e+00   
24   2.37930048e-10   2.03288119e+00   
25   2.48296500e-10   1.99472712e+00   
26   2.53479726e-10   1.97565846e+00   
27   2.58662952e-10   1.95660748e+00   
28   2.63846178e-10   1.93760225e+00   
29   2.69029404e-10   1.91866349e+00   
30   2.74212630e-10   1.89981190e+00   
31   2.79395857e-10   1.88106807e+00   
32   2.84579083e-10   1.86245251e+00   
33   2.89762309e-10   1.84398558e+00   
34   2.94945535e-10   1.82568752e+00   
35   3.00128761e-10   1.80757836e+00   
36   3.05311987e-10   1.78967795e+00   
37   3.10495213e-10   1.77200594e+00   
38   3.15678439e-10   1.75458169e+00   
39   3.20861665e-10   1.73742435e+00   
40   3.26044891e-10   1.72055272e+00   
41   3.31228117e-10   1.70398535e+00   
42   3.36411343e-10   1.68774041e+00   
43   3.41594570e-10   1.67183575e+00   
44   3.46777796e-10   1.65628881e+00   
45   3.51961022e-10   1.64111667e+00   
46   3.57144248e-10   1.62633597e+00   
47   3.62327474e-10   1.61196293e+00   
48   3.67510700e-10   1.59801331e+00   
49   3.72693926e-10   1.58450240e+00   
50   3.77877152e-10   1.57144500e+00   
51   3.83060378e-10   1.55885541e+00   
52   3.88243604e-10   1.54674740e+00   
53   3.93426830e-10   1.53513421e+00   
54   3.98610057e-10   1.52402852e+00   
55   4.03793283e-10   1.51344245e+00   
56   4.08976509e-10   1.50338755e+00   
57   4.14159735e-10   1.49387476e+00   
58   4.19342961e-10   1.48491444e+00   
59   4.24526187e-10   1.47651630e+00   
60   4.29709413e-10   1.46868946e+00   
61   4.34892639e-10   1.46144240e+00   
62   4.40075865e-10   1.45478294e+00   
63   4.45259091e-10   1.44871827e+00   
64   4.50442317e-10   1.44325491e+00   
65   4.55625543e-10   1.43839872e+00   
66   4.60808770e-10   1.43415490e+00   
67   4.65991996e-10   1.43052796e+00   
68   4.71175222e-10   1.42752174e+00   
69   4.76358448e-10   1.42513940e+00   
70   4.81541674e-10   1.42338342e+00   
71   4.86724900e-10   1.42225558e+00   
72   4.91908126e-10   1.42175698e+00   
73   4.97091352e-10   1.42188805e+00   
74   5.02274578e-10   1.42264851e+00   
75   5.07457804e-10   1.42403741e+00   
76   5.12641030e-10   1.42605311e+00   
77   5.17824257e-10   1.42869330e+00   
78   5.23007483e-10   1.43195498e+00   
79   5.28190709e-10   1.43583450e+00   
80   5.33373935e-10   1.44032751e+00   
81   5.38557161e-10   1.44542903e+00   
82   5.43740387e-10   1.45113340e+00   
83   5.48923613e-10   1.45743434e+00   
84   5.54106839e-10   1.46432491e+00   
85   5.59290065e-10   1.47179754e+00   
86   5.64473291e-10   1.47984403e+00   
87   5.69656517e-10   1.48845559e+00   
88   5.74839743e-10   1.49762281e+00   
89   5.80022970e-10   1.50733568e+00   
90   5.85206196e-10   1.51758362e+00   
91   5.90389422e-10   1.52835548e+00   
92   5.95572648e-10   1.53963955e+00   
93   6.05939100e-10   1.56368799e+00   
94   6.16305552e-10   1.58963040e+00   
95   6.26672004e-10   1.61735450e+00   
96   6.37038457e-10   1.64674041e+00   
97   6.47404909e-10   1.67766119e+00   
98   6.57771361e-10   1.70998336e+00   
99   6.68137813e-10   1.74356740e+00   
100   6.78504265e-10   1.77826834e+00   
101   6.88870717e-10   1.81393635e+00   
102   6.99237170e-10   1.85041730e+00   
103   7.09603622e-10   1.88755343e+00   
104   7.19970074e-10   1.92518396e+00   
105   7.30336526e-10   1.96314573e+00   
106   7.40702978e-10   2.00127392e+00   
107   7.45886204e-10   2.02033833e+00   
108   7.51069430e-10   2.03938725e+00   
109   7.56252657e-10   2.05839480e+00   
110   7.61435883e-10   2.07734023e+00   
111   7.66619109e-10   2.09620286e+00   
112   7.71802335e-10   2.11496209e+00   
113   7.76985561e-10   2.13359739e+00   
114   7.82168787e-10   2.15208838e+00   
115   7.87352013e-10   2.17041481e+00   
116   7.92535239e-10   2.18855660e+00   
117   7.97718465e-10   2.20649388e+00   
118   8.02901691e-10   2.22420696e+00   
119   8.08084917e-10   2.24167643e+00   
120   8.13268143e-10   2.25888311e+00   
121   8.18451370e-10   2.27580811e+00   
122   8.23634596e-10   2.29243287e+00   
123   8.28817822e-10   2.30873912e+00   
124   8.34001048e-10   2.32470896e+00   
125   8.39184274e-10   2.34032486e+00   
126   8.44367500e-10   2.35556969e+00   
127   8.49550726e-10   2.37042671e+00   
128   8.54733952e-10   2.38487962e+00   
129   8.59917178e-10   2.39891258e+00   
130   8.65100404e-10   2.41251020e+00   
131   8.70283630e-10   2.42565757e+00   
132   8.75466857e-10   2.43834032e+00   
133   8.80650083e-10   2.45054455e+00   
134   8.85833309e-10   2.46225692e+00   
135   8.91016535e-10   2.47346464e+00   
136   8.96199761e-10   2.48415548e+00   
137   9.01382987e-10   2.49431777e+00   
138   9.06566213e-10   2.50394045e+00   
139   9.11749439e-10   2.51301304e+00   
140   9.16932665e-10   2.52152570e+00   
141   9.22115891e-10   2.52946918e+00   
142   9.27299117e-10   2.53683489e+00   
143   9.32482343e-10   2.54361485e+00   
144   9.37665570e-10   2.54980175e+00   
145   9.42848796e-10   2.55538894e+00   
146   9.48032022e-10   2.56037042e+00   
147   9.53215248e-10   2.56474085e+00   
148   9.58398474e-10   2.56849559e+00   
149   9.63581700e-10   2.57163064e+00   
150   9.68764926e-10   2.57414271e+00   
151   9.73948152e-10   2.57602919e+00   
152   9.79131378e-10   2.57728813e+00   
153   9.84314604e-10   2.57791830e+00   
154   9.89497830e-10   2.57791914e+00   
155   9.94681057e-10   2.57729076e+00   
156   9.99864283e-10   2.57603399e+00   
157   1.00504751e-09   2.57415031e+00   
158   1.01023073e-09   2.57164189e+00   
159   1.01541396e-09   2.56851159e+00   
160   1.02059719e-09   2.56476293e+00   
161   1.02578041e-09   2.56040010e+00   
162   1.03096364e-09   2.55542794e+00   
163   1.03614687e-09   2.54985198e+00   
164   1.04133009e-09   2.54367835e+00   
165   1.04651332e-09   2.53691388e+00   
166   1.05169654e-09   2.52956598e+00   
167   1.05687977e-09   2.52164271e+00   
168   1.06206300e-09   2.51315275e+00   
169   1.06724622e-09   2.50410538e+00   
170   1.07242945e-09   2.49451046e+00   
171   1.07761267e-09   2.48437847e+00   
172   1.08279590e-09   2.47372041e+00   
173   1.08797913e-09   2.46254789e+00   
174   1.09316235e-09   2.45087303e+00   
175   1.10352880e-09   2.42607450e+00   
176   1.11389526e-09   2.39942632e+00   
177   1.12426171e-09   2.37104379e+00   
178   1.13462816e-09   2.34104956e+00   
179   1.14499461e-09   2.30957318e+00   
180   1.15536107e-09   2.27675052e+00   
181   1.16572752e-09   2.24272324e+00   
182   1.17609397e-09   2.20763826e+00   
183   1.18646042e-09   2.17164709e+00   
184   1.19682687e-09   2.13490530e+00   
185   1.20719333e-09   2.09757187e+00   
186   1.21755978e-09   2.05980850e+00   
187   1.22792623e-09   2.02177902e+00   
188   1.23829268e-09   1.98364865e+00   
189   1.24865913e-09   1.94558330e+00   
190   1.25758002e-09   1.91300168e+00   
191   1.26650090e-09   1.88069646e+00   
192   1.27542178e-09   1.84877220e+00   
193   1.28434266e-09   1.81733236e+00   
194   1.29326355e-09   1.78647892e+00   
195   1.30218443e-09   1.75631204e+00   
196   1.31110531e-09   1.72692971e+00   
197   1.32002619e-09   1.69842743e+00   
198   1.32894708e-09   1.67089782e+00   
199   1.33786796e-09   1.64443035e+00   
200   1.34678884e-09   1.61911103e+00   
201   1.35570972e-09   1.59502208e+00   
202   1.36463061e-09   1.57224168e+00   
203   1.37355149e-09   1.55084368e+00   
204   1.38247237e-09   1.53089737e+00   
205   1.39139325e-09   1.51246727e+00   
206   1.40031414e-09   1.49561288e+00   
207   1.40923502e-09   1.48038850e+00   
