            TIME1             TIME2     {V(1)+2}     
   2.96043000e-09    0.00000000e+00    2.57516991e+00
   2.96043000e-09    1.54495526e-11    2.57310299e+00
   2.96043000e-09    2.38447179e-11    2.56943278e+00
   2.96043000e-09    3.22398832e-11    2.56409016e+00
   2.96043000e-09    4.06350485e-11    2.55709221e+00
   2.96043000e-09    4.90302138e-11    2.54843834e+00
   2.96043000e-09    5.74253790e-11    2.53813341e+00
   2.96043000e-09    6.58205443e-11    2.52722868e+00
   2.96043000e-09    7.42157096e-11    2.51396039e+00
   2.96043000e-09    8.26108749e-11    2.49912135e+00
   2.96043000e-09    9.10060402e-11    2.48273667e+00
   2.96043000e-09    9.94012055e-11    2.46483717e+00
   2.96043000e-09    1.07796371e-10    2.44809084e+00
   2.96043000e-09    1.16191536e-10    2.42770391e+00
   2.96043000e-09    1.24586701e-10    2.40594740e+00
   2.96043000e-09    1.32981867e-10    2.38287156e+00
   2.96043000e-09    1.41377032e-10    2.35853227e+00
   2.96043000e-09    1.49772197e-10    2.33768250e+00
   2.96043000e-09    1.58167363e-10    2.31149178e+00
   2.96043000e-09    1.66562528e-10    2.28423851e+00
   2.96043000e-09    1.74957693e-10    2.25599585e+00
   2.96043000e-09    1.83352858e-10    2.22684204e+00
   2.96043000e-09    1.91748024e-10    2.19686026e+00
   2.96043000e-09    2.00143189e-10    2.17352348e+00
   2.96043000e-09    2.08538354e-10    2.14260010e+00
   2.96043000e-09    2.16933520e-10    2.11110178e+00
   2.96043000e-09    2.25328685e-10    2.07912486e+00
   2.96043000e-09    2.33723850e-10    2.04676951e+00
   2.96043000e-09    2.42119015e-10    2.02346732e+00
   2.96043000e-09    2.50514181e-10    1.99099099e+00
   2.96043000e-09    2.58909346e-10    1.95841781e+00
   2.96043000e-09    2.66464995e-10    1.92808480e+00
   2.96043000e-09    2.74020644e-10    1.90299221e+00
   2.96043000e-09    2.81576292e-10    1.87821927e+00
   2.96043000e-09    2.89131941e-10    1.84841749e+00
   2.96043000e-09    2.96687590e-10    1.82433500e+00
   2.96043000e-09    3.04243239e-10    1.79521311e+00
   2.96043000e-09    3.11798887e-10    1.77204183e+00
   2.96043000e-09    3.19354536e-10    1.74388864e+00
   2.96043000e-09    3.26910185e-10    1.72183935e+00
   2.96043000e-09    3.34465834e-10    1.69493853e+00
   2.96043000e-09    3.42021482e-10    1.67420998e+00
   2.96043000e-09    3.49577131e-10    1.64883694e+00
   2.96043000e-09    3.57132780e-10    1.62961387e+00
