            TIME1             TIME2     {V(1)+2}     
   2.96043000e-09    3.64688429e-10    1.61118639e+00
   2.96043000e-09    3.72244077e-10    1.58848412e+00
   2.96043000e-09    3.79799726e-10    1.57179232e+00
   2.96043000e-09    3.87355375e-10    1.55122218e+00
   2.96043000e-09    3.94911024e-10    1.53640806e+00
   2.96043000e-09    4.02466673e-10    1.51819369e+00
   2.96043000e-09    4.10022321e-10    1.50538005e+00
   2.96043000e-09    4.17577970e-10    1.48972463e+00
   2.96043000e-09    4.25133619e-10    1.47901404e+00
   2.96043000e-09    4.32689268e-10    1.46609798e+00
   2.96043000e-09    4.40244916e-10    1.45757190e+00
   2.96043000e-09    4.47800565e-10    1.44755078e+00
   2.96043000e-09    4.55356214e-10    1.44126898e+00
   2.96043000e-09    4.62911863e-10    1.43599807e+00
   2.96043000e-09    4.70467511e-10    1.43027185e+00
   2.96043000e-09    4.78023160e-10    1.42727921e+00
   2.96043000e-09    4.85578809e-10    1.42469665e+00
   2.96043000e-09    4.93134458e-10    1.42398796e+00
   2.96043000e-09    5.00690106e-10    1.42460782e+00
   2.96043000e-09    5.08245755e-10    1.42616696e+00
   2.96043000e-09    5.15801404e-10    1.43001741e+00
   2.96043000e-09    5.23357053e-10    1.43380683e+00
   2.96043000e-09    5.30912701e-10    1.44088490e+00
   2.96043000e-09    5.38468350e-10    1.44684618e+00
   2.96043000e-09    5.46023999e-10    1.45367915e+00
   2.96043000e-09    5.53579648e-10    1.46517212e+00
   2.96043000e-09    5.61135296e-10    1.47404688e+00
   2.96043000e-09    5.68690945e-10    1.48862119e+00
   2.96043000e-09    5.76246594e-10    1.49943319e+00
   2.96043000e-09    5.83802243e-10    1.51698085e+00
   2.96043000e-09    5.91357892e-10    1.52960822e+00
   2.96043000e-09    5.98913540e-10    1.54289765e+00
   2.96043000e-09    6.06469189e-10    1.56429203e+00
   2.96043000e-09    6.14024838e-10    1.58733878e+00
   2.96043000e-09    6.21580487e-10    1.61197232e+00
   2.96043000e-09    6.29136135e-10    1.61950714e+00
   2.96043000e-09    6.36691784e-10    1.64587176e+00
   2.96043000e-09    6.44247433e-10    1.67364376e+00
   2.96043000e-09    6.51803082e-10    1.68150963e+00
   2.96043000e-09    6.59358730e-10    1.71073253e+00
   2.96043000e-09    6.66914379e-10    1.74115453e+00
   2.96043000e-09    6.74470028e-10    1.77267333e+00
   2.96043000e-09    6.82025677e-10    1.78064944e+00
   2.96043000e-09    6.89581325e-10    1.81318519e+00
   2.96043000e-09    6.97136974e-10    1.84657143e+00
   2.96043000e-09    7.04692623e-10    1.88068765e+00
   2.96043000e-09    7.12248272e-10    1.88835908e+00
   2.96043000e-09    7.19803920e-10    1.92301796e+00
   2.96043000e-09    7.27359569e-10    1.95813045e+00
   2.96043000e-09    7.34915218e-10    1.96526853e+00
   2.96043000e-09    7.42470867e-10    2.00058123e+00
   2.96043000e-09    7.46890253e-10    2.01886931e+00
   2.96043000e-09    7.51309640e-10    2.03571071e+00
   2.96043000e-09    7.60148412e-10    2.06669390e+00
   2.96043000e-09    7.68987185e-10    2.09746435e+00
   2.96043000e-09    7.77825958e-10    2.12792556e+00
   2.96043000e-09    7.86664731e-10    2.15798933e+00
   2.96043000e-09    7.95503503e-10    2.18756897e+00
   2.96043000e-09    8.04342276e-10    2.21657956e+00
   2.96043000e-09    8.13181049e-10    2.24493820e+00
   2.96043000e-09    8.22019822e-10    2.29487849e+00
   2.96043000e-09    8.30858594e-10    2.32121929e+00
   2.96043000e-09    8.39697367e-10    2.34659525e+00
   2.96043000e-09    8.48536140e-10    2.37093422e+00
   2.96043000e-09    8.57374913e-10    2.39416748e+00
   2.96043000e-09    8.66213685e-10    2.41622996e+00
   2.96043000e-09    8.75052458e-10    2.43706041e+00
   2.96043000e-09    8.83891231e-10    2.45660154e+00
   2.96043000e-09    8.92730004e-10    2.47480019e+00
   2.96043000e-09    9.01568776e-10    2.49160743e+00
   2.96043000e-09    9.10407549e-10    2.50697874e+00
   2.96043000e-09    9.19246322e-10    2.52087401e+00
   2.96043000e-09    9.28085095e-10    2.53325772e+00
   2.96043000e-09    9.36923867e-10    2.54409892e+00
   2.96043000e-09    9.45762640e-10    2.55337134e+00
   2.96043000e-09    9.54601413e-10    2.56105341e+00
   2.96043000e-09    9.63440186e-10    2.56712825e+00
   2.96043000e-09    9.72278958e-10    2.57158373e+00
   2.96043000e-09    9.81117731e-10    2.57441241e+00
   2.96043000e-09    9.86810000e-10    2.57516991e+00
   2.99562785e-09    0.00000000e+00    2.57629279e+00
   2.99562785e-09    1.54495526e-11    2.57174476e+00
   2.99562785e-09    2.38447179e-11    2.56788004e+00
   2.99562785e-09    3.22398832e-11    2.56254375e+00
   2.99562785e-09    4.06350485e-11    2.55536947e+00
   2.99562785e-09    4.90302138e-11    2.54680662e+00
   2.99562785e-09    5.74253790e-11    2.53636386e+00
   2.99562785e-09    6.58205443e-11    2.52463941e+00
   2.99562785e-09    7.42157096e-11    2.51145727e+00
   2.99562785e-09    8.26108749e-11    2.49667835e+00
   2.99562785e-09    9.10060402e-11    2.48048170e+00
   2.99562785e-09    9.94012055e-11    2.46276743e+00
   2.99562785e-09    1.07796371e-10    2.44366504e+00
   2.99562785e-09    1.16191536e-10    2.42429779e+00
   2.99562785e-09    1.24586701e-10    2.40225788e+00
   2.99562785e-09    1.32981867e-10    2.38053725e+00
   2.99562785e-09    1.41377032e-10    2.35566570e+00
   2.99562785e-09    1.49772197e-10    2.33191502e+00
   2.99562785e-09    1.58167363e-10    2.30625408e+00
   2.99562785e-09    1.66562528e-10    2.28040699e+00
   2.99562785e-09    1.74957693e-10    2.25244853e+00
   2.99562785e-09    1.83352858e-10    2.22488426e+00
   2.99562785e-09    1.91748024e-10    2.19486985e+00
   2.99562785e-09    2.00143189e-10    2.16602699e+00
   2.99562785e-09    2.08538354e-10    2.13715112e+00
   2.99562785e-09    2.16933520e-10    2.10659736e+00
   2.99562785e-09    2.25328685e-10    2.07658841e+00
   2.99562785e-09    2.33723850e-10    2.04471644e+00
   2.99562785e-09    2.42119015e-10    2.01410835e+00
   2.99562785e-09    2.50514181e-10    1.98496014e+00
   2.99562785e-09    2.58909346e-10    1.95487001e+00
   2.99562785e-09    2.66464995e-10    1.92884447e+00
   2.99562785e-09    2.74020644e-10    1.90042234e+00
   2.99562785e-09    2.81576292e-10    1.87603782e+00
   2.99562785e-09    2.89131941e-10    1.84792759e+00
   2.99562785e-09    2.96687590e-10    1.82365580e+00
   2.99562785e-09    3.04243239e-10    1.79631127e+00
   2.99562785e-09    3.11798887e-10    1.77234995e+00
   2.99562785e-09    3.19354536e-10    1.74624178e+00
   2.99562785e-09    3.26910185e-10    1.72270363e+00
   2.99562785e-09    3.34465834e-10    1.69834724e+00
   2.99562785e-09    3.42021482e-10    1.67523337e+00
   2.99562785e-09    3.49577131e-10    1.65322743e+00
   2.99562785e-09    3.57132780e-10    1.63038495e+00
   2.99562785e-09    3.64688429e-10    1.61146637e+00
   2.99562785e-09    3.72244077e-10    1.59029093e+00
   2.99562785e-09    3.79799726e-10    1.57288257e+00
   2.99562785e-09    3.87355375e-10    1.55364608e+00
   2.99562785e-09    3.94911024e-10    1.53798166e+00
   2.99562785e-09    4.02466673e-10    1.52091952e+00
   2.99562785e-09    4.10022321e-10    1.50719159e+00
   2.99562785e-09    4.17577970e-10    1.49251441e+00
   2.99562785e-09    4.25133619e-10    1.48086753e+00
   2.99562785e-09    4.32689268e-10    1.46877751e+00
   2.99562785e-09    4.40244916e-10    1.45929266e+00
   2.99562785e-09    4.47800565e-10    1.45000841e+00
   2.99562785e-09    4.55356214e-10    1.44267452e+00
   2.99562785e-09    4.62911863e-10    1.43647016e+00
   2.99562785e-09    4.70467511e-10    1.43164510e+00
   2.99562785e-09    4.78023160e-10    1.42797590e+00
   2.99562785e-09    4.85578809e-10    1.42565287e+00
   2.99562785e-09    4.93134458e-10    1.42474975e+00
   2.99562785e-09    5.00690106e-10    1.42483449e+00
   2.99562785e-09    5.08245755e-10    1.42693074e+00
   2.99562785e-09    5.15801404e-10    1.42924177e+00
   2.99562785e-09    5.23357053e-10    1.43458411e+00
   2.99562785e-09    5.30912701e-10    1.43885300e+00
   2.99562785e-09    5.38468350e-10    1.44770791e+00
   2.99562785e-09    5.46023999e-10    1.45358288e+00
   2.99562785e-09    5.53579648e-10    1.46490331e+00
   2.99562785e-09    5.61135296e-10    1.47348919e+00
   2.99562785e-09    5.68690945e-10    1.48702238e+00
   2.99562785e-09    5.76246594e-10    1.49848258e+00
   2.99562785e-09    5.83802243e-10    1.51387372e+00
   2.99562785e-09    5.91357892e-10    1.52840663e+00
   2.99562785e-09    5.98913540e-10    1.54519203e+00
   2.99562785e-09    6.06469189e-10    1.56304919e+00
   2.99562785e-09    6.14024838e-10    1.58349633e+00
   2.99562785e-09    6.21580487e-10    1.60446072e+00
   2.99562785e-09    6.29136135e-10    1.62851661e+00
   2.99562785e-09    6.36691784e-10    1.64527307e+00
   2.99562785e-09    6.44247433e-10    1.67450244e+00
   2.99562785e-09    6.51803082e-10    1.69269432e+00
   2.99562785e-09    6.59358730e-10    1.71948396e+00
   2.99562785e-09    6.66914379e-10    1.74008141e+00
   2.99562785e-09    6.74470028e-10    1.77170327e+00
   2.99562785e-09    6.82025677e-10    1.79366300e+00
   2.99562785e-09    6.89581325e-10    1.82118860e+00
   2.99562785e-09    6.97136974e-10    1.84594677e+00
   2.99562785e-09    7.04692623e-10    1.87738134e+00
   2.99562785e-09    7.12248272e-10    1.90388362e+00
   2.99562785e-09    7.19803920e-10    1.92909301e+00
   2.99562785e-09    7.27359569e-10    1.95941491e+00
   2.99562785e-09    7.34915218e-10    1.98661612e+00
   2.99562785e-09    7.42470867e-10    2.00999100e+00
   2.99562785e-09    7.46890253e-10    2.02526139e+00
   2.99562785e-09    7.51309640e-10    2.03881953e+00
   2.99562785e-09    7.60148412e-10    2.07025617e+00
   2.99562785e-09    7.68987185e-10    2.10315846e+00
   2.99562785e-09    7.77825958e-10    2.13303909e+00
   2.99562785e-09    7.86664731e-10    2.16552604e+00
   2.99562785e-09    7.95503503e-10    2.19331001e+00
   2.99562785e-09    8.04342276e-10    2.22554775e+00
   2.99562785e-09    8.13181049e-10    2.25048938e+00
   2.99562785e-09    8.22019822e-10    2.28283912e+00
   2.99562785e-09    8.30858594e-10    2.31286220e+00
   2.99562785e-09    8.39697367e-10    2.34154266e+00
   2.99562785e-09    8.48536140e-10    2.36796831e+00
   2.99562785e-09    8.57374913e-10    2.39333423e+00
   2.99562785e-09    8.66213685e-10    2.41639493e+00
   2.99562785e-09    8.75052458e-10    2.43861163e+00
   2.99562785e-09    8.83891231e-10    2.45840481e+00
   2.99562785e-09    8.92730004e-10    2.47751173e+00
   2.99562785e-09    9.01568776e-10    2.49407183e+00
   2.99562785e-09    9.10407549e-10    2.51001650e+00
   2.99562785e-09    9.19246322e-10    2.52337753e+00
   2.99562785e-09    9.28085095e-10    2.53602168e+00
   2.99562785e-09    9.36923867e-10    2.54628196e+00
   2.99562785e-09    9.45762640e-10    2.55537664e+00
   2.99562785e-09    9.54601413e-10    2.56277984e+00
   2.99562785e-09    9.63440186e-10    2.56790041e+00
   2.99562785e-09    9.72278958e-10    2.57295123e+00
   2.99562785e-09    9.81117731e-10    2.57337473e+00
   2.99562785e-09    9.86810000e-10    2.57629279e+00
   3.06602355e-09    0.00000000e+00    2.57704959e+00
   3.06602355e-09    1.54495526e-11    2.57208480e+00
   3.06602355e-09    2.38447179e-11    2.56792894e+00
   3.06602355e-09    3.22398832e-11    2.56243525e+00
   3.06602355e-09    4.06350485e-11    2.55504320e+00
   3.06602355e-09    4.90302138e-11    2.54638173e+00
   3.06602355e-09    5.74253790e-11    2.53582801e+00
   3.06602355e-09    6.58205443e-11    2.52408984e+00
   3.06602355e-09    7.42157096e-11    2.51031311e+00
   3.06602355e-09    8.26108749e-11    2.49584785e+00
   3.06602355e-09    9.10060402e-11    2.47903559e+00
   3.06602355e-09    9.94012055e-11    2.46203727e+00
   3.06602355e-09    1.07796371e-10    2.44226603e+00
   3.06602355e-09    1.16191536e-10    2.42257813e+00
   3.06602355e-09    1.24586701e-10    2.40056916e+00
   3.06602355e-09    1.32981867e-10    2.37847226e+00
   3.06602355e-09    1.41377032e-10    2.35454091e+00
   3.06602355e-09    1.49772197e-10    2.32993199e+00
   3.06602355e-09    1.58167363e-10    2.30393199e+00
   3.06602355e-09    1.66562528e-10    2.27771987e+00
   3.06602355e-09    1.74957693e-10    2.25035139e+00
   3.06602355e-09    1.83352858e-10    2.22246653e+00
   3.06602355e-09    1.91748024e-10    2.19403455e+00
   3.06602355e-09    2.00143189e-10    2.16439008e+00
   3.06602355e-09    2.08538354e-10    2.13444334e+00
   3.06602355e-09    2.16933520e-10    2.10467706e+00
   3.06602355e-09    2.25328685e-10    2.07378550e+00
   3.06602355e-09    2.33723850e-10    2.04417413e+00
   3.06602355e-09    2.42119015e-10    2.01204804e+00
   3.06602355e-09    2.50514181e-10    1.98199493e+00
   3.06602355e-09    2.58909346e-10    1.94996967e+00
   3.06602355e-09    2.66464995e-10    1.92397881e+00
   3.06602355e-09    2.74020644e-10    1.89574821e+00
   3.06602355e-09    2.81576292e-10    1.86971299e+00
   3.06602355e-09    2.89131941e-10    1.84266421e+00
   3.06602355e-09    2.96687590e-10    1.81705243e+00
   3.06602355e-09    3.04243239e-10    1.79130924e+00
   3.06602355e-09    3.11798887e-10    1.76612693e+00
   3.06602355e-09    3.19354536e-10    1.74187322e+00
   3.06602355e-09    3.26910185e-10    1.71724539e+00
   3.06602355e-09    3.34465834e-10    1.69463390e+00
   3.06602355e-09    3.42021482e-10    1.67084949e+00
   3.06602355e-09    3.49577131e-10    1.64987427e+00
   3.06602355e-09    3.57132780e-10    1.62750120e+00
   3.06602355e-09    3.64688429e-10    1.60779996e+00
   3.06602355e-09    3.72244077e-10    1.58733104e+00
   3.06602355e-09    3.79799726e-10    1.56951519e+00
   3.06602355e-09    3.87355375e-10    1.55104564e+00
   3.06602355e-09    3.94911024e-10    1.53516378e+00
   3.06602355e-09    4.02466673e-10    1.51886474e+00
   3.06602355e-09    4.10022321e-10    1.50496558e+00
   3.06602355e-09    4.17577970e-10    1.49105641e+00
   3.06602355e-09    4.25133619e-10    1.47917065e+00
   3.06602355e-09    4.32689268e-10    1.46788699e+00
   3.06602355e-09    4.40244916e-10    1.45803867e+00
   3.06602355e-09    4.47800565e-10    1.44957700e+00
   3.06602355e-09    4.55356214e-10    1.44184251e+00
   3.06602355e-09    4.62911863e-10    1.43625157e+00
   3.06602355e-09    4.70467511e-10    1.43073461e+00
   3.06602355e-09    4.78023160e-10    1.42826796e+00
   3.06602355e-09    4.85578809e-10    1.42489500e+00
   3.06602355e-09    4.93134458e-10    1.42554414e+00
   3.06602355e-09    5.00690106e-10    1.42434446e+00
   3.06602355e-09    5.08245755e-10    1.42802525e+00
   3.06602355e-09    5.15801404e-10    1.42914146e+00
   3.06602355e-09    5.23357053e-10    1.43563357e+00
   3.06602355e-09    5.30912701e-10    1.43934617e+00
   3.06602355e-09    5.38468350e-10    1.44824384e+00
   3.06602355e-09    5.46023999e-10    1.45499418e+00
   3.06602355e-09    5.53579648e-10    1.46611493e+00
   3.06602355e-09    5.61135296e-10    1.47541868e+00
   3.06602355e-09    5.68690945e-10    1.48884285e+00
   3.06602355e-09    5.76246594e-10    1.50039776e+00
   3.06602355e-09    5.83802243e-10    1.51637610e+00
   3.06602355e-09    5.91357892e-10    1.52965870e+00
   3.06602355e-09    5.98913540e-10    1.54867343e+00
   3.06602355e-09    6.06469189e-10    1.56284328e+00
   3.06602355e-09    6.14024838e-10    1.58476373e+00
   3.06602355e-09    6.21580487e-10    1.60002377e+00
   3.06602355e-09    6.29136135e-10    1.62530667e+00
   3.06602355e-09    6.36691784e-10    1.64404516e+00
   3.06602355e-09    6.44247433e-10    1.66921117e+00
   3.06602355e-09    6.51803082e-10    1.69113006e+00
   3.06602355e-09    6.59358730e-10    1.71780295e+00
   3.06602355e-09    6.66914379e-10    1.74090706e+00
   3.06602355e-09    6.74470028e-10    1.76677698e+00
   3.06602355e-09    6.82025677e-10    1.79305623e+00
   3.06602355e-09    6.89581325e-10    1.82010830e+00
   3.06602355e-09    6.97136974e-10    1.84693588e+00
   3.06602355e-09    7.04692623e-10    1.87297240e+00
   3.06602355e-09    7.12248272e-10    1.90207446e+00
   3.06602355e-09    7.19803920e-10    1.92987929e+00
   3.06602355e-09    7.27359569e-10    1.95745937e+00
   3.06602355e-09    7.34915218e-10    1.98583910e+00
   3.06602355e-09    7.42470867e-10    2.01556312e+00
   3.06602355e-09    7.46890253e-10    2.03052264e+00
   3.06602355e-09    7.51309640e-10    2.04850622e+00
   3.06602355e-09    7.60148412e-10    2.07784682e+00
   3.06602355e-09    7.68987185e-10    2.11073115e+00
   3.06602355e-09    7.77825958e-10    2.13964728e+00
   3.06602355e-09    7.86664731e-10    2.17219297e+00
   3.06602355e-09    7.95503503e-10    2.20035234e+00
   3.06602355e-09    8.04342276e-10    2.23137423e+00
   3.06602355e-09    8.13181049e-10    2.25913830e+00
   3.06602355e-09    8.22019822e-10    2.28689467e+00
   3.06602355e-09    8.30858594e-10    2.31276658e+00
   3.06602355e-09    8.39697367e-10    2.34066471e+00
   3.06602355e-09    8.48536140e-10    2.36541053e+00
   3.06602355e-09    8.57374913e-10    2.39171185e+00
   3.06602355e-09    8.66213685e-10    2.41416057e+00
   3.06602355e-09    8.75052458e-10    2.43782345e+00
   3.06602355e-09    8.83891231e-10    2.45745121e+00
   3.06602355e-09    8.92730004e-10    2.47778537e+00
   3.06602355e-09    9.01568776e-10    2.49448847e+00
   3.06602355e-09    9.10407549e-10    2.51094422e+00
   3.06602355e-09    9.19246322e-10    2.52490540e+00
   3.06602355e-09    9.28085095e-10    2.53696425e+00
   3.06602355e-09    9.36923867e-10    2.54855094e+00
   3.06602355e-09    9.45762640e-10    2.55571671e+00
   3.06602355e-09    9.54601413e-10    2.56534223e+00
   3.06602355e-09    9.63440186e-10    2.56727163e+00
   3.06602355e-09    9.72278958e-10    2.57512264e+00
   3.06602355e-09    9.81117731e-10    2.57199007e+00
   3.06602355e-09    9.86810000e-10    2.57704959e+00
   3.17865667e-09    0.00000000e+00    2.57686941e+00
   3.17865667e-09    1.54495526e-11    2.57226169e+00
   3.17865667e-09    2.38447179e-11    2.56830739e+00
   3.17865667e-09    3.22398832e-11    2.56301699e+00
   3.17865667e-09    4.06350485e-11    2.55581273e+00
   3.17865667e-09    4.90302138e-11    2.54736687e+00
   3.17865667e-09    5.74253790e-11    2.53698623e+00
   3.17865667e-09    6.58205443e-11    2.52548137e+00
   3.17865667e-09    7.42157096e-11    2.51203636e+00
   3.17865667e-09    8.26108749e-11    2.49757556e+00
   3.17865667e-09    9.10060402e-11    2.48124937e+00
   3.17865667e-09    9.94012055e-11    2.46397290e+00
   3.17865667e-09    1.07796371e-10    2.44498913e+00
   3.17865667e-09    1.16191536e-10    2.42505035e+00
   3.17865667e-09    1.24586701e-10    2.40361217e+00
   3.17865667e-09    1.32981867e-10    2.38127101e+00
   3.17865667e-09    1.41377032e-10    2.35761502e+00
   3.17865667e-09    1.49772197e-10    2.33317062e+00
   3.17865667e-09    1.58167363e-10    2.30750077e+00
   3.17865667e-09    1.66562528e-10    2.28121979e+00
   3.17865667e-09    1.74957693e-10    2.25385739e+00
   3.17865667e-09    1.83352858e-10    2.22608546e+00
   3.17865667e-09    1.91748024e-10    2.19731162e+00
   3.17865667e-09    2.00143189e-10    2.16841281e+00
   3.17865667e-09    2.08538354e-10    2.13846059e+00
   3.17865667e-09    2.16933520e-10    2.10870510e+00
   3.17865667e-09    2.25328685e-10    2.07802705e+00
   3.17865667e-09    2.33723850e-10    2.04771082e+00
   3.17865667e-09    2.42119015e-10    2.01676948e+00
   3.17865667e-09    2.50514181e-10    1.98608096e+00
   3.17865667e-09    2.58909346e-10    1.95522839e+00
   3.17865667e-09    2.66464995e-10    1.92758551e+00
   3.17865667e-09    2.74020644e-10    1.90033040e+00
   3.17865667e-09    2.81576292e-10    1.87290889e+00
   3.17865667e-09    2.89131941e-10    1.84639292e+00
   3.17865667e-09    2.96687590e-10    1.81950259e+00
   3.17865667e-09    3.04243239e-10    1.79395292e+00
   3.17865667e-09    3.11798887e-10    1.76789126e+00
   3.17865667e-09    3.19354536e-10    1.74347839e+00
   3.17865667e-09    3.26910185e-10    1.71854513e+00
   3.17865667e-09    3.34465834e-10    1.69539645e+00
   3.17865667e-09    3.42021482e-10    1.67189287e+00
   3.17865667e-09    3.49577131e-10    1.65011450e+00
   3.17865667e-09    3.57132780e-10    1.62832030e+00
   3.17865667e-09    3.64688429e-10    1.60804085e+00
   3.17865667e-09    3.72244077e-10    1.58815465e+00
   3.17865667e-09    3.79799726e-10    1.56953467e+00
   3.17865667e-09    3.87355375e-10    1.55179155e+00
   3.17865667e-09    3.94911024e-10    1.53496189e+00
   3.17865667e-09    4.02466673e-10    1.51955852e+00
   3.17865667e-09    4.10022321e-10    1.50463801e+00
   3.17865667e-09    4.17577970e-10    1.49173058e+00
   3.17865667e-09    4.25133619e-10    1.47883951e+00
   3.17865667e-09    4.32689268e-10    1.46853853e+00
   3.17865667e-09    4.40244916e-10    1.45780682e+00
   3.17865667e-09    4.47800565e-10    1.45017502e+00
   3.17865667e-09    4.55356214e-10    1.44173932e+00
   3.17865667e-09    4.62911863e-10    1.43680314e+00
   3.17865667e-09    4.70467511e-10    1.43078099e+00
   3.17865667e-09    4.78023160e-10    1.42855138e+00
   3.17865667e-09    4.85578809e-10    1.42506079e+00
   3.17865667e-09    4.93134458e-10    1.42550237e+00
   3.17865667e-09    5.00690106e-10    1.42463249e+00
   3.17865667e-09    5.08245755e-10    1.42768497e+00
   3.17865667e-09    5.15801404e-10    1.42948887e+00
   3.17865667e-09    5.23357053e-10    1.43508874e+00
   3.17865667e-09    5.30912701e-10    1.43956713e+00
   3.17865667e-09    5.38468350e-10    1.44767081e+00
   3.17865667e-09    5.46023999e-10    1.45475127e+00
   3.17865667e-09    5.53579648e-10    1.46535649e+00
   3.17865667e-09    5.61135296e-10    1.47493421e+00
   3.17865667e-09    5.68690945e-10    1.48795233e+00
   3.17865667e-09    5.76246594e-10    1.49992838e+00
   3.17865667e-09    5.83802243e-10    1.51521145e+00
   3.17865667e-09    5.91357892e-10    1.52952593e+00
   3.17865667e-09    5.98913540e-10    1.54683729e+00
   3.17865667e-09    6.06469189e-10    1.56350922e+00
   3.17865667e-09    6.14024838e-10    1.58248085e+00
   3.17865667e-09    6.21580487e-10    1.60153292e+00
   3.17865667e-09    6.29136135e-10    1.62181180e+00
   3.17865667e-09    6.36691784e-10    1.64334736e+00
   3.17865667e-09    6.44247433e-10    1.66489185e+00
   3.17865667e-09    6.51803082e-10    1.68853931e+00
   3.17865667e-09    6.59358730e-10    1.71129541e+00
   3.17865667e-09    6.66914379e-10    1.73689040e+00
   3.17865667e-09    6.74470028e-10    1.76055279e+00
   3.17865667e-09    6.82025677e-10    1.78763325e+00
   3.17865667e-09    6.89581325e-10    1.81221195e+00
   3.17865667e-09    6.97136974e-10    1.84056633e+00
   3.17865667e-09    7.04692623e-10    1.86574636e+00
   3.17865667e-09    7.12248272e-10    1.89489025e+00
   3.17865667e-09    7.19803920e-10    1.92064705e+00
   3.17865667e-09    7.27359569e-10    1.95046061e+00
   3.17865667e-09    7.34915218e-10    1.97627854e+00
   3.17865667e-09    7.42470867e-10    2.00653697e+00
   3.17865667e-09    7.46890253e-10    2.02077171e+00
   3.17865667e-09    7.51309640e-10    2.03932219e+00
   3.17865667e-09    7.60148412e-10    2.06996527e+00
   3.17865667e-09    7.68987185e-10    2.10422091e+00
   3.17865667e-09    7.77825958e-10    2.13429211e+00
   3.17865667e-09    7.86664731e-10    2.16739656e+00
   3.17865667e-09    7.95503503e-10    2.19669587e+00
   3.17865667e-09    8.04342276e-10    2.22818205e+00
   3.17865667e-09    8.13181049e-10    2.25640736e+00
   3.17865667e-09    8.22019822e-10    2.28593944e+00
   3.17865667e-09    8.30858594e-10    2.31257171e+00
   3.17865667e-09    8.39697367e-10    2.33970975e+00
   3.17865667e-09    8.48536140e-10    2.36485238e+00
   3.17865667e-09    8.57374913e-10    2.38927126e+00
   3.17865667e-09    8.66213685e-10    2.41280802e+00
   3.17865667e-09    8.75052458e-10    2.43404950e+00
   3.17865667e-09    8.83891231e-10    2.45577958e+00
   3.17865667e-09    8.92730004e-10    2.47338612e+00
   3.17865667e-09    9.01568776e-10    2.49308151e+00
   3.17865667e-09    9.10407549e-10    2.50668344e+00
   3.17865667e-09    9.19246322e-10    2.52409711e+00
   3.17865667e-09    9.28085095e-10    2.53347327e+00
   3.17865667e-09    9.36923867e-10    2.54832056e+00
   3.17865667e-09    9.45762640e-10    2.55343870e+00
   3.17865667e-09    9.54601413e-10    2.56537566e+00
   3.17865667e-09    9.63440186e-10    2.56640215e+00
   3.17865667e-09    9.72278958e-10    2.57503542e+00
   3.17865667e-09    9.81117731e-10    2.57227982e+00
   3.17865667e-09    9.86810000e-10    2.57686941e+00
   3.35886966e-09    0.00000000e+00    2.57720642e+00
   3.35886966e-09    1.54495526e-11    2.57235471e+00
