Index       TIME            V(1)+2     
59       2.39806416e-09    1.47909031e+00
60       2.40324636e-09    1.47123025e+00
61       2.40842857e-09    1.46394697e+00
62       2.41361077e-09    1.45724833e+00
63       2.41879297e-09    1.45114155e+00
64       2.42397517e-09    1.44563321e+00
65       2.42915737e-09    1.44072921e+00
66       2.43433957e-09    1.43643480e+00
67       2.43952177e-09    1.43275455e+00
68       2.44470397e-09    1.42969235e+00
69       2.44988617e-09    1.42725143e+00
70       2.45506837e-09    1.42543433e+00
71       2.46025057e-09    1.42424290e+00
72       2.46543277e-09    1.42367832e+00
73       2.47061497e-09    1.42374107e+00
74       2.47579718e-09    1.42443096e+00
75       2.48097938e-09    1.42574712e+00
76       2.48616158e-09    1.42768799e+00
77       2.49134378e-09    1.43025134e+00
78       2.49652598e-09    1.43343426e+00
79       2.50170818e-09    1.43723318e+00
80       2.50689038e-09    1.44164385e+00
81       2.51207258e-09    1.44666137e+00
82       2.51725478e-09    1.45228019e+00
83       2.52243698e-09    1.45849411e+00
84       2.52761918e-09    1.46529629e+00
85       2.53280138e-09    1.47267926e+00
86       2.53798359e-09    1.48063494e+00
87       2.54316579e-09    1.48915461e+00
88       2.54834799e-09    1.49822898e+00
89       2.55353019e-09    1.50784814e+00
90       2.55871239e-09    1.51800162e+00
91       2.56389459e-09    1.52867838e+00
92       2.56907679e-09    1.53986680e+00
93       2.57944119e-09    1.56372281e+00
94       2.58980559e-09    1.58947193e+00
95       2.60016999e-09    1.61700274e+00
96       2.61053440e-09    1.64619626e+00
97       2.62089880e-09    1.67692640e+00
98       2.63126320e-09    1.70906055e+00
99       2.64162760e-09    1.74246005e+00
100      2.65199200e-09    1.77698079e+00
101      2.66235640e-09    1.81247377e+00
102      2.67272081e-09    1.84878567e+00
103      2.68308521e-09    1.88575954e+00
104      2.69344961e-09    1.92323536e+00
105      2.70381401e-09    1.96105073e+00
106      2.71417841e-09    1.99904153e+00
107      2.71936061e-09    2.01804209e+00
108      2.72402459e-09    2.03511287e+00
109      2.72822218e-09    2.05044153e+00
110      2.73241976e-09    2.06574992e+00
111      2.74081492e-09    2.09621230e+00
112      2.74921009e-09    2.12640347e+00
113      2.75760526e-09    2.15623685e+00
114      2.76600042e-09    2.18562678e+00
115      2.77439559e-09    2.21448883e+00
116      2.78279075e-09    2.24274001e+00
117      2.79118592e-09    2.27029903e+00
118      2.79958108e-09    2.29708659e+00
119      2.80797625e-09    2.32302557e+00
120      2.81637141e-09    2.34804132e+00
121      2.82476658e-09    2.37206183e+00
122      2.83316174e-09    2.39501801e+00
123      2.84155691e-09    2.41684385e+00
124      2.84995207e-09    2.43747667e+00
125      2.85834724e-09    2.45685725e+00
126      2.86674240e-09    2.47493004e+00
127      2.87513757e-09    2.49164331e+00
128      2.88353273e-09    2.50694931e+00
129      2.89192790e-09    2.52080437e+00
130      2.90032306e-09    2.53316907e+00
131      2.90871823e-09    2.54400833e+00
132      2.91711340e-09    2.55329148e+00
133      2.92550856e-09    2.56099235e+00
134      2.93390373e-09    2.56708938e+00
135      2.94229889e-09    2.57156560e+00
136      2.95069406e-09    2.57440871e+00
137      2.95908922e-09    2.57561112e+00
138      2.96748439e-09    2.57516991e+00
139      2.97587955e-09    2.57308688e+00
140      2.98427472e-09    2.56936849e+00
141      2.99266988e-09    2.56402585e+00
142      3.00106505e-09    2.55707470e+00
143      3.00946021e-09    2.54853530e+00
144      3.01785538e-09    2.53843240e+00
145      3.02625054e-09    2.52679518e+00
146      3.03464571e-09    2.51365711e+00
147      3.04304087e-09    2.49905585e+00
148      3.05143604e-09    2.48303320e+00
149      3.05983121e-09    2.46563491e+00
150      3.06822637e-09    2.44691055e+00
151      3.07662154e-09    2.42691343e+00
152      3.08501670e-09    2.40570039e+00
153      3.09341187e-09    2.38333163e+00
154      3.10180703e-09    2.35987063e+00
155      3.11020220e-09    2.33538388e+00
156      3.11859736e-09    2.30994074e+00
157      3.12699253e-09    2.28361329e+00
158      3.13538769e-09    2.25647608e+00
159      3.14378286e-09    2.22860596e+00
160      3.15217802e-09    2.20008189e+00
161      3.16057319e-09    2.17098472e+00
162      3.16896835e-09    2.14139696e+00
163      3.17736352e-09    2.11140259e+00
164      3.18575868e-09    2.08108683e+00
165      3.19415385e-09    2.05053591e+00
166      3.20254902e-09    2.01983682e+00
167      3.21094418e-09    1.98907707e+00
168      3.21933935e-09    1.95834449e+00
169      3.22689499e-09    1.93077974e+00
170      3.23445064e-09    1.90337206e+00
171      3.24200629e-09    1.87618505e+00
172      3.24956194e-09    1.84928188e+00
173      3.25711759e-09    1.82272511e+00
174      3.26467324e-09    1.79657653e+00
175      3.27222889e-09    1.77089704e+00
176      3.27978454e-09    1.74574649e+00
177      3.28734018e-09    1.72118349e+00
178      3.29489583e-09    1.69726533e+00
179      3.30245148e-09    1.67404778e+00
180      3.31000713e-09    1.65158499e+00
181      3.31756278e-09    1.62992931e+00
182      3.32511843e-09    1.60913122e+00
183      3.33267408e-09    1.58923916e+00
184      3.34022973e-09    1.57029944e+00
185      3.34778537e-09    1.55235610e+00
186      3.35534102e-09    1.53545083e+00
187      3.36289667e-09    1.51962287e+00
188      3.37045232e-09    1.50490888e+00
189      3.37800797e-09    1.49134292e+00
190      3.38556362e-09    1.47895632e+00
191      3.39311927e-09    1.46777762e+00
192      3.40067492e-09    1.45783253e+00
193      3.40823057e-09    1.44914386e+00
194      3.41578621e-09    1.44173145e+00
195      3.42334186e-09    1.43561218e+00
196      3.43089751e-09    1.43079987e+00
197      3.43845316e-09    1.42730531e+00
198      3.44600881e-09    1.42513623e+00
199      3.45356446e-09    1.42429727e+00
200      3.46112011e-09    1.42478998e+00
201      3.46867576e-09    1.42661283e+00
202      3.47623140e-09    1.42976124e+00
203      3.48378705e-09    1.43422754e+00
204      3.49134270e-09    1.44000107e+00
205      3.49889835e-09    1.44706814e+00
206      3.50645400e-09    1.45541212e+00
207      3.51400965e-09    1.46501345e+00
208      3.52156530e-09    1.47584971e+00
209      3.52912095e-09    1.48789568e+00
210      3.53667659e-09    1.50112337e+00
211      3.54423224e-09    1.51550214e+00
212      3.55178789e-09    1.53099871e+00
213      3.55934354e-09    1.54757730e+00
214      3.56689919e-09    1.56519966e+00
215      3.57445484e-09    1.58382521e+00
216      3.58201049e-09    1.60341110e+00
217      3.58956614e-09    1.62391228e+00
218      3.59712178e-09    1.64528167e+00
219      3.60467743e-09    1.66747020e+00
220      3.61223308e-09    1.69042695e+00
221      3.61978873e-09    1.71409925e+00
222      3.62734438e-09    1.73843279e+00
223      3.63490003e-09    1.76337175e+00
224      3.64245568e-09    1.78885890e+00
225      3.65001133e-09    1.81483572e+00
226      3.65756697e-09    1.84124256e+00
227      3.66512262e-09    1.86801872e+00
228      3.67267827e-09    1.89510262e+00
229      3.68023392e-09    1.92243189e+00
230      3.68778957e-09    1.94994357e+00
231      3.69534522e-09    1.97757418e+00
232      3.70290087e-09    2.00525991e+00
233      3.70732025e-09    2.02144452e+00
234      3.71173964e-09    2.03761799e+00
235      3.72057841e-09    2.06985972e+00
236      3.72941719e-09    2.10188452e+00
237      3.73825596e-09    2.13359068e+00
238      3.74709473e-09    2.16487740e+00
239      3.75593350e-09    2.19564510e+00
240      3.76477228e-09    2.22579578e+00
241      3.77361105e-09    2.25523332e+00
242      3.78244982e-09    2.28386384e+00
243      3.79128859e-09    2.31159600e+00
244      3.80012737e-09    2.33834132e+00
245      3.80896614e-09    2.36401447e+00
246      3.81780491e-09    2.38853359e+00
247      3.82664369e-09    2.41182052e+00
248      3.83548246e-09    2.43380110e+00
249      3.84432123e-09    2.45440541e+00
250      3.85316000e-09    2.47356796e+00
251      3.86199878e-09    2.49122796e+00
252      3.87083755e-09    2.50732948e+00
253      3.87967632e-09    2.52182160e+00
254      3.88851509e-09    2.53465863e+00
255      3.89735387e-09    2.54580020e+00
256      3.90619264e-09    2.55521140e+00
257      3.91503141e-09    2.56286286e+00
258      3.92387019e-09    2.56873086e+00
259      3.93270896e-09    2.57279736e+00
260      3.94154773e-09    2.57505009e+00
261      3.94724000e-09    2.57553740e+00
End of Xyce(TM) Simulation
