TIME,V(1),V(2),V(3)
5.00074577e-01,-2.34290351e-01,-1.56193636e-02,1.87432260e-01
5.00149300e-01,-4.69039144e-01,-3.12693313e-02,3.75231150e-01
5.00298746e-01,-9.38536369e-01,-6.25695322e-02,7.50827772e-01
5.00597637e-01,-1.87752792e+00,-1.25172058e-01,1.50201175e+00
5.01195420e-01,-3.75548785e+00,-2.50394106e-01,3.00430553e+00
5.02390986e-01,-7.51122227e+00,-5.00974176e-01,6.00829975e+00
5.04782118e-01,-1.50212077e+01,-1.00322190e+00,1.20115420e+01
5.07173251e-01,-2.25278025e+01,-1.50795415e+00,1.80039401e+01
5.11955515e-01,-3.75240446e+01,-2.52982190e+00,2.99345789e+01
5.16737779e-01,-5.24864097e+01,-3.57642268e+00,4.17571416e+01
5.21520044e-01,-6.74013898e+01,-4.65748188e+00,5.34289441e+01
5.26302308e-01,-8.22555195e+01,-5.78255771e+00,6.49078464e+01
5.31084572e-01,-9.70353885e+01,-6.96099455e+00,7.61524049e+01
5.35866837e-01,-1.11727653e+02,-8.20187709e+00,8.71220222e+01
5.40649101e-01,-1.26319050e+02,-9.51398550e+00,9.77770935e+01
5.45431366e-01,-1.40796405e+02,-1.09057518e+01,1.08079150e+02
5.50213630e-01,-1.55146648e+02,-1.23852174e+01,1.17990996e+02
5.54995894e-01,-1.69356824e+02,-1.39599924e+01,1.27476847e+02
5.59778159e-01,-1.83414104e+02,-1.56372164e+01,1.36502455e+02
5.62500000e-01,-1.91341716e+02,-1.66401200e+01,1.41421356e+02
5.62707272e-01,-1.91943151e+02,-1.67179735e+01,1.41789230e+02
5.62882669e-01,-1.92451840e+02,-1.67840202e+01,1.42099779e+02
5.63233462e-01,-1.93468516e+02,-1.69165703e+01,1.42718805e+02
5.63935049e-01,-1.95499045e+02,-1.71835064e+01,1.43948526e+02
5.65338223e-01,-1.99548665e+02,-1.77247869e+01,1.46374305e+02
5.68144571e-01,-2.07601061e+02,-1.88374884e+01,1.51088596e+02
5.73757268e-01,-2.23509735e+02,-2.11872789e+01,1.59947898e+02
5.79369964e-01,-2.39140467e+02,-2.37095405e+01,1.68011845e+02
5.84982661e-01,-2.54473819e+02,-2.64111605e+01,1.75240338e+02
5.90595357e-01,-2.69490725e+02,-2.92977643e+01,1.81597432e+02
5.96208054e-01,-2.84172509e+02,-3.23736644e+01,1.87051516e+02
6.01820750e-01,-2.98500915e+02,-3.56418154e+01,1.91575469e+02
6.07433446e-01,-3.12458125e+02,-3.91037764e+01,1.95146796e+02
6.13046143e-01,-3.26026783e+02,-4.27596818e+01,1.97747737e+02
6.18658839e-01,-3.39190015e+02,-4.66082182e+01,1.99365360e+02
6.24271536e-01,-3.51931452e+02,-5.06466106e+01,1.99991620e+02
6.25000000e-01,-3.53553391e+02,-5.11844635e+01,2.00000000e+02
6.25393832e-01,-3.54427182e+02,-5.14765438e+01,1.99997551e+02
6.25748281e-01,-3.55211739e+02,-5.17401936e+01,1.99991158e+02
6.26457179e-01,-3.56775564e+02,-5.22696979e+01,1.99966470e+02
6.27874974e-01,-3.59881948e+02,-5.33374855e+01,1.99869491e+02
6.30710565e-01,-3.66008794e+02,-5.55078460e+01,1.99485256e+02
6.36381746e-01,-3.77912042e+02,-5.99847454e+01,1.97957806e+02
6.42052928e-01,-3.89335500e+02,-6.46367066e+01,1.95425380e+02
6.47724109e-01,-4.00264664e+02,-6.94546098e+01,1.91900835e+02
6.53395290e-01,-4.10685659e+02,-7.44278654e+01,1.87402063e+02
6.59066472e-01,-4.20585256e+02,-7.95444505e+01,1.81951904e+02
6.64737653e-01,-4.29950884e+02,-8.47909524e+01,1.75578027e+02
6.70408835e-01,-4.38770654e+02,-9.01526217e+01,1.68312789e+02
6.76080016e-01,-4.47033369e+02,-9.56134313e+01,1.60193076e+02
6.81751198e-01,-4.54728539e+02,-1.01156144e+02,1.51260107e+02
6.87422379e-01,-4.61846393e+02,-1.06762387e+02,1.41559233e+02
6.87500000e-01,-4.61939766e+02,-1.06839470e+02,1.41421356e+02
6.87577621e-01,-4.62033030e+02,-1.06916562e+02,1.41283345e+02
6.87732863e-01,-4.62219227e+02,-1.07070769e+02,1.41006919e+02
6.88043346e-01,-4.62590303e+02,-1.07379282e+02,1.40452458e+02
6.88664313e-01,-4.63327171e+02,-1.07996680e+02,1.39337131e+02
6.89906246e-01,-4.64779737e+02,-1.09232882e+02,1.37081092e+02
6.92390114e-01,-4.67599878e+02,-1.11710157e+02,1.32469408e+02
6.97357848e-01,-4.72897835e+02,-1.16678108e+02,1.22863511e+02
7.02325583e-01,-4.77735102e+02,-1.21652046e+02,1.12778963e+02
7.07293317e-01,-4.82106966e+02,-1.26617305e+02,1.02255052e+02
7.12261052e-01,-4.86009170e+02,-1.31558798e+02,9.13327769e+01
7.17228786e-01,-4.89437911e+02,-1.36461074e+02,8.00546886e+01
7.27164255e-01,-4.94862109e+02,-1.46084691e+02,5.66080355e+01
7.37099724e-01,-4.98358428e+02,-1.55359439e+02,3.22801096e+01
7.47035194e-01,-4.99913248e+02,-1.64154533e+02,7.44964762e+00
7.50000000e-01,-5.00000000e+02,-1.66666667e+02,7.34794170e-14
