Index        TIME             V(2A)        {V(2A)/V(2B)}    {I(R1)/I(R2)}        V(2C)        {V(2C)/V(2D)}    {I(R3)/I(R4)}
41      5.00800401e-05   5.64431931e-01   1.00000000e+00   1.00000000e+00   5.10575321e-01   1.00000000e+00   1.00000000e+00   
42      5.00813358e-05   5.43278973e-01   1.00000000e+00   1.00000000e+00   4.82449191e-01   1.00000000e+00   1.00000000e+00   
43      5.00826315e-05   5.19697476e-01   1.00000000e+00   1.00000000e+00   4.52618841e-01   1.00000000e+00   1.00000000e+00   
44      5.00839272e-05   4.93573282e-01   1.00000000e+00   1.00000000e+00   4.20992029e-01   1.00000000e+00   1.00000000e+00   
45      5.00852229e-05   4.64801908e-01   1.00000000e+00   1.00000000e+00   3.87488055e-01   1.00000000e+00   1.00000000e+00   
46      5.00865186e-05   4.33292026e-01   1.00000000e+00   1.00000000e+00   3.52029187e-01   1.00000000e+00   1.00000000e+00   
47      5.00878142e-05   3.98989390e-01   1.00000000e+00   1.00000000e+00   3.14551478e-01   1.00000000e+00   1.00000000e+00   
48      5.00891099e-05   3.61853144e-01   1.00000000e+00   1.00000000e+00   2.75011974e-01   1.00000000e+00   1.00000000e+00   
49      5.00904056e-05   3.21851477e-01   1.00000000e+00   1.00000000e+00   2.33373714e-01   1.00000000e+00   1.00000000e+00   
50      5.00917013e-05   2.78962422e-01   1.00000000e+00   1.00000000e+00   1.89604653e-01   1.00000000e+00   1.00000000e+00   
51      5.00929970e-05   2.33175092e-01   1.00000000e+00   1.00000000e+00   1.43678142e-01   1.00000000e+00   1.00000000e+00   
52      5.00942927e-05   1.84490904e-01   1.00000000e+00   1.00000000e+00   9.55737194e-02   1.00000000e+00   1.00000000e+00   
53      5.00955884e-05   1.32924548e-01   1.00000000e+00   1.00000000e+00   4.52779390e-02   1.00000000e+00   1.00000000e+00   
54      5.00966660e-05   8.79492061e-02   1.00000000e+00   1.00000000e+00   1.85116210e-03   1.00000000e+00   1.00000000e+00   
55      5.00968739e-05   7.91136138e-02   1.00000000e+00   1.00000000e+00   -6.64216791e-03  1.00000000e+00   1.00000000e+00   
56      5.00970818e-05   7.02039366e-02   1.00000000e+00   1.00000000e+00   -1.51929664e-02  1.00000000e+00   1.00000000e+00   
57      5.00972897e-05   6.12203749e-02   1.00000000e+00   1.00000000e+00   -2.38012112e-02  1.00000000e+00   1.00000000e+00   
58      5.00977055e-05   4.30014259e-02   1.00000000e+00   1.00000000e+00   -4.12180194e-02  1.00000000e+00   1.00000000e+00   
59      5.00981213e-05   2.44909148e-02   1.00000000e+00   1.00000000e+00   -5.88634478e-02  1.00000000e+00   1.00000000e+00   
60      5.00985371e-05   5.69080238e-03   1.00000000e+00   1.00000000e+00   -7.67370975e-02  1.00000000e+00   1.00000000e+00   
61      5.00988148e-05   -7.01357303e-03  1.00000000e+00   1.00000000e+00   -8.87900160e-02  1.00000000e+00   1.00000000e+00   
62      5.00990925e-05   -1.98459336e-02  1.00000000e+00   1.00000000e+00   -1.00944586e-01  1.00000000e+00   1.00000000e+00   
63      5.00993702e-05   -3.28055839e-02  1.00000000e+00   1.00000000e+00   -1.13200618e-01  1.00000000e+00   1.00000000e+00   
64      5.00996478e-05   -4.58917986e-02  1.00000000e+00   1.00000000e+00   -1.25557904e-01  1.00000000e+00   1.00000000e+00   
65      5.00997536e-05   -5.09036034e-02  1.00000000e+00   1.00000000e+00   -1.30285660e-01  1.00000000e+00   1.00000000e+00   
66      5.00998594e-05   -5.59336901e-02  1.00000000e+00   1.00000000e+00   -1.35028101e-01  1.00000000e+00   1.00000000e+00   
67      5.01000000e-05   -6.26512012e-02  1.00000000e+00   1.00000000e+00   -1.41357629e-01  1.00000000e+00   1.00000000e+00   
