Index         TIME             {V(8)+4}           {V(5)+4}           {V(1)+4}           {V(3)+4}
0       0.0000000000e+00   4.0000000000e+00   4.0000000000e+00   4.0000000000e+00   4.0000000000e+00   
1       5.0000000000e-08   6.6737671047e+00   6.6738423422e+00   6.8600480569e+00   6.6621556481e+00   
2       5.0001525879e-08   6.6738311226e+00   6.6739063624e+00   6.8600460343e+00   6.6621479396e+00   
3       5.0001537800e-08   6.6738316227e+00   6.6739068626e+00   6.8600460185e+00   6.6621478794e+00   
4       5.0001561642e-08   6.6738326230e+00   6.6739078629e+00   6.8600459869e+00   6.6621477590e+00   
5       5.0001609325e-08   6.6738346235e+00   6.6739098635e+00   6.8600459236e+00   6.6621475186e+00   
6       5.0001704693e-08   6.6738386244e+00   6.6739138645e+00   6.8600457968e+00   6.6621470388e+00   
7       5.0001895428e-08   6.6738466257e+00   6.6739218661e+00   6.8600455425e+00   6.6621460834e+00   
8       5.0002276897e-08   6.6738626262e+00   6.6739378671e+00   6.8600450307e+00   6.6621441896e+00   
9       5.0003039837e-08   6.6738946187e+00   6.6739698608e+00   6.8600439950e+00   6.6621404692e+00   
10      5.0004565716e-08   6.6739585699e+00   6.6740338144e+00   6.8600418749e+00   6.6621332945e+00   
11      5.0006091595e-08   6.6740224870e+00   6.6740977337e+00   6.8600397068e+00   6.6621263833e+00   
12      5.0007617474e-08   6.6740863694e+00   6.6741616184e+00   6.8600374911e+00   6.6621197331e+00   
13      5.0009143353e-08   6.6741502246e+00   6.6742254759e+00   6.8600352390e+00   6.6621132832e+00   
14      5.0010669231e-08   6.6742140526e+00   6.6742893062e+00   6.8600329503e+00   6.6621070335e+00   
15      5.0013415813e-08   6.6743287971e+00   6.6744040547e+00   6.8600286449e+00   6.6620968057e+00   
16      5.0015887737e-08   6.6744319707e+00   6.6745072320e+00   6.8600246520e+00   6.6620882495e+00   
17      5.0018359661e-08   6.6745350460e+00   6.6746103110e+00   6.8600205431e+00   6.6620803316e+00   
18      5.0020831585e-08   6.6746380215e+00   6.6747132901e+00   6.8600163201e+00   6.6620730418e+00   
19      5.0023303509e-08   6.6747409180e+00   6.6748161903e+00   6.8600120105e+00   6.6620662301e+00   
20      5.0025775433e-08   6.6748437356e+00   6.6749190115e+00   6.8600076140e+00   6.6620598964e+00   
21      5.0028854126e-08   6.6749715717e+00   6.6750468521e+00   6.8600019086e+00   6.6620532767e+00   
22      5.0031932820e-08   6.6750992421e+00   6.6751745270e+00   6.8599960393e+00   6.6620475626e+00   
23      5.0035011514e-08   6.6752267441e+00   6.6753020335e+00   6.8599900096e+00   6.6620427359e+00   
24      5.0038090208e-08   6.6753541127e+00   6.6754294066e+00   6.8599838586e+00   6.6620385809e+00   
25      5.0041168901e-08   6.6754813481e+00   6.6755566464e+00   6.8599775863e+00   6.6620350977e+00   
26      5.0044363060e-08   6.6756130856e+00   6.6756883886e+00   6.8599708439e+00   6.6620327858e+00   
27      5.0047557218e-08   6.6757446301e+00   6.6758199377e+00   6.8599639434e+00   6.6620313527e+00   
28      5.0050751376e-08   6.6758759789e+00   6.6759512911e+00   6.8599568882e+00   6.6620307799e+00   
29      5.0053945535e-08   6.6760071730e+00   6.6760824898e+00   6.8599497162e+00   6.6620308574e+00   
