Index   V(E)         V(B)           I(V_E)    I(V_B)            I(V_S)      
 70 3.500000e+00 7.00000000e-01  5.434212e-05 2.420560e-04 -2.32809e-04
 71 3.550000e+00 7.00000000e-01  5.468087e-05 2.420324e-04 -2.32791e-04
 72 3.600000e+00 7.00000000e-01  5.502134e-05 2.420086e-04 -2.32772e-04
 73 3.650000e+00 7.00000000e-01  5.536353e-05 2.419847e-04 -2.32754e-04
 74 3.700000e+00 7.00000000e-01  5.570747e-05 2.419607e-04 -2.32736e-04
 75 3.750000e+00 7.00000000e-01  5.605318e-05 2.419366e-04 -2.32717e-04
 76 3.800000e+00 7.00000000e-01  5.640066e-05 2.419124e-04 -2.32699e-04
 77 3.850000e+00 7.00000000e-01  5.674994e-05 2.418880e-04 -2.32680e-04
 78 3.900000e+00 7.00000000e-01  5.710103e-05 2.418635e-04 -2.32661e-04
 79 3.950000e+00 7.00000000e-01  5.745394e-05 2.418389e-04 -2.32642e-04
 80 4.000000e+00 7.00000000e-01  5.780870e-05 2.418142e-04 -2.32623e-04
 81 4.050000e+00 7.00000000e-01  5.816531e-05 2.417893e-04 -2.32604e-04
 82 4.100000e+00 7.00000000e-01  5.852379e-05 2.417643e-04 -2.32585e-04
 83 4.150000e+00 7.00000000e-01  5.888415e-05 2.417392e-04 -2.32566e-04
 84 4.200000e+00 7.00000000e-01  5.924641e-05 2.417140e-04 -2.32546e-04
 85 4.250000e+00 7.00000000e-01  5.961059e-05 2.416886e-04 -2.32527e-04
 86 4.300000e+00 7.00000000e-01  5.997668e-05 2.416631e-04 -2.32507e-04
 87 4.350000e+00 7.00000000e-01  6.034472e-05 2.416375e-04 -2.32488e-04
 88 4.400000e+00 7.00000000e-01  6.071470e-05 2.416117e-04 -2.32468e-04
 89 4.450000e+00 7.00000000e-01  6.108665e-05 2.415858e-04 -2.32448e-04
 90 4.500000e+00 7.00000000e-01  6.146057e-05 2.415598e-04 -2.32428e-04
 91 4.550000e+00 7.00000000e-01  6.183648e-05 2.415336e-04 -2.32408e-04
 92 4.600000e+00 7.00000000e-01  6.221438e-05 2.415073e-04 -2.32388e-04
 93 4.650000e+00 7.00000000e-01  6.259430e-05 2.414809e-04 -2.32368e-04
 94 4.700000e+00 7.00000000e-01  6.297623e-05 2.414543e-04 -2.32347e-04
 95 4.750000e+00 7.00000000e-01  6.336020e-05 2.414276e-04 -2.32327e-04
 96 4.800000e+00 7.00000000e-01  6.374621e-05 2.414008e-04 -2.32306e-04
 97 4.850000e+00 7.00000000e-01  6.413428e-05 2.413738e-04 -2.32285e-04
 98 4.900000e+00 7.00000000e-01  6.452440e-05 2.413466e-04 -2.32264e-04
 99 4.950000e+00 7.00000000e-01  6.491660e-05 2.413194e-04 -2.32244e-04
100 5.000000e+00 7.00000000e-01  6.531088e-05 2.412920e-04 -2.32222e-04
  0 0.000000e+00 7.50000000e-01  -8.75855e-06 7.258447e-04 -6.68758e-04
  1 5.000000e-02 7.50000000e-01  1.040331e-04 7.062705e-04 -6.56282e-04
  2 1.000000e-01 7.50000000e-01  1.226961e-04 7.030847e-04 -6.54224e-04
  3 1.500000e-01 7.50000000e-01  1.262730e-04 7.024774e-04 -6.53829e-04
  4 2.000000e-01 7.50000000e-01  1.275479e-04 7.022621e-04 -6.53688e-04
