Index   V(E)         V(B)           I(V_E)    I(V_B)            I(V_S)      
  4 2.000000e-01 8.50000000e-01  5.874878e-04 3.116415e-03 -2.61620e-03
  5 2.500000e-01 8.50000000e-01  5.893283e-04 3.115625e-03 -2.61591e-03
  6 3.000000e-01 8.50000000e-01  5.906876e-04 3.115033e-03 -2.61572e-03
  7 3.500000e-01 8.50000000e-01  5.919088e-04 3.114500e-03 -2.61555e-03
  8 4.000000e-01 8.50000000e-01  5.930568e-04 3.113999e-03 -2.61539e-03
  9 4.500000e-01 8.50000000e-01  5.941510e-04 3.113522e-03 -2.61524e-03
 10 5.000000e-01 8.50000000e-01  5.952016e-04 3.113063e-03 -2.61509e-03
 11 5.500000e-01 8.50000000e-01  5.962152e-04 3.112621e-03 -2.61495e-03
 12 6.000000e-01 8.50000000e-01  5.971970e-04 3.112192e-03 -2.61481e-03
 13 6.500000e-01 8.50000000e-01  5.981511e-04 3.111776e-03 -2.61468e-03
 14 7.000000e-01 8.50000000e-01  5.990805e-04 3.111370e-03 -2.61455e-03
 15 7.500000e-01 8.50000000e-01  5.999879e-04 3.110974e-03 -2.61442e-03
 16 8.000000e-01 8.50000000e-01  6.008754e-04 3.110587e-03 -2.61429e-03
 17 8.500000e-01 8.50000000e-01  6.017449e-04 3.110208e-03 -2.61417e-03
 18 9.000000e-01 8.50000000e-01  6.025979e-04 3.109836e-03 -2.61405e-03
 19 9.500000e-01 8.50000000e-01  6.034358e-04 3.109470e-03 -2.61393e-03
 20 1.000000e+00 8.50000000e-01  6.042597e-04 3.109111e-03 -2.61382e-03
 21 1.050000e+00 8.50000000e-01  6.050707e-04 3.108757e-03 -2.61370e-03
 22 1.100000e+00 8.50000000e-01  6.058695e-04 3.108409e-03 -2.61359e-03
 23 1.150000e+00 8.50000000e-01  6.066571e-04 3.108065e-03 -2.61348e-03
 24 1.200000e+00 8.50000000e-01  6.074342e-04 3.107726e-03 -2.61337e-03
 25 1.250000e+00 8.50000000e-01  6.082013e-04 3.107392e-03 -2.61326e-03
 26 1.300000e+00 8.50000000e-01  6.089590e-04 3.107061e-03 -2.61316e-03
 27 1.350000e+00 8.50000000e-01  6.097080e-04 3.106735e-03 -2.61305e-03
 28 1.400000e+00 8.50000000e-01  6.104485e-04 3.106412e-03 -2.61295e-03
 29 1.450000e+00 8.50000000e-01  6.111811e-04 3.106093e-03 -2.61284e-03
 30 1.500000e+00 8.50000000e-01  6.119062e-04 3.105777e-03 -2.61274e-03
 31 1.550000e+00 8.50000000e-01  6.126241e-04 3.105464e-03 -2.61264e-03
 32 1.600000e+00 8.50000000e-01  6.133352e-04 3.105154e-03 -2.61254e-03
 33 1.650000e+00 8.50000000e-01  6.140397e-04 3.104847e-03 -2.61244e-03
 34 1.700000e+00 8.50000000e-01  6.147380e-04 3.104542e-03 -2.61234e-03
 35 1.750000e+00 8.50000000e-01  6.154303e-04 3.104241e-03 -2.61225e-03
 36 1.800000e+00 8.50000000e-01  6.161169e-04 3.103942e-03 -2.61215e-03
 37 1.850000e+00 8.50000000e-01  6.167979e-04 3.103645e-03 -2.61205e-03
 38 1.900000e+00 8.50000000e-01  6.174737e-04 3.103350e-03 -2.61196e-03
 39 1.950000e+00 8.50000000e-01  6.181443e-04 3.103058e-03 -2.61186e-03
 40 2.000000e+00 8.50000000e-01  6.188101e-04 3.102768e-03 -2.61177e-03
 41 2.050000e+00 8.50000000e-01  6.194711e-04 3.102480e-03 -2.61167e-03
 42 2.100000e+00 8.50000000e-01  6.201276e-04 3.102194e-03 -2.61158e-03
 43 2.150000e+00 8.50000000e-01  6.207797e-04 3.101910e-03 -2.61149e-03
 44 2.200000e+00 8.50000000e-01  6.214275e-04 3.101628e-03 -2.61140e-03
 45 2.250000e+00 8.50000000e-01  6.220712e-04 3.101348e-03 -2.61131e-03
 46 2.300000e+00 8.50000000e-01  6.227110e-04 3.101069e-03 -2.61122e-03
 47 2.350000e+00 8.50000000e-01  6.233468e-04 3.100792e-03 -2.61113e-03
 48 2.400000e+00 8.50000000e-01  6.239790e-04 3.100517e-03 -2.61104e-03
 49 2.450000e+00 8.50000000e-01  6.246075e-04 3.100243e-03 -2.61095e-03
 50 2.500000e+00 8.50000000e-01  6.252325e-04 3.099971e-03 -2.61086e-03
 51 2.550000e+00 8.50000000e-01  6.258540e-04 3.099700e-03 -2.61077e-03
 52 2.600000e+00 8.50000000e-01  6.264723e-04 3.099431e-03 -2.61068e-03
 53 2.650000e+00 8.50000000e-01  6.270873e-04 3.099164e-03 -2.61059e-03
 54 2.700000e+00 8.50000000e-01  6.276992e-04 3.098897e-03 -2.61051e-03
 55 2.750000e+00 8.50000000e-01  6.283080e-04 3.098632e-03 -2.61042e-03
 56 2.800000e+00 8.50000000e-01  6.289139e-04 3.098368e-03 -2.61034e-03
 57 2.850000e+00 8.50000000e-01  6.295169e-04 3.098106e-03 -2.61025e-03
 58 2.900000e+00 8.50000000e-01  6.301170e-04 3.097845e-03 -2.61016e-03
 59 2.950000e+00 8.50000000e-01  6.307144e-04 3.097585e-03 -2.61008e-03
 60 3.000000e+00 8.50000000e-01  6.313092e-04 3.097326e-03 -2.60999e-03
 61 3.050000e+00 8.50000000e-01  6.319013e-04 3.097068e-03 -2.60991e-03
 62 3.100000e+00 8.50000000e-01  6.324908e-04 3.096812e-03 -2.60983e-03
 63 3.150000e+00 8.50000000e-01  6.330779e-04 3.096556e-03 -2.60974e-03
 64 3.200000e+00 8.50000000e-01  6.336625e-04 3.096302e-03 -2.60966e-03
 65 3.250000e+00 8.50000000e-01  6.342448e-04 3.096048e-03 -2.60958e-03
 66 3.300000e+00 8.50000000e-01  6.348247e-04 3.095796e-03 -2.60949e-03
 67 3.350000e+00 8.50000000e-01  6.354024e-04 3.095545e-03 -2.60941e-03
 68 3.400000e+00 8.50000000e-01  6.359778e-04 3.095295e-03 -2.60933e-03
 69 3.450000e+00 8.50000000e-01  6.365510e-04 3.095045e-03 -2.60925e-03
 70 3.500000e+00 8.50000000e-01  6.371222e-04 3.094797e-03 -2.60917e-03
 71 3.550000e+00 8.50000000e-01  6.376912e-04 3.094549e-03 -2.60909e-03
 72 3.600000e+00 8.50000000e-01  6.382582e-04 3.094303e-03 -2.60901e-03
 73 3.650000e+00 8.50000000e-01  6.388232e-04 3.094057e-03 -2.60892e-03
 74 3.700000e+00 8.50000000e-01  6.393863e-04 3.093812e-03 -2.60884e-03
 75 3.750000e+00 8.50000000e-01  6.399474e-04 3.093568e-03 -2.60876e-03
 76 3.800000e+00 8.50000000e-01  6.405066e-04 3.093325e-03 -2.60868e-03
 77 3.850000e+00 8.50000000e-01  6.410640e-04 3.093082e-03 -2.60860e-03
 78 3.900000e+00 8.50000000e-01  6.416196e-04 3.092841e-03 -2.60853e-03
 79 3.950000e+00 8.50000000e-01  6.421735e-04 3.092600e-03 -2.60845e-03
 80 4.000000e+00 8.50000000e-01  6.427255e-04 3.092360e-03 -2.60837e-03
 81 4.050000e+00 8.50000000e-01  6.432759e-04 3.092121e-03 -2.60829e-03
 82 4.100000e+00 8.50000000e-01  6.438246e-04 3.091882e-03 -2.60821e-03
 83 4.150000e+00 8.50000000e-01  6.443717e-04 3.091644e-03 -2.60813e-03
 84 4.200000e+00 8.50000000e-01  6.449171e-04 3.091407e-03 -2.60805e-03
 85 4.250000e+00 8.50000000e-01  6.454609e-04 3.091171e-03 -2.60798e-03
 86 4.300000e+00 8.50000000e-01  6.460032e-04 3.090935e-03 -2.60790e-03
 87 4.350000e+00 8.50000000e-01  6.465440e-04 3.090700e-03 -2.60782e-03
 88 4.400000e+00 8.50000000e-01  6.470832e-04 3.090466e-03 -2.60774e-03
 89 4.450000e+00 8.50000000e-01  6.476210e-04 3.090232e-03 -2.60767e-03
 90 4.500000e+00 8.50000000e-01  6.481573e-04 3.089999e-03 -2.60759e-03
 91 4.550000e+00 8.50000000e-01  6.486922e-04 3.089766e-03 -2.60751e-03
 92 4.600000e+00 8.50000000e-01  6.492256e-04 3.089534e-03 -2.60744e-03
 93 4.650000e+00 8.50000000e-01  6.497577e-04 3.089303e-03 -2.60736e-03
 94 4.700000e+00 8.50000000e-01  6.502884e-04 3.089073e-03 -2.60728e-03
 95 4.750000e+00 8.50000000e-01  6.508178e-04 3.088843e-03 -2.60721e-03
 96 4.800000e+00 8.50000000e-01  6.513459e-04 3.088613e-03 -2.60713e-03
 97 4.850000e+00 8.50000000e-01  6.518726e-04 3.088384e-03 -2.60706e-03
 98 4.900000e+00 8.50000000e-01  6.523981e-04 3.088156e-03 -2.60698e-03
 99 4.950000e+00 8.50000000e-01  6.529224e-04 3.087928e-03 -2.60691e-03
100 5.000000e+00 8.50000000e-01  6.534454e-04 3.087701e-03 -2.60683e-03
  0 0.000000e+00 9.00000000e-01  -5.52462e-04 5.774025e-03 -4.36600e-03
  1 5.000000e-02 9.00000000e-01  5.572509e-04 5.241295e-03 -4.13333e-03
  2 1.000000e-01 9.00000000e-01  8.301673e-04 5.111674e-03 -4.07421e-03
  3 1.500000e-01 9.00000000e-01  8.770321e-04 5.089440e-03 -4.06429e-03
  4 2.000000e-01 9.00000000e-01  8.855059e-04 5.085389e-03 -4.06275e-03
  5 2.500000e-01 9.00000000e-01  8.880546e-04 5.084148e-03 -4.06248e-03
  6 3.000000e-01 9.00000000e-01  8.896207e-04 5.083376e-03 -4.06239e-03
  7 3.500000e-01 9.00000000e-01  8.909589e-04 5.082713e-03 -4.06234e-03
  8 4.000000e-01 9.00000000e-01  8.921993e-04 5.082099e-03 -4.06229e-03
  9 4.500000e-01 9.00000000e-01  8.933739e-04 5.081517e-03 -4.06224e-03
 10 5.000000e-01 9.00000000e-01  8.944967e-04 5.080961e-03 -4.06220e-03
 11 5.500000e-01 9.00000000e-01  8.955764e-04 5.080426e-03 -4.06216e-03
 12 6.000000e-01 9.00000000e-01  8.966192e-04 5.079910e-03 -4.06212e-03
 13 6.500000e-01 9.00000000e-01  8.976301e-04 5.079409e-03 -4.06208e-03
 14 7.000000e-01 9.00000000e-01  8.986128e-04 5.078923e-03 -4.06204e-03
 15 7.500000e-01 9.00000000e-01  8.995704e-04 5.078448e-03 -4.06200e-03
 16 8.000000e-01 9.00000000e-01  9.005056e-04 5.077985e-03 -4.06197e-03
 17 8.500000e-01 9.00000000e-01  9.014203e-04 5.077532e-03 -4.06193e-03
 18 9.000000e-01 9.00000000e-01  9.023164e-04 5.077089e-03 -4.06189e-03
 19 9.500000e-01 9.00000000e-01  9.031956e-04 5.076653e-03 -4.06186e-03
 20 1.000000e+00 9.00000000e-01  9.040590e-04 5.076226e-03 -4.06182e-03
 21 1.050000e+00 9.00000000e-01  9.049078e-04 5.075805e-03 -4.06179e-03
 22 1.100000e+00 9.00000000e-01  9.057432e-04 5.075392e-03 -4.06176e-03
 23 1.150000e+00 9.00000000e-01  9.065660e-04 5.074984e-03 -4.06172e-03
 24 1.200000e+00 9.00000000e-01  9.073769e-04 5.074583e-03 -4.06169e-03
 25 1.250000e+00 9.00000000e-01  9.081768e-04 5.074187e-03 -4.06166e-03
 26 1.300000e+00 9.00000000e-01  9.089662e-04 5.073796e-03 -4.06163e-03
 27 1.350000e+00 9.00000000e-01  9.097458e-04 5.073410e-03 -4.06160e-03
 28 1.400000e+00 9.00000000e-01  9.105160e-04 5.073029e-03 -4.06157e-03
 29 1.450000e+00 9.00000000e-01  9.112774e-04 5.072652e-03 -4.06154e-03
 30 1.500000e+00 9.00000000e-01  9.120304e-04 5.072279e-03 -4.06150e-03
 31 1.550000e+00 9.00000000e-01  9.127754e-04 5.071910e-03 -4.06147e-03
 32 1.600000e+00 9.00000000e-01  9.135129e-04 5.071545e-03 -4.06144e-03
 33 1.650000e+00 9.00000000e-01  9.142430e-04 5.071184e-03 -4.06141e-03
 34 1.700000e+00 9.00000000e-01  9.149662e-04 5.070826e-03 -4.06139e-03
 35 1.750000e+00 9.00000000e-01  9.156827e-04 5.070471e-03 -4.06136e-03
 36 1.800000e+00 9.00000000e-01  9.163928e-04 5.070119e-03 -4.06133e-03
 37 1.850000e+00 9.00000000e-01  9.170968e-04 5.069771e-03 -4.06130e-03
 38 1.900000e+00 9.00000000e-01  9.177949e-04 5.069425e-03 -4.06127e-03
 39 1.950000e+00 9.00000000e-01  9.184873e-04 5.069083e-03 -4.06124e-03
 40 2.000000e+00 9.00000000e-01  9.191743e-04 5.068743e-03 -4.06121e-03
 41 2.050000e+00 9.00000000e-01  9.198560e-04 5.068405e-03 -4.06119e-03
 42 2.100000e+00 9.00000000e-01  9.205326e-04 5.068070e-03 -4.06116e-03
 43 2.150000e+00 9.00000000e-01  9.212043e-04 5.067738e-03 -4.06113e-03
 44 2.200000e+00 9.00000000e-01  9.218713e-04 5.067408e-03 -4.06110e-03
 45 2.250000e+00 9.00000000e-01  9.225337e-04 5.067080e-03 -4.06107e-03
 46 2.300000e+00 9.00000000e-01  9.231916e-04 5.066754e-03 -4.06105e-03
 47 2.350000e+00 9.00000000e-01  9.238453e-04 5.066431e-03 -4.06102e-03
 48 2.400000e+00 9.00000000e-01  9.244947e-04 5.066109e-03 -4.06099e-03
 49 2.450000e+00 9.00000000e-01  9.251401e-04 5.065790e-03 -4.06097e-03
 50 2.500000e+00 9.00000000e-01  9.257816e-04 5.065472e-03 -4.06094e-03
 51 2.550000e+00 9.00000000e-01  9.264193e-04 5.065157e-03 -4.06091e-03
 52 2.600000e+00 9.00000000e-01  9.270532e-04 5.064843e-03 -4.06089e-03
 53 2.650000e+00 9.00000000e-01  9.276836e-04 5.064531e-03 -4.06086e-03
 54 2.700000e+00 9.00000000e-01  9.283104e-04 5.064221e-03 -4.06083e-03
 55 2.750000e+00 9.00000000e-01  9.289338e-04 5.063912e-03 -4.06081e-03
 56 2.800000e+00 9.00000000e-01  9.295539e-04 5.063605e-03 -4.06078e-03
 57 2.850000e+00 9.00000000e-01  9.301708e-04 5.063300e-03 -4.06076e-03
 58 2.900000e+00 9.00000000e-01  9.307845e-04 5.062996e-03 -4.06073e-03
 59 2.950000e+00 9.00000000e-01  9.313951e-04 5.062694e-03 -4.06070e-03
 60 3.000000e+00 9.00000000e-01  9.320027e-04 5.062394e-03 -4.06068e-03
 61 3.050000e+00 9.00000000e-01  9.326073e-04 5.062094e-03 -4.06065e-03
 62 3.100000e+00 9.00000000e-01  9.332091e-04 5.061797e-03 -4.06063e-03
 63 3.150000e+00 9.00000000e-01  9.338081e-04 5.061500e-03 -4.06060e-03
 64 3.200000e+00 9.00000000e-01  9.344043e-04 5.061205e-03 -4.06058e-03
 65 3.250000e+00 9.00000000e-01  9.349979e-04 5.060912e-03 -4.06055e-03
 66 3.300000e+00 9.00000000e-01  9.355889e-04 5.060619e-03 -4.06053e-03
 67 3.350000e+00 9.00000000e-01  9.361773e-04 5.060328e-03 -4.06050e-03
 68 3.400000e+00 9.00000000e-01  9.367632e-04 5.060038e-03 -4.06048e-03
 69 3.450000e+00 9.00000000e-01  9.373466e-04 5.059749e-03 -4.06045e-03
 70 3.500000e+00 9.00000000e-01  9.379276e-04 5.059462e-03 -4.06043e-03
 71 3.550000e+00 9.00000000e-01  9.385063e-04 5.059176e-03 -4.06040e-03
 72 3.600000e+00 9.00000000e-01  9.390827e-04 5.058890e-03 -4.06038e-03
 73 3.650000e+00 9.00000000e-01  9.396568e-04 5.058606e-03 -4.06035e-03
 74 3.700000e+00 9.00000000e-01  9.402287e-04 5.058323e-03 -4.06033e-03
 75 3.750000e+00 9.00000000e-01  9.407985e-04 5.058042e-03 -4.06030e-03
 76 3.800000e+00 9.00000000e-01  9.413661e-04 5.057761e-03 -4.06028e-03
 77 3.850000e+00 9.00000000e-01  9.419316e-04 5.057481e-03 -4.06025e-03
 78 3.900000e+00 9.00000000e-01  9.424951e-04 5.057202e-03 -4.06023e-03
 79 3.950000e+00 9.00000000e-01  9.430565e-04 5.056924e-03 -4.06021e-03
 80 4.000000e+00 9.00000000e-01  9.436160e-04 5.056648e-03 -4.06018e-03
 81 4.050000e+00 9.00000000e-01  9.441736e-04 5.056372e-03 -4.06016e-03
 82 4.100000e+00 9.00000000e-01  9.447292e-04 5.056097e-03 -4.06013e-03
 83 4.150000e+00 9.00000000e-01  9.452830e-04 5.055823e-03 -4.06011e-03
 84 4.200000e+00 9.00000000e-01  9.458349e-04 5.055550e-03 -4.06008e-03
 85 4.250000e+00 9.00000000e-01  9.463850e-04 5.055278e-03 -4.06006e-03
 86 4.300000e+00 9.00000000e-01  9.469334e-04 5.055007e-03 -4.06004e-03
 87 4.350000e+00 9.00000000e-01  9.474800e-04 5.054736e-03 -4.06001e-03
 88 4.400000e+00 9.00000000e-01  9.480249e-04 5.054467e-03 -4.05999e-03
 89 4.450000e+00 9.00000000e-01  9.485681e-04 5.054198e-03 -4.05997e-03
 90 4.500000e+00 9.00000000e-01  9.491096e-04 5.053930e-03 -4.05994e-03
 91 4.550000e+00 9.00000000e-01  9.496495e-04 5.053663e-03 -4.05992e-03
 92 4.600000e+00 9.00000000e-01  9.501878e-04 5.053397e-03 -4.05989e-03
 93 4.650000e+00 9.00000000e-01  9.507245e-04 5.053131e-03 -4.05987e-03
 94 4.700000e+00 9.00000000e-01  9.512596e-04 5.052867e-03 -4.05985e-03
 95 4.750000e+00 9.00000000e-01  9.517932e-04 5.052603e-03 -4.05982e-03
 96 4.800000e+00 9.00000000e-01  9.523253e-04 5.052340e-03 -4.05980e-03
 97 4.850000e+00 9.00000000e-01  9.528559e-04 5.052077e-03 -4.05978e-03
 98 4.900000e+00 9.00000000e-01  9.533850e-04 5.051815e-03 -4.05975e-03
 99 4.950000e+00 9.00000000e-01  9.539127e-04 5.051554e-03 -4.05973e-03
100 5.000000e+00 9.00000000e-01  9.544390e-04 5.051294e-03 -4.05971e-03
  0 0.000000e+00 9.50000000e-01  -1.11817e-03 8.578039e-03 -6.13563e-03
  1 5.000000e-02 9.50000000e-01  5.538685e-04 7.717688e-03 -5.80550e-03
  2 1.000000e-01 9.50000000e-01  1.068854e-03 7.453990e-03 -5.69827e-03
  3 1.500000e-01 9.50000000e-01  1.164859e-03 7.404944e-03 -5.67858e-03
  4 2.000000e-01 9.50000000e-01  1.181114e-03 7.396671e-03 -5.67579e-03
  5 2.500000e-01 9.50000000e-01  1.184927e-03 7.394752e-03 -5.67555e-03
  6 3.000000e-01 9.50000000e-01  1.186765e-03 7.393839e-03 -5.67566e-03
  7 3.500000e-01 9.50000000e-01  1.188213e-03 7.393123e-03 -5.67581e-03
  8 4.000000e-01 9.50000000e-01  1.189528e-03 7.392473e-03 -5.67596e-03
  9 4.500000e-01 9.50000000e-01  1.190763e-03 7.391863e-03 -5.67610e-03
 10 5.000000e-01 9.50000000e-01  1.191940e-03 7.391282e-03 -5.67624e-03
 11 5.500000e-01 9.50000000e-01  1.193067e-03 7.390725e-03 -5.67637e-03
 12 6.000000e-01 9.50000000e-01  1.194154e-03 7.390188e-03 -5.67649e-03
 13 6.500000e-01 9.50000000e-01  1.195205e-03 7.389669e-03 -5.67661e-03
 14 7.000000e-01 9.50000000e-01  1.196225e-03 7.389165e-03 -5.67673e-03
 15 7.500000e-01 9.50000000e-01  1.197217e-03 7.388674e-03 -5.67684e-03
 16 8.000000e-01 9.50000000e-01  1.198185e-03 7.388196e-03 -5.67695e-03
 17 8.500000e-01 9.50000000e-01  1.199131e-03 7.387729e-03 -5.67706e-03
 18 9.000000e-01 9.50000000e-01  1.200056e-03 7.387272e-03 -5.67717e-03
 19 9.500000e-01 9.50000000e-01  1.200963e-03 7.386824e-03 -5.67727e-03
 20 1.000000e+00 9.50000000e-01  1.201853e-03 7.386384e-03 -5.67737e-03
 21 1.050000e+00 9.50000000e-01  1.202727e-03 7.385952e-03 -5.67747e-03
 22 1.100000e+00 9.50000000e-01  1.203587e-03 7.385528e-03 -5.67757e-03
 23 1.150000e+00 9.50000000e-01  1.204433e-03 7.385110e-03 -5.67766e-03
 24 1.200000e+00 9.50000000e-01  1.205266e-03 7.384698e-03 -5.67776e-03
 25 1.250000e+00 9.50000000e-01  1.206088e-03 7.384292e-03 -5.67785e-03
 26 1.300000e+00 9.50000000e-01  1.206898e-03 7.383891e-03 -5.67794e-03
 27 1.350000e+00 9.50000000e-01  1.207698e-03 7.383496e-03 -5.67803e-03
 28 1.400000e+00 9.50000000e-01  1.208487e-03 7.383106e-03 -5.67812e-03
 29 1.450000e+00 9.50000000e-01  1.209268e-03 7.382721e-03 -5.67821e-03
 30 1.500000e+00 9.50000000e-01  1.210039e-03 7.382339e-03 -5.67830e-03
 31 1.550000e+00 9.50000000e-01  1.210802e-03 7.381963e-03 -5.67838e-03
 32 1.600000e+00 9.50000000e-01  1.211557e-03 7.381590e-03 -5.67847e-03
 33 1.650000e+00 9.50000000e-01  1.212303e-03 7.381221e-03 -5.67855e-03
 34 1.700000e+00 9.50000000e-01  1.213043e-03 7.380855e-03 -5.67864e-03
 35 1.750000e+00 9.50000000e-01  1.213775e-03 7.380493e-03 -5.67872e-03
 36 1.800000e+00 9.50000000e-01  1.214501e-03 7.380135e-03 -5.67880e-03
 37 1.850000e+00 9.50000000e-01  1.215220e-03 7.379780e-03 -5.67888e-03
 38 1.900000e+00 9.50000000e-01  1.215933e-03 7.379427e-03 -5.67896e-03
 39 1.950000e+00 9.50000000e-01  1.216639e-03 7.379078e-03 -5.67904e-03
 40 2.000000e+00 9.50000000e-01  1.217340e-03 7.378732e-03 -5.67912e-03
 41 2.050000e+00 9.50000000e-01  1.218035e-03 7.378388e-03 -5.67920e-03
 42 2.100000e+00 9.50000000e-01  1.218725e-03 7.378048e-03 -5.67928e-03
 43 2.150000e+00 9.50000000e-01  1.219410e-03 7.377709e-03 -5.67935e-03
 44 2.200000e+00 9.50000000e-01  1.220089e-03 7.377373e-03 -5.67943e-03
 45 2.250000e+00 9.50000000e-01  1.220764e-03 7.377040e-03 -5.67950e-03
 46 2.300000e+00 9.50000000e-01  1.221434e-03 7.376709e-03 -5.67958e-03
 47 2.350000e+00 9.50000000e-01  1.222099e-03 7.376380e-03 -5.67965e-03
 48 2.400000e+00 9.50000000e-01  1.222760e-03 7.376054e-03 -5.67973e-03
 49 2.450000e+00 9.50000000e-01  1.223417e-03 7.375729e-03 -5.67980e-03
 50 2.500000e+00 9.50000000e-01  1.224069e-03 7.375407e-03 -5.67987e-03
 51 2.550000e+00 9.50000000e-01  1.224717e-03 7.375086e-03 -5.67994e-03
 52 2.600000e+00 9.50000000e-01  1.225362e-03 7.374768e-03 -5.68002e-03
 53 2.650000e+00 9.50000000e-01  1.226002e-03 7.374452e-03 -5.68009e-03
 54 2.700000e+00 9.50000000e-01  1.226639e-03 7.374137e-03 -5.68016e-03
 55 2.750000e+00 9.50000000e-01  1.227272e-03 7.373824e-03 -5.68023e-03
 56 2.800000e+00 9.50000000e-01  1.227902e-03 7.373513e-03 -5.68030e-03
 57 2.850000e+00 9.50000000e-01  1.228528e-03 7.373203e-03 -5.68037e-03
 58 2.900000e+00 9.50000000e-01  1.229151e-03 7.372896e-03 -5.68044e-03
 59 2.950000e+00 9.50000000e-01  1.229770e-03 7.372590e-03 -5.68051e-03
 60 3.000000e+00 9.50000000e-01  1.230386e-03 7.372285e-03 -5.68057e-03
 61 3.050000e+00 9.50000000e-01  1.230999e-03 7.371982e-03 -5.68064e-03
 62 3.100000e+00 9.50000000e-01  1.231610e-03 7.371680e-03 -5.68071e-03
 63 3.150000e+00 9.50000000e-01  1.232217e-03 7.371380e-03 -5.68078e-03
 64 3.200000e+00 9.50000000e-01  1.232821e-03 7.371082e-03 -5.68084e-03
 65 3.250000e+00 9.50000000e-01  1.233422e-03 7.370785e-03 -5.68091e-03
 66 3.300000e+00 9.50000000e-01  1.234021e-03 7.370489e-03 -5.68098e-03
 67 3.350000e+00 9.50000000e-01  1.234617e-03 7.370194e-03 -5.68104e-03
 68 3.400000e+00 9.50000000e-01  1.235210e-03 7.369901e-03 -5.68111e-03
 69 3.450000e+00 9.50000000e-01  1.235800e-03 7.369609e-03 -5.68117e-03
 70 3.500000e+00 9.50000000e-01  1.236388e-03 7.369319e-03 -5.68124e-03
 71 3.550000e+00 9.50000000e-01  1.236974e-03 7.369030e-03 -5.68130e-03
 72 3.600000e+00 9.50000000e-01  1.237557e-03 7.368741e-03 -5.68137e-03
 73 3.650000e+00 9.50000000e-01  1.238137e-03 7.368455e-03 -5.68143e-03
 74 3.700000e+00 9.50000000e-01  1.238715e-03 7.368169e-03 -5.68149e-03
 75 3.750000e+00 9.50000000e-01  1.239291e-03 7.367884e-03 -5.68156e-03
 76 3.800000e+00 9.50000000e-01  1.239865e-03 7.367601e-03 -5.68162e-03
 77 3.850000e+00 9.50000000e-01  1.240436e-03 7.367318e-03 -5.68168e-03
 78 3.900000e+00 9.50000000e-01  1.241005e-03 7.367037e-03 -5.68175e-03
 79 3.950000e+00 9.50000000e-01  1.241572e-03 7.366757e-03 -5.68181e-03
 80 4.000000e+00 9.50000000e-01  1.242137e-03 7.366477e-03 -5.68187e-03
 81 4.050000e+00 9.50000000e-01  1.242700e-03 7.366199e-03 -5.68193e-03
 82 4.100000e+00 9.50000000e-01  1.243261e-03 7.365922e-03 -5.68199e-03
 83 4.150000e+00 9.50000000e-01  1.243820e-03 7.365646e-03 -5.68206e-03
 84 4.200000e+00 9.50000000e-01  1.244377e-03 7.365371e-03 -5.68212e-03
 85 4.250000e+00 9.50000000e-01  1.244932e-03 7.365096e-03 -5.68218e-03
 86 4.300000e+00 9.50000000e-01  1.245485e-03 7.364823e-03 -5.68224e-03
 87 4.350000e+00 9.50000000e-01  1.246036e-03 7.364551e-03 -5.68230e-03
 88 4.400000e+00 9.50000000e-01  1.246585e-03 7.364279e-03 -5.68236e-03
 89 4.450000e+00 9.50000000e-01  1.247132e-03 7.364009e-03 -5.68242e-03
 90 4.500000e+00 9.50000000e-01  1.247678e-03 7.363739e-03 -5.68248e-03
 91 4.550000e+00 9.50000000e-01  1.248222e-03 7.363470e-03 -5.68254e-03
 92 4.600000e+00 9.50000000e-01  1.248764e-03 7.363202e-03 -5.68260e-03
 93 4.650000e+00 9.50000000e-01  1.249305e-03 7.362935e-03 -5.68265e-03
 94 4.700000e+00 9.50000000e-01  1.249844e-03 7.362669e-03 -5.68271e-03
 95 4.750000e+00 9.50000000e-01  1.250381e-03 7.362403e-03 -5.68277e-03
 96 4.800000e+00 9.50000000e-01  1.250916e-03 7.362138e-03 -5.68283e-03
 97 4.850000e+00 9.50000000e-01  1.251450e-03 7.361874e-03 -5.68289e-03
 98 4.900000e+00 9.50000000e-01  1.251983e-03 7.361611e-03 -5.68295e-03
 99 4.950000e+00 9.50000000e-01  1.252514e-03 7.361349e-03 -5.68300e-03
100 5.000000e+00 9.50000000e-01  1.253043e-03 7.361087e-03 -5.68306e-03
  0 0.000000e+00 1.00000000e+00  -1.89605e-03 1.172460e-02 -8.01192e-03
  1 5.000000e-02 1.00000000e+00  3.643113e-04 1.052378e-02 -7.60311e-03
  2 1.000000e-01 1.00000000e+00  1.241749e-03 1.005770e-02 -7.43250e-03
  3 1.500000e-01 1.00000000e+00  1.429494e-03 9.958146e-03 -7.39602e-03
  4 2.000000e-01 1.00000000e+00  1.460889e-03 9.941644e-03 -7.39082e-03
  5 2.500000e-01 1.00000000e+00  1.467083e-03 9.938502e-03 -7.39053e-03
  6 3.000000e-01 1.00000000e+00  1.469350e-03 9.937424e-03 -7.39089e-03
  7 3.500000e-01 1.00000000e+00  1.470924e-03 9.936702e-03 -7.39131e-03
  8 4.000000e-01 1.00000000e+00  1.472308e-03 9.936072e-03 -7.39171e-03
  9 4.500000e-01 1.00000000e+00  1.473596e-03 9.935487e-03 -7.39209e-03
 10 5.000000e-01 1.00000000e+00  1.474817e-03 9.934932e-03 -7.39245e-03
