Index       V(B)              TEMP             I(V_C)            I(V_B)      
52       7.20000000e-01   -5.00000000e+01    1.98271790e-07    2.67660423e-09
53       7.30000000e-01   -5.00000000e+01    3.32241228e-07    4.40725948e-09
54       7.40000000e-01   -5.00000000e+01    5.56660170e-07    7.29003684e-09
55       7.50000000e-01   -5.00000000e+01    9.32508065e-07    1.21021624e-08
56       7.60000000e-01   -5.00000000e+01    1.56175315e-06    2.01480683e-08
57       7.70000000e-01   -5.00000000e+01    2.61471461e-06    3.36174579e-08
58       7.80000000e-01   -5.00000000e+01    4.37538044e-06    5.61859510e-08
59       7.90000000e-01   -5.00000000e+01    7.31602154e-06    9.40211375e-08
60       8.00000000e-01   -5.00000000e+01    1.22187222e-05    1.57463363e-07
61       8.10000000e-01   -5.00000000e+01    2.03695542e-05    2.63821819e-07
62       8.20000000e-01   -5.00000000e+01    3.38595495e-05    4.41993727e-07
63       8.30000000e-01   -5.00000000e+01    5.60274972e-05    7.40010732e-07
64       8.40000000e-01   -5.00000000e+01    9.20552101e-05    1.23715637e-06
65       8.50000000e-01   -5.00000000e+01    1.49645816e-04    2.06293153e-06
66       8.60000000e-01   -5.00000000e+01    2.39561078e-04    3.42569826e-06
67       8.70000000e-01   -5.00000000e+01    3.75634656e-04    5.65399596e-06
68       8.80000000e-01   -5.00000000e+01    5.73935600e-04    9.25290522e-06
69       8.90000000e-01   -5.00000000e+01    8.51195674e-04    1.49758624e-05
70       9.00000000e-01   -5.00000000e+01    1.22310553e-03    2.39078889e-05
71       9.10000000e-01   -5.00000000e+01    1.70302152e-03    3.75480702e-05
72       9.20000000e-01   -5.00000000e+01    2.30109113e-03    5.78682222e-05
73       9.30000000e-01   -5.00000000e+01    3.02351219e-03    8.73161420e-05
74       9.40000000e-01   -5.00000000e+01    3.87183523e-03    1.28733861e-04
75       9.50000000e-01   -5.00000000e+01    4.84252534e-03    1.85180245e-04
76       9.60000000e-01   -5.00000000e+01    5.92708063e-03    2.59680260e-04
77       9.70000000e-01   -5.00000000e+01    7.11282566e-03    3.54955169e-04
78       9.80000000e-01   -5.00000000e+01    8.38421477e-03    4.73200111e-04
79       9.90000000e-01   -5.00000000e+01    9.72424551e-03    6.15966830e-04
80       1.00000000e+00   -5.00000000e+01    1.11051340e-02    7.85794427e-04
81       1.01000000e+00   -5.00000000e+01    1.24057454e-02    9.99975105e-04
82       1.02000000e+00   -5.00000000e+01    1.35592657e-02    1.26777021e-03
83       1.03000000e+00   -5.00000000e+01    1.45958012e-02    1.58273962e-03
84       1.04000000e+00   -5.00000000e+01    1.55415317e-02    1.93833388e-03
85       1.05000000e+00   -5.00000000e+01    1.64130371e-02    2.32926393e-03
86       1.06000000e+00   -5.00000000e+01    1.72213497e-02    2.75119508e-03
87       1.07000000e+00   -5.00000000e+01    1.79744044e-02    3.20050639e-03
88       1.08000000e+00   -5.00000000e+01    1.86783085e-02    3.67413443e-03
89       1.09000000e+00   -5.00000000e+01    1.93380046e-02    4.16946555e-03
90       1.10000000e+00   -5.00000000e+01    1.99576358e-02    4.68425538e-03
91       1.11000000e+00   -5.00000000e+01    2.05407597e-02    5.21656588e-03
92       1.12000000e+00   -5.00000000e+01    2.10904826e-02    5.76471498e-03
93       1.13000000e+00   -5.00000000e+01    2.16095484e-02    6.32723563e-03
94       1.14000000e+00   -5.00000000e+01    2.21004261e-02    6.90283555e-03
95       1.15000000e+00   -5.00000000e+01    2.25652529e-02    7.49039853e-03
96       1.16000000e+00   -5.00000000e+01    2.30060340e-02    8.08891618e-03
97       1.17000000e+00   -5.00000000e+01    2.34245541e-02    8.69750139e-03
98       1.18000000e+00   -5.00000000e+01    2.38224329e-02    9.31536399e-03
99       1.19000000e+00   -5.00000000e+01    2.42011438e-02    9.94179763e-03
100      1.20000000e+00   -5.00000000e+01    2.45620301e-02    1.05761687e-02
0        2.00000000e-01    5.00000000e+01    3.39798913e-12    9.55681707e-13
1        2.10000000e-01    5.00000000e+01    4.85431284e-12    1.15720725e-12
2        2.20000000e-01    5.00000000e+01    6.93424197e-12    1.40200934e-12
3        2.30000000e-01    5.00000000e+01    9.90477466e-12    1.70017239e-12
4        2.40000000e-01    5.00000000e+01    1.41472086e-11    2.06444373e-12
5        2.50000000e-01    5.00000000e+01    2.02060634e-11    2.51105086e-12
6        2.60000000e-01    5.00000000e+01    2.88589399e-11    3.06080645e-12
7        2.70000000e-01    5.00000000e+01    4.12162716e-11    3.74061207e-12
8        2.80000000e-01    5.00000000e+01    5.88637606e-11    4.58551803e-12
9        2.90000000e-01    5.00000000e+01    8.40657545e-11    5.64156062e-12
10       3.00000000e-01    5.00000000e+01    1.20055633e-10    6.96969099e-12
11       3.10000000e-01    5.00000000e+01    1.71450423e-10    8.65124053e-12
12       3.20000000e-01    5.00000000e+01    2.44842764e-10    1.07955552e-11
13       3.30000000e-01    5.00000000e+01    3.49646079e-10    1.35506977e-11
