Index         TIME            V(TRIGGER)          V(OUT_3)           V(OUT_2)           V(OUT_1)           V(OUT_0)      V(XS1:XL1:TRIGINV)
0       0.0000000000e+00   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
1       5.0000000000e-10   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
2       1.5000000000e-09   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
3       3.5000000000e-09   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
4       7.5000000000e-09   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
5       1.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
6       2.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
7       3.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
8       4.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
9       5.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
10      6.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
11      7.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
12      8.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
13      9.5500000000e-08   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
14      1.0000000000e-07   0.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
15      1.0037976892e-07   5.6965338064e-02   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
16      1.0069508075e-07   1.0426211247e-01   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
17      1.0132570441e-07   1.9885566128e-01   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
18      1.0258695173e-07   3.8804275891e-01   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
19      1.0510944636e-07   7.6641695415e-01   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
20      1.1015443563e-07   1.5231653447e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
21      1.2000000000e-07   3.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
22      1.2100899785e-07   3.0000000000e+00   7.2115384615e-02   2.8846153846e+00   7.2115384615e-02   2.8846153846e+00   2.8985507246e+00   
