Index        TIME             V(1)             V(2)             V(3)
71      1.12721544e-04   3.99577658e+02   1.23485750e+01   5.16774608e-01   
72      1.14295306e-04   3.99565940e+02   1.25201965e+01   5.25926233e-01   
73      1.15869068e-04   3.99554063e+02   1.26918218e+01   5.35158560e-01   
74      1.17442830e-04   3.99542026e+02   1.28634518e+01   5.44472671e-01   
75      1.19016593e-04   3.99529829e+02   1.30350875e+01   5.53869645e-01   
76      1.20590355e-04   3.99517473e+02   1.32067301e+01   5.63350560e-01   
77      1.22164117e-04   3.99504957e+02   1.33783803e+01   5.72916492e-01   
78      1.23737879e-04   3.99492282e+02   1.35500394e+01   5.82568515e-01   
79      1.25311642e-04   3.99479447e+02   1.37217082e+01   5.92307702e-01   
80      1.26885404e-04   3.99466454e+02   1.38933877e+01   6.02135121e-01   
81      1.28459166e-04   3.99453301e+02   1.40650791e+01   6.12051842e-01   
82      1.30032928e-04   3.99439989e+02   1.42367832e+01   6.22058931e-01   
83      1.31606690e-04   3.99426518e+02   1.44085010e+01   6.32157453e-01   
84      1.33180453e-04   3.99412888e+02   1.45802336e+01   6.42348471e-01   
85      1.34754215e-04   3.99399100e+02   1.47519819e+01   6.52633044e-01   
86      1.36327977e-04   3.99385152e+02   1.49237469e+01   6.63012233e-01   
87      1.37901739e-04   3.99371046e+02   1.50955297e+01   6.73487094e-01   
88      1.39475501e-04   3.99356781e+02   1.52673311e+01   6.84058682e-01   
89      1.41049264e-04   3.99342358e+02   1.54391521e+01   6.94728050e-01   
90      1.42623026e-04   3.99327776e+02   1.56109938e+01   7.05496250e-01   
91      1.44196788e-04   3.99313036e+02   1.57828571e+01   7.16364331e-01   
92      1.45770550e-04   3.99298137e+02   1.59547430e+01   7.27333340e-01   
93      1.47344313e-04   3.99283080e+02   1.61266524e+01   7.38404323e-01   
94      1.48918075e-04   3.99267865e+02   1.62985864e+01   7.49578324e-01   
95      1.50491837e-04   3.99252492e+02   1.64705458e+01   7.60856384e-01   
96      1.52065599e-04   3.99236961e+02   1.66425316e+01   7.72239543e-01   
97      1.53639361e-04   3.99221272e+02   1.68145449e+01   7.83728839e-01   
98      1.55213124e-04   3.99205426e+02   1.69865865e+01   7.95325308e-01   
99      1.56786886e-04   3.99189421e+02   1.71586575e+01   8.07029983e-01   
100     1.58360648e-04   3.99173259e+02   1.73307587e+01   8.18843898e-01   
101     1.59934410e-04   3.99156939e+02   1.75028911e+01   8.30768081e-01   
102     1.61508173e-04   3.99140461e+02   1.76750557e+01   8.42803562e-01   
103     1.63081935e-04   3.99123826e+02   1.78472535e+01   8.54951366e-01   
104     1.64655697e-04   3.99107034e+02   1.80194852e+01   8.67212518e-01   
105     1.66229459e-04   3.99090084e+02   1.81917520e+01   8.79588040e-01   
106     1.67803221e-04   3.99072978e+02   1.83640547e+01   8.92078952e-01   
107     1.69376984e-04   3.99055714e+02   1.85363943e+01   9.04686274e-01   
108     1.70950746e-04   3.99038292e+02   1.87087717e+01   9.17411022e-01   
109     1.72524508e-04   3.99020714e+02   1.88811879e+01   9.30254210e-01   
110     1.74098270e-04   3.99002979e+02   1.90536437e+01   9.43216850e-01   
111     1.75672033e-04   3.98985088e+02   1.92261402e+01   9.56299955e-01   
112     1.77245795e-04   3.98967039e+02   1.93986782e+01   9.69504531e-01   
113     1.78819557e-04   3.98948834e+02   1.95712586e+01   9.82831587e-01   
114     1.80393319e-04   3.98930472e+02   1.97438824e+01   9.96282127e-01   
115     1.81967081e-04   3.98911954e+02   1.99165505e+01   1.00985715e+00   
116     1.83540844e-04   3.98893279e+02   2.00892638e+01   1.02355767e+00   
117     1.85114606e-04   3.98874448e+02   2.02620232e+01   1.03738467e+00   
118     1.86688368e-04   3.98855460e+02   2.04348297e+01   1.05133915e+00   
119     1.88262130e-04   3.98836316e+02   2.06076841e+01   1.06542211e+00   
120     1.89835892e-04   3.98817017e+02   2.07805874e+01   1.07963455e+00   
121     1.91409655e-04   3.98797561e+02   2.09535404e+01   1.09397744e+00   
122     1.92983417e-04   3.98777949e+02   2.11265441e+01   1.10845179e+00   
123     1.94557179e-04   3.98758181e+02   2.12995993e+01   1.12305858e+00   
124     1.96130941e-04   3.98738258e+02   2.14727070e+01   1.13779879e+00   
125     1.97704704e-04   3.98718178e+02   2.16458681e+01   1.15267340e+00   
126     1.99278466e-04   3.98697943e+02   2.18190833e+01   1.16768341e+00   
127     2.00852228e-04   3.98677553e+02   2.19923538e+01   1.18282978e+00   
128     2.02425990e-04   3.98657007e+02   2.21656802e+01   1.19811349e+00   
129     2.03999752e-04   3.98636305e+02   2.23390636e+01   1.21353552e+00   
130     2.05573515e-04   3.98615449e+02   2.25125048e+01   1.22909685e+00   
131     2.07147277e-04   3.98594437e+02   2.26860046e+01   1.24479843e+00   
132     2.10294801e-04   3.98551948e+02   2.30331837e+01   1.27662623e+00   
133     2.13442326e-04   3.98508838e+02   2.33806079e+01   1.30902666e+00   
134     2.16589850e-04   3.98465110e+02   2.37282843e+01   1.34200744e+00   
135     2.19737375e-04   3.98420762e+02   2.40762199e+01   1.37557622e+00   
136     2.22884899e-04   3.98375797e+02   2.44244214e+01   1.40974065e+00   
137     2.26032424e-04   3.98330214e+02   2.47728958e+01   1.44450831e+00   
138     2.29179948e-04   3.98284014e+02   2.51216499e+01   1.47988679e+00   
139     2.32327472e-04   3.98237198e+02   2.54706904e+01   1.51588360e+00   
140     2.35474997e-04   3.98189767e+02   2.58200242e+01   1.55250625e+00   
141     2.38622521e-04   3.98141720e+02   2.61696578e+01   1.58976221e+00   
142     2.41770046e-04   3.98093060e+02   2.65195980e+01   1.62765891e+00   
143     2.44917570e-04   3.98043786e+02   2.68698514e+01   1.66620375e+00   
144     2.48065095e-04   3.97993899e+02   2.72204246e+01   1.70540410e+00   
145     2.51212619e-04   3.97943400e+02   2.75713241e+01   1.74526730e+00   
146     2.54360143e-04   3.97892290e+02   2.79225564e+01   1.78580065e+00   
147     2.57507668e-04   3.97840568e+02   2.82741281e+01   1.82701141e+00   
148     2.60655192e-04   3.97788237e+02   2.86260455e+01   1.86890683e+00   
149     2.63802717e-04   3.97735296e+02   2.89783150e+01   1.91149409e+00   
150     2.66950241e-04   3.97681746e+02   2.93309431e+01   1.95478037e+00   
151     2.70097766e-04   3.97627587e+02   2.96839359e+01   1.99877281e+00   
152     2.73245290e-04   3.97572822e+02   3.00372999e+01   2.04347850e+00   
153     2.76392815e-04   3.97517449e+02   3.03910412e+01   2.08890450e+00   
154     2.79540339e-04   3.97461470e+02   3.07451661e+01   2.13505786e+00   
155     2.82687863e-04   3.97404886e+02   3.10996806e+01   2.18194556e+00   
156     2.85835388e-04   3.97347697e+02   3.14545911e+01   2.22957456e+00   
157     2.88982912e-04   3.97289904e+02   3.18099034e+01   2.27795181e+00   
158     2.92130437e-04   3.97231507e+02   3.21656237e+01   2.32708419e+00   
159     2.95277961e-04   3.97172507e+02   3.25217580e+01   2.37697855e+00   
160     2.98425486e-04   3.97112906e+02   3.28783122e+01   2.42764174e+00   
161     3.01573010e-04   3.97052703e+02   3.32352923e+01   2.47908053e+00   
162     3.04720535e-04   3.96991899e+02   3.35927042e+01   2.53130167e+00   
163     3.07868059e-04   3.96930495e+02   3.39505537e+01   2.58431190e+00   
164     3.11015583e-04   3.96868492e+02   3.43088466e+01   2.63811790e+00   
165     3.14163108e-04   3.96805890e+02   3.46675887e+01   2.69272631e+00   
166     3.17310632e-04   3.96742691e+02   3.50267858e+01   2.74814375e+00   
167     3.20458157e-04   3.96678894e+02   3.53864435e+01   2.80437680e+00   
168     3.23605681e-04   3.96614500e+02   3.57465674e+01   2.86143201e+00   
169     3.26753206e-04   3.96549511e+02   3.61071633e+01   2.91931587e+00   
170     3.29900730e-04   3.96483927e+02   3.64682367e+01   2.97803487e+00   
171     3.33048254e-04   3.96417748e+02   3.68297930e+01   3.03759544e+00   
172     3.36195779e-04   3.96350975e+02   3.71918379e+01   3.09800397e+00   
173     3.39343303e-04   3.96283610e+02   3.75543767e+01   3.15926685e+00   
174     3.42490828e-04   3.96215652e+02   3.79174148e+01   3.22139038e+00   
175     3.45638352e-04   3.96147102e+02   3.82809577e+01   3.28438088e+00   
176     3.48785877e-04   3.96077962e+02   3.86450107e+01   3.34824458e+00   
177     3.51933401e-04   3.96008231e+02   3.90095791e+01   3.41298772e+00   
178     3.55080926e-04   3.95937911e+02   3.93746681e+01   3.47861648e+00   
179     3.58228450e-04   3.95867002e+02   3.97402829e+01   3.54513699e+00   
180     3.61375974e-04   3.95795505e+02   4.01064288e+01   3.61255538e+00   
181     3.64523499e-04   3.95723421e+02   4.04731107e+01   3.68087772e+00   
182     3.67671023e-04   3.95650750e+02   4.08403339e+01   3.75011003e+00   
183     3.70818548e-04   3.95577494e+02   4.12081034e+01   3.82025833e+00   
184     3.73966072e-04   3.95503652e+02   4.15764242e+01   3.89132857e+00   
185     3.77113597e-04   3.95429226e+02   4.19453013e+01   3.96332668e+00   
186     3.80261121e-04   3.95354216e+02   4.23147395e+01   4.03625854e+00   
187     3.83408645e-04   3.95278624e+02   4.26847439e+01   4.11013001e+00   
188     3.86556170e-04   3.95202449e+02   4.30553191e+01   4.18494689e+00   
189     3.89703694e-04   3.95125693e+02   4.34264701e+01   4.26071497e+00   
190     3.92851219e-04   3.95048356e+02   4.37982016e+01   4.33743999e+00   
191     3.95998743e-04   3.94970439e+02   4.41705183e+01   4.41512763e+00   
192     3.99146268e-04   3.94891943e+02   4.45434249e+01   4.49378356e+00   
193     4.02293792e-04   3.94812868e+02   4.49169260e+01   4.57341341e+00   
194     4.05441317e-04   3.94733216e+02   4.52910263e+01   4.65402276e+00   
195     4.08588841e-04   3.94652986e+02   4.56657303e+01   4.73561715e+00   
196     4.11736365e-04   3.94572181e+02   4.60410425e+01   4.81820211e+00   
197     4.14883890e-04   3.94490800e+02   4.64169674e+01   4.90178309e+00   
198     4.18031414e-04   3.94408844e+02   4.67935094e+01   4.98636553e+00   
199     4.21178939e-04   3.94326314e+02   4.71706729e+01   5.07195482e+00   
200     4.24326463e-04   3.94243211e+02   4.75484623e+01   5.15855632e+00   
201     4.27473988e-04   3.94159536e+02   4.79268818e+01   5.24617534e+00   
202     4.30621512e-04   3.94075289e+02   4.83059358e+01   5.33481715e+00   
203     4.33769036e-04   3.93990471e+02   4.86856285e+01   5.42448701e+00   
204     4.36916561e-04   3.93905083e+02   4.90659640e+01   5.51519010e+00   
205     4.40064085e-04   3.93819125e+02   4.94469465e+01   5.60693158e+00   
206     4.43211610e-04   3.93732599e+02   4.98285801e+01   5.69971658e+00   
207     4.46359134e-04   3.93645505e+02   5.02108687e+01   5.79355018e+00   
208     4.49506659e-04   3.93557844e+02   5.05938166e+01   5.88843740e+00   
209     4.52654183e-04   3.93469617e+02   5.09774276e+01   5.98438327e+00   
210     4.55801708e-04   3.93380824e+02   5.13617056e+01   6.08139273e+00   
211     4.58949232e-04   3.93291466e+02   5.17466545e+01   6.17947072e+00   
212     4.62096756e-04   3.93201545e+02   5.21322783e+01   6.27862210e+00   
213     4.65244281e-04   3.93111060e+02   5.25185806e+01   6.37885173e+00   
214     4.68391805e-04   3.93020013e+02   5.29055652e+01   6.48016440e+00   
215     4.71539330e-04   3.92928405e+02   5.32932359e+01   6.58256488e+00   
216     4.74686854e-04   3.92836235e+02   5.36815963e+01   6.68605789e+00   
217     4.77834379e-04   3.92743506e+02   5.40706501e+01   6.79064810e+00   
218     4.80981903e-04   3.92650218e+02   5.44604008e+01   6.89634017e+00   
219     4.84129428e-04   3.92556371e+02   5.48508520e+01   7.00313868e+00   
220     4.87276952e-04   3.92461966e+02   5.52420071e+01   7.11104819e+00   
221     4.90424476e-04   3.92367005e+02   5.56338698e+01   7.22007323e+00   
222     4.93572001e-04   3.92271487e+02   5.60264432e+01   7.33021827e+00   
223     4.96719525e-04   3.92175415e+02   5.64197309e+01   7.44148775e+00   
224     4.99867050e-04   3.92078788e+02   5.68137362e+01   7.55388606e+00   
225     5.03014574e-04   3.91981607e+02   5.72084623e+01   7.66741755e+00   
226     5.06162099e-04   3.91883874e+02   5.76039125e+01   7.78208654e+00   
227     5.09309623e-04   3.91785589e+02   5.80000900e+01   7.89789731e+00   
228     5.12457147e-04   3.91686753e+02   5.83969979e+01   8.01485407e+00   
229     5.15604672e-04   3.91587366e+02   5.87946393e+01   8.13296101e+00   
230     5.18752196e-04   3.91487430e+02   5.91930174e+01   8.25222229e+00   
231     5.21899721e-04   3.91386945e+02   5.95921352e+01   8.37264201e+00   
232     5.25047245e-04   3.91285912e+02   5.99919955e+01   8.49422423e+00   
233     5.31342294e-04   3.91082208e+02   6.07939532e+01   8.74089113e+00   
234     5.37637343e-04   3.90876323e+02   6.15989152e+01   8.99225533e+00   
235     5.43932392e-04   3.90668263e+02   6.24069044e+01   9.24834805e+00   
236     5.50227441e-04   3.90458035e+02   6.32179423e+01   9.50919969e+00   
237     5.56522490e-04   3.90245645e+02   6.40320501e+01   9.77483990e+00   
238     5.62817538e-04   3.90031102e+02   6.48492478e+01   1.00452976e+01   
239     5.69112587e-04   3.89814410e+02   6.56695549e+01   1.03206012e+01   
240     5.75407636e-04   3.89595578e+02   6.64929901e+01   1.06007780e+01   
