Index       TIME           {V(1)+6.0}     {NINT(V(1)+6.0)} 
49       2.74431000e-04    1.09412065e+01    1.10000000e+01
50       2.82623000e-04    1.08953290e+01    1.10000000e+01
51       2.90815000e-04    1.08364849e+01    1.10000000e+01
52       2.99007000e-04    1.07648301e+01    1.10000000e+01
53       3.07199000e-04    1.06805543e+01    1.10000000e+01
54       3.15391000e-04    1.05838809e+01    1.10000000e+01
55       3.23583000e-04    1.04750658e+01    1.00000000e+01
56       3.31775000e-04    1.03543973e+01    1.00000000e+01
57       3.39967000e-04    1.02221950e+01    1.00000000e+01
58       3.48159000e-04    1.00788092e+01    1.00000000e+01
59       3.56351000e-04    9.92461947e+00    1.00000000e+01
60       3.64543000e-04    9.76003438e+00    1.00000000e+01
61       3.72735000e-04    9.58548983e+00    1.00000000e+01
62       3.80927000e-04    9.40144816e+00    9.00000000e+00
63       3.89119000e-04    9.20839684e+00    9.00000000e+00
64       3.97311000e-04    9.00684722e+00    9.00000000e+00
65       4.05503000e-04    8.79733317e+00    9.00000000e+00
66       4.13695000e-04    8.58040964e+00    9.00000000e+00
67       4.21887000e-04    8.35665120e+00    8.00000000e+00
68       4.30079000e-04    8.12665054e+00    8.00000000e+00
69       4.38271000e-04    7.89101688e+00    8.00000000e+00
70       4.46463000e-04    7.65037436e+00    8.00000000e+00
71       4.54655000e-04    7.40536038e+00    7.00000000e+00
72       4.62847000e-04    7.15662393e+00    7.00000000e+00
73       4.71039000e-04    6.90482385e+00    7.00000000e+00
74       4.79231000e-04    6.65062711e+00    7.00000000e+00
75       4.87423000e-04    6.39470700e+00    6.00000000e+00
76       4.95615000e-04    6.13774141e+00    6.00000000e+00
77       5.03807000e-04    5.88041097e+00    6.00000000e+00
78       5.11999000e-04    5.62339730e+00    6.00000000e+00
79       5.19356968e-04    5.39338105e+00    5.00000000e+00
80       5.26714935e-04    5.16466114e+00    5.00000000e+00
81       5.34072903e-04    4.93772631e+00    5.00000000e+00
82       5.41430871e-04    4.71306153e+00    5.00000000e+00
83       5.48788838e-04    4.49114689e+00    4.00000000e+00
84       5.56146806e-04    4.27245663e+00    4.00000000e+00
85       5.63504774e-04    4.05745808e+00    4.00000000e+00
86       5.70862741e-04    3.84661067e+00    4.00000000e+00
87       5.78220709e-04    3.64036499e+00    4.00000000e+00
88       5.85578677e-04    3.43916178e+00    3.00000000e+00
89       5.92936644e-04    3.24343099e+00    3.00000000e+00
