Index         TIME            I(VMON)
148     3.39673166e-03   1.26563240e-01   
149     3.42362437e-03   1.24633740e-01   
150     3.45051708e-03   1.24021012e-01   
151     3.47740979e-03   1.24694538e-01   
152     3.50430250e-03   1.26615326e-01   
153     3.53119521e-03   1.29736420e-01   
154     3.55808792e-03   1.34003447e-01   
155     3.58498064e-03   1.39355205e-01   
156     3.61187335e-03   1.45724290e-01   
157     3.63876606e-03   1.53037744e-01   
158     3.66565877e-03   1.61217730e-01   
159     3.69255148e-03   1.70182221e-01   
160     3.71944419e-03   1.79845707e-01   
161     3.74633690e-03   1.90119901e-01   
162     3.77322962e-03   2.00914453e-01   
163     3.80012233e-03   2.12137654e-01   
164     3.85390775e-03   2.35500551e-01   
165     3.90769317e-03   2.59473902e-01   
166     3.96147859e-03   2.83344133e-01   
167     4.06904944e-03   3.28139459e-01   
168     4.16043445e-03   3.60321850e-01   
169     4.23171152e-03   3.80192961e-01   
170     4.29491240e-03   3.93368553e-01   
171     4.35811329e-03   4.02092220e-01   
172     4.42131417e-03   4.06296060e-01   
173     4.48451506e-03   4.06092780e-01   
174     4.54771595e-03   4.01760230e-01   
175     4.61091683e-03   3.93720444e-01   
176     4.67411772e-03   3.82514334e-01   
177     4.73731860e-03   3.68773295e-01   
178     4.80051949e-03   3.53189009e-01   
179     4.86372037e-03   3.36482758e-01   
180     4.92692126e-03   3.19375445e-01   
181     5.05332303e-03   2.86673492e-01   
182     5.14159321e-03   2.67092766e-01   
183     5.22986339e-03   2.51633529e-01   
184     5.30093090e-03   2.42747419e-01   
185     5.36419697e-03   2.37713540e-01   
186     5.42746303e-03   2.35424773e-01   
187     5.49072910e-03   2.35802355e-01   
188     5.55399517e-03   2.38668053e-01   
189     5.61726123e-03   2.43757231e-01   
190     5.68052730e-03   2.50734497e-01   
191     5.74379336e-03   2.59211166e-01   
192     5.80705943e-03   2.68763726e-01   
193     5.87032550e-03   2.78952545e-01   
194     5.99685763e-03   2.99507734e-01   
195     6.00000000e-03   3.00000000e-01   
End of Xyce(TM) Simulation
