Index        TIME        {20.0 + V(30)}
146     2.17164585e-04   3.06985190e+01   
147     2.18745082e-04   3.13877960e+01   
148     2.20325580e-04   3.19901033e+01   
149     2.21906077e-04   3.24741734e+01   
150     2.23486575e-04   3.28504289e+01   
151     2.25067073e-04   3.30947860e+01   
152     2.26647570e-04   3.32152727e+01   
153     2.28228068e-04   3.31952196e+01   
154     2.29808565e-04   3.30401832e+01   
155     2.31915896e-04   3.26159303e+01   
156     2.34023226e-04   3.19403615e+01   
157     2.36130556e-04   3.10089387e+01   
158     2.37700281e-04   3.01713702e+01   
159     2.39270005e-04   2.92060579e+01   
160     2.40839730e-04   2.81153989e+01   
161     2.42409455e-04   2.69267336e+01   
162     2.43979180e-04   2.56377556e+01   
163     2.45548904e-04   2.42555228e+01   
164     2.47118629e-04   2.28082216e+01   
165     2.48688354e-04   2.12998915e+01   
166     2.50258079e-04   1.97421181e+01   
167     2.50477554e-04   1.95222213e+01   
168     2.50697029e-04   1.93017785e+01   
169     2.50916504e-04   1.90808286e+01   
170     2.51355455e-04   1.86377472e+01   
171     2.51794405e-04   1.81932904e+01   
172     2.52233355e-04   1.77478029e+01   
173     2.53111256e-04   1.68553071e+01   
174     2.53989157e-04   1.59631445e+01   
175     2.54867058e-04   1.50742145e+01   
176     2.55744959e-04   1.41916198e+01   
177     2.56622859e-04   1.33182508e+01   
178     2.57500760e-04   1.24570623e+01   
179     2.59256562e-04   1.07829190e+01   
180     2.61012364e-04   9.19276533e+00   
181     2.62768165e-04   7.71016416e+00   
182     2.64523967e-04   6.35288402e+00   
183     2.66279768e-04   5.14475103e+00   
184     2.68035570e-04   4.10774772e+00   
185     2.69791372e-04   3.24582669e+00   
186     2.71547173e-04   2.58354617e+00   
187     2.73302975e-04   2.13902512e+00   
188     2.75058777e-04   1.89941427e+00   
189     2.76814578e-04   1.88725662e+00   
190     2.78570380e-04   2.11403509e+00   
191     2.80326181e-04   2.55215975e+00   
