Index   TIME           V(IN)           V(OUT)           
92      1.10327934e-09   5.00000000e+00   5.05701583e-01   
93      1.10331490e-09   5.00000000e+00   5.05464694e-01   
94      1.10336972e-09   5.00000000e+00   5.05099856e-01   
95      1.10344223e-09   5.00000000e+00   5.04618126e-01   
96      1.10358725e-09   5.00000000e+00   5.03657377e-01   
97      1.10387729e-09   5.00000000e+00   5.01746734e-01   
98      1.10445736e-09   5.00000000e+00   4.97968892e-01   
99      1.10561750e-09   5.00000000e+00   4.90586888e-01   
100     1.10627074e-09   5.00000000e+00   4.86531940e-01   
101     1.10659355e-09   5.00000000e+00   4.84555106e-01   
102     1.10677771e-09   5.00000000e+00   4.83435298e-01   
103     1.10691583e-09   5.00000000e+00   4.82599243e-01   
104     1.10705395e-09   5.00000000e+00   4.81766443e-01   
105     1.10733020e-09   5.00000000e+00   4.80110599e-01   
106     1.10769940e-09   5.00000000e+00   4.77917818e-01   
107     1.10843781e-09   5.00000000e+00   4.73601574e-01   
108     1.10991462e-09   5.00000000e+00   4.65244042e-01   
109     1.11201898e-09   5.00000000e+00   4.54269346e-01   
110     1.11320267e-09   5.00000000e+00   4.49909185e-01   
111     1.11399113e-09   5.00000000e+00   4.47049309e-01   
112     1.11457293e-09   5.00000000e+00   4.44960162e-01   
113     1.11515472e-09   5.00000000e+00   4.42888961e-01   
114     1.11573652e-09   5.00000000e+00   4.40835989e-01   
115     1.11690012e-09   5.00000000e+00   4.36786196e-01   
116     1.11922732e-09   5.00000000e+00   4.28917818e-01   
117     1.12388171e-09   5.00000000e+00   4.14132431e-01   
118     1.12853610e-09   5.00000000e+00   4.00619727e-01   
119     1.13088502e-09   5.00000000e+00   3.94281235e-01   
120     1.13257060e-09   5.00000000e+00   3.89930022e-01   
121     1.13425617e-09   5.00000000e+00   3.85740870e-01   
122     1.13594175e-09   5.00000000e+00   3.81710990e-01   
123     1.13931290e-09   5.00000000e+00   3.74112660e-01   
124     1.14411465e-09   5.00000000e+00   3.64304633e-01   
125     1.15039766e-09   5.00000000e+00   3.53142921e-01   
126     1.15668066e-09   5.00000000e+00   3.43720755e-01   
127     1.16544876e-09   5.00000000e+00   3.33100753e-01   
128     1.17202483e-09   5.00000000e+00   3.26880726e-01   
129     1.17686160e-09   5.00000000e+00   3.23164929e-01   
130     1.18048918e-09   5.00000000e+00   3.20820990e-01   
131     1.18411676e-09   5.00000000e+00   3.18834622e-01   
132     1.18774434e-09   5.00000000e+00   3.17183239e-01   
133     1.19137191e-09   5.00000000e+00   3.15837746e-01   
134     1.19499949e-09   5.00000000e+00   3.14765355e-01   
135     1.19862707e-09   5.00000000e+00   3.13932440e-01   
136     1.20337743e-09   5.00000000e+00   3.13145527e-01   
137     1.20812779e-09   5.00000000e+00   3.12643266e-01   
138     1.21287815e-09   5.00000000e+00   3.12359380e-01   
139     1.21762851e-09   5.00000000e+00   3.12227894e-01   
