Index       V(G)              V(D)             I(V_D)            I(V_G)            I(V_S)      
0       -1.00000000e+00    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
1       -9.90000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
2       -9.80000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
3       -9.70000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
4       -9.60000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
5       -9.50000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
6       -9.40000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
7       -9.30000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
8       -9.20000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
9       -9.10000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
10      -9.00000000e-01    5.00000000e-02    5.00000000e-17    0.00000000e+00   -5.00000000e-17
11      -8.90000000e-01    5.00000000e-02    5.00000001e-17    0.00000000e+00   -5.00000001e-17
12      -8.80000000e-01    5.00000000e-02    5.00000001e-17    0.00000000e+00   -5.00000001e-17
13      -8.70000000e-01    5.00000000e-02    5.00000001e-17    0.00000000e+00   -5.00000001e-17
14      -8.60000000e-01    5.00000000e-02    5.00000002e-17    0.00000000e+00   -5.00000002e-17
15      -8.50000000e-01    5.00000000e-02    5.00000002e-17    0.00000000e+00   -5.00000002e-17
16      -8.40000000e-01    5.00000000e-02    5.00000003e-17    0.00000000e+00   -5.00000003e-17
17      -8.30000000e-01    5.00000000e-02    5.00000005e-17    0.00000000e+00   -5.00000005e-17
18      -8.20000000e-01    5.00000000e-02    5.00000006e-17    0.00000000e+00   -5.00000006e-17
19      -8.10000000e-01    5.00000000e-02    5.00000009e-17    0.00000000e+00   -5.00000009e-17
20      -8.00000000e-01    5.00000000e-02    5.00000013e-17    0.00000000e+00   -5.00000013e-17
21      -7.90000000e-01    5.00000000e-02    5.00000018e-17    0.00000000e+00   -5.00000018e-17
22      -7.80000000e-01    5.00000000e-02    5.00000026e-17    0.00000000e+00   -5.00000026e-17
23      -7.70000000e-01    5.00000000e-02    5.00000036e-17    0.00000000e+00   -5.00000036e-17
24      -7.60000000e-01    5.00000000e-02    5.00000051e-17    0.00000000e+00   -5.00000051e-17
25      -7.50000000e-01    5.00000000e-02    5.00000072e-17    0.00000000e+00   -5.00000072e-17
26      -7.40000000e-01    5.00000000e-02    5.00000102e-17    0.00000000e+00   -5.00000102e-17
27      -7.30000000e-01    5.00000000e-02    5.00000144e-17    0.00000000e+00   -5.00000144e-17
28      -7.20000000e-01    5.00000000e-02    5.00000204e-17    0.00000000e+00   -5.00000204e-17
29      -7.10000000e-01    5.00000000e-02    5.00000288e-17    0.00000000e+00   -5.00000288e-17
30      -7.00000000e-01    5.00000000e-02    5.00000408e-17    0.00000000e+00   -5.00000408e-17
31      -6.90000000e-01    5.00000000e-02    5.00000577e-17    0.00000000e+00   -5.00000577e-17
32      -6.80000000e-01    5.00000000e-02    5.00000815e-17    0.00000000e+00   -5.00000815e-17
33      -6.70000000e-01    5.00000000e-02    5.00001153e-17    0.00000000e+00   -5.00001153e-17
34      -6.60000000e-01    5.00000000e-02    5.00001630e-17    0.00000000e+00   -5.00001630e-17
35      -6.50000000e-01    5.00000000e-02    5.00002305e-17    0.00000000e+00   -5.00002305e-17
36      -6.40000000e-01    5.00000000e-02    5.00003259e-17    0.00000000e+00   -5.00003259e-17
37      -6.30000000e-01    5.00000000e-02    5.00004609e-17    0.00000000e+00   -5.00004609e-17
38      -6.20000000e-01    5.00000000e-02    5.00006517e-17    0.00000000e+00   -5.00006517e-17
39      -6.10000000e-01    5.00000000e-02    5.00009216e-17    0.00000000e+00   -5.00009216e-17
40      -6.00000000e-01    5.00000000e-02    5.00013033e-17    0.00000000e+00   -5.00013033e-17
41      -5.90000000e-01    5.00000000e-02    5.00018431e-17    0.00000000e+00   -5.00018431e-17
42      -5.80000000e-01    5.00000000e-02    5.00026064e-17    0.00000000e+00   -5.00026064e-17
43      -5.70000000e-01    5.00000000e-02    5.00036860e-17    0.00000000e+00   -5.00036860e-17
44      -5.60000000e-01    5.00000000e-02    5.00052130e-17    0.00000000e+00   -5.00052130e-17
45      -5.50000000e-01    5.00000000e-02    5.00073725e-17    0.00000000e+00   -5.00073725e-17
46      -5.40000000e-01    5.00000000e-02    5.00104270e-17    0.00000000e+00   -5.00104270e-17
47      -5.30000000e-01    5.00000000e-02    5.00147472e-17    0.00000000e+00   -5.00147472e-17
48      -5.20000000e-01    5.00000000e-02    5.00208578e-17    0.00000000e+00   -5.00208578e-17
49      -5.10000000e-01    5.00000000e-02    5.00295010e-17    0.00000000e+00   -5.00295010e-17
50      -5.00000000e-01    5.00000000e-02    5.00417267e-17    0.00000000e+00   -5.00417267e-17
51      -4.90000000e-01    5.00000000e-02    5.00590201e-17    0.00000000e+00   -5.00590201e-17
52      -4.80000000e-01    5.00000000e-02    5.00834823e-17    0.00000000e+00   -5.00834823e-17
53      -4.70000000e-01    5.00000000e-02    5.01180860e-17    0.00000000e+00   -5.01180860e-17
54      -4.60000000e-01    5.00000000e-02    5.01670365e-17    0.00000000e+00   -5.01670365e-17
55      -4.50000000e-01    5.00000000e-02    5.02362834e-17    0.00000000e+00   -5.02362834e-17
56      -4.40000000e-01    5.00000000e-02    5.03342443e-17    0.00000000e+00   -5.03342443e-17
57      -4.30000000e-01    5.00000000e-02    5.04728287e-17    0.00000000e+00   -5.04728287e-17
58      -4.20000000e-01    5.00000000e-02    5.06688869e-17    0.00000000e+00   -5.06688869e-17
59      -4.10000000e-01    5.00000000e-02    5.09462601e-17    0.00000000e+00   -5.09462601e-17
60      -4.00000000e-01    5.00000000e-02    5.13386819e-17    0.00000000e+00   -5.13386819e-17
61      -3.90000000e-01    5.00000000e-02    5.18938836e-17    0.00000000e+00   -5.18938836e-17
62      -3.80000000e-01    5.00000000e-02    5.26794041e-17    0.00000000e+00   -5.26794041e-17
63      -3.70000000e-01    5.00000000e-02    5.37908117e-17    0.00000000e+00   -5.37908117e-17
64      -3.60000000e-01    5.00000000e-02    5.53633392e-17    0.00000000e+00   -5.53633392e-17
65      -3.50000000e-01    5.00000000e-02    5.75883505e-17    0.00000000e+00   -5.75883505e-17
66      -3.40000000e-01    5.00000000e-02    6.07366446e-17    0.00000000e+00   -6.07366446e-17
67      -3.30000000e-01    5.00000000e-02    6.51914368e-17    0.00000000e+00   -6.51914368e-17
68      -3.20000000e-01    5.00000000e-02    7.14950376e-17    0.00000000e+00   -7.14950376e-17
69      -3.10000000e-01    5.00000000e-02    8.04149185e-17    0.00000000e+00   -8.04149185e-17
70      -3.00000000e-01    5.00000000e-02    9.30372188e-17    0.00000000e+00   -9.30372188e-17
71      -2.90000000e-01    5.00000000e-02    1.10899094e-16    0.00000000e+00   -1.10899094e-16
72      -2.80000000e-01    5.00000000e-02    1.36176047e-16    0.00000000e+00   -1.36176047e-16
73      -2.70000000e-01    5.00000000e-02    1.71947079e-16    0.00000000e+00   -1.71947079e-16
74      -2.60000000e-01    5.00000000e-02    2.22570013e-16    0.00000000e+00   -2.22570013e-16
75      -2.50000000e-01    5.00000000e-02    2.94212766e-16    0.00000000e+00   -2.94212766e-16
76      -2.40000000e-01    5.00000000e-02    3.95605375e-16    0.00000000e+00   -3.95605375e-16
77      -2.30000000e-01    5.00000000e-02    5.39104556e-16    0.00000000e+00   -5.39104556e-16
78      -2.20000000e-01    5.00000000e-02    7.42200675e-16    0.00000000e+00   -7.42200675e-16
79      -2.10000000e-01    5.00000000e-02    1.02965106e-15    0.00000000e+00   -1.02965106e-15
80      -2.00000000e-01    5.00000000e-02    1.43650004e-15    0.00000000e+00   -1.43650004e-15
81      -1.90000000e-01    5.00000000e-02    2.01235435e-15    0.00000000e+00   -2.01235435e-15
82      -1.80000000e-01    5.00000000e-02    2.82743588e-15    0.00000000e+00   -2.82743588e-15
83      -1.70000000e-01    5.00000000e-02    3.98115080e-15    0.00000000e+00   -3.98115080e-15
84      -1.60000000e-01    5.00000000e-02    5.61422147e-15    0.00000000e+00   -5.61422147e-15
85      -1.50000000e-01    5.00000000e-02    7.92586278e-15    0.00000000e+00   -7.92586278e-15
86      -1.40000000e-01    5.00000000e-02    1.11981009e-14    0.00000000e+00   -1.11981009e-14
87      -1.30000000e-01    5.00000000e-02    1.58302049e-14    0.00000000e+00   -1.58302049e-14
88      -1.20000000e-01    5.00000000e-02    2.23874385e-14    0.00000000e+00   -2.23874385e-14
89      -1.10000000e-01    5.00000000e-02    3.16700872e-14    0.00000000e+00   -3.16700872e-14
90      -1.00000000e-01    5.00000000e-02    4.48111978e-14    0.00000000e+00   -4.48111978e-14
91      -9.00000000e-02    5.00000000e-02    6.34149733e-14    0.00000000e+00   -6.34149733e-14
92      -8.00000000e-02    5.00000000e-02    8.97527399e-14    0.00000000e+00   -8.97527399e-14
93      -7.00000000e-02    5.00000000e-02    1.27040440e-13    0.00000000e+00   -1.27040440e-13
94      -6.00000000e-02    5.00000000e-02    1.79831579e-13    0.00000000e+00   -1.79831579e-13
95      -5.00000000e-02    5.00000000e-02    2.54573661e-13    0.00000000e+00   -2.54573661e-13
96      -4.00000000e-02    5.00000000e-02    3.60396167e-13    0.00000000e+00   -3.60396167e-13
97      -3.00000000e-02    5.00000000e-02    5.10226433e-13    0.00000000e+00   -5.10226433e-13
98      -2.00000000e-02    5.00000000e-02    7.22369900e-13    0.00000000e+00   -7.22369900e-13
99      -1.00000000e-02    5.00000000e-02    1.02274805e-12    0.00000000e+00   -1.02274805e-12
100      0.00000000e+00    5.00000000e-02    1.44806777e-12    0.00000000e+00   -1.44806777e-12
101      1.00000000e-02    5.00000000e-02    2.05030992e-12    0.00000000e+00   -2.05030992e-12
102      2.00000000e-02    5.00000000e-02    2.90308633e-12    0.00000000e+00   -2.90308633e-12
103      3.00000000e-02    5.00000000e-02    4.11064303e-12    0.00000000e+00   -4.11064303e-12
104      4.00000000e-02    5.00000000e-02    5.82061169e-12    0.00000000e+00   -5.82061169e-12
105      5.00000000e-02    5.00000000e-02    8.24206977e-12    0.00000000e+00   -8.24206977e-12
106      6.00000000e-02    5.00000000e-02    1.16711201e-11    0.00000000e+00   -1.16711201e-11
107      7.00000000e-02    5.00000000e-02    1.65271215e-11    0.00000000e+00   -1.65271215e-11
108      8.00000000e-02    5.00000000e-02    2.34040046e-11    0.00000000e+00   -2.34040046e-11
109      9.00000000e-02    5.00000000e-02    3.31429585e-11    0.00000000e+00   -3.31429585e-11
110      1.00000000e-01    5.00000000e-02    4.69353846e-11    0.00000000e+00   -4.69353846e-11
111      1.10000000e-01    5.00000000e-02    6.64687275e-11    0.00000000e+00   -6.64687275e-11
112      1.20000000e-01    5.00000000e-02    9.41330398e-11    0.00000000e+00   -9.41330398e-11
113      1.30000000e-01    5.00000000e-02    1.33313577e-10    0.00000000e+00   -1.33313577e-10
114      1.40000000e-01    5.00000000e-02    1.88805257e-10    0.00000000e+00   -1.88805257e-10
115      1.50000000e-01    5.00000000e-02    2.67399739e-10    0.00000000e+00   -2.67399739e-10
116      1.60000000e-01    5.00000000e-02    3.78717019e-10    0.00000000e+00   -3.78717019e-10
117      1.70000000e-01    5.00000000e-02    5.36383369e-10    0.00000000e+00   -5.36383369e-10
118      1.80000000e-01    5.00000000e-02    7.59699843e-10    0.00000000e+00   -7.59699843e-10
119      1.90000000e-01    5.00000000e-02    1.07600557e-09    0.00000000e+00   -1.07600557e-09
120      2.00000000e-01    5.00000000e-02    1.52402503e-09    0.00000000e+00   -1.52402503e-09
121      2.10000000e-01    5.00000000e-02    2.15860860e-09    0.00000000e+00   -2.15860860e-09
122      2.20000000e-01    5.00000000e-02    3.05744570e-09    0.00000000e+00   -3.05744570e-09
123      2.30000000e-01    5.00000000e-02    4.33056981e-09    0.00000000e+00   -4.33056981e-09
124      2.40000000e-01    5.00000000e-02    6.13381363e-09    0.00000000e+00   -6.13381363e-09
125      2.50000000e-01    5.00000000e-02    8.68784974e-09    0.00000000e+00   -8.68784974e-09
126      2.60000000e-01    5.00000000e-02    1.23051238e-08    0.00000000e+00   -1.23051238e-08
127      2.70000000e-01    5.00000000e-02    1.74279266e-08    0.00000000e+00   -1.74279266e-08
128      2.80000000e-01    5.00000000e-02    2.46821648e-08    0.00000000e+00   -2.46821648e-08
129      2.90000000e-01    5.00000000e-02    3.49532028e-08    0.00000000e+00   -3.49532028e-08
130      3.00000000e-01    5.00000000e-02    4.94926449e-08    0.00000000e+00   -4.94926449e-08
131      3.10000000e-01    5.00000000e-02    7.00682889e-08    0.00000000e+00   -7.00682889e-08
132      3.20000000e-01    5.00000000e-02    9.91739405e-08    0.00000000e+00   -9.91739405e-08
133      3.30000000e-01    5.00000000e-02    1.40321470e-07    0.00000000e+00   -1.40321470e-07
134      3.40000000e-01    5.00000000e-02    1.98444386e-07    0.00000000e+00   -1.98444386e-07
135      3.50000000e-01    5.00000000e-02    2.80449761e-07    0.00000000e+00   -2.80449761e-07
136      3.60000000e-01    5.00000000e-02    3.95962054e-07    0.00000000e+00   -3.95962054e-07
137      3.70000000e-01    5.00000000e-02    5.58304902e-07    0.00000000e+00   -5.58304902e-07
138      3.80000000e-01    5.00000000e-02    7.85759211e-07    0.00000000e+00   -7.85759211e-07
139      3.90000000e-01    5.00000000e-02    1.10310831e-06    0.00000000e+00   -1.10310831e-06
140      4.00000000e-01    5.00000000e-02    1.54342183e-06    0.00000000e+00   -1.54342183e-06
141      4.10000000e-01    5.00000000e-02    2.14993100e-06    0.00000000e+00   -2.14993100e-06
142      4.20000000e-01    5.00000000e-02    2.97771659e-06    0.00000000e+00   -2.97771659e-06
143      4.30000000e-01    5.00000000e-02    4.09480392e-06    0.00000000e+00   -4.09480392e-06
144      4.40000000e-01    5.00000000e-02    5.58220513e-06    0.00000000e+00   -5.58220513e-06
