Index    V(BASE)    V(COLL)    I(V_COLL)    I(V_BASE)
37    1.0400000000E+00    1.0000000000E+00    1.1001369460E-01    7.4859764000E-03
0    3.0000000000E-01    1.5000000000E+00    1.3802847800E-11    -7.8827222530E-13
1    3.2000000000E-01    1.5000000000E+00    2.6737390100E-11    -6.1792237990E-13
2    3.4000000000E-01    1.5000000000E+00    5.4787396800E-11    -2.9547198020E-13
3    3.6000000000E-01    1.5000000000E+00    1.1558898280E-10    3.5654812430E-13
4    3.8000000000E-01    1.5000000000E+00    2.4735691270E-10    1.7226706000E-12
5    4.0000000000E-01    1.5000000000E+00    5.3289384020E-10    4.6360971000E-12
6    4.2000000000E-01    1.5000000000E+00    1.1516157000E-09    1.0902223600E-11
7    4.4000000000E-01    1.5000000000E+00    2.4922798000E-09    2.4432872300E-11
8    4.6000000000E-01    1.5000000000E+00    5.3972422000E-09    5.3704387800E-11
9    4.8000000000E-01    1.5000000000E+00    1.1691713400E-08    1.1708296690E-10
10    5.0000000000E-01    1.5000000000E+00    2.5330551800E-08    2.5436467520E-10
11    5.2000000000E-01    1.5000000000E+00    5.4883138500E-08    5.5178008960E-10
12    5.4000000000E-01    1.5000000000E+00    1.1891767440E-07    1.1961761000E-09
13    5.6000000000E-01    1.5000000000E+00    2.5766816440E-07    2.5924269000E-09
14    5.8000000000E-01    1.5000000000E+00    5.5831575030E-07    5.6178803000E-09
15    6.0000000000E-01    1.5000000000E+00    1.2097737000E-06    1.2173880300E-08
16    6.2000000000E-01    1.5000000000E+00    2.6214168000E-06    2.6381640400E-08
17    6.4000000000E-01    1.5000000000E+00    5.6804225000E-06    5.7177176100E-08
18    6.6000000000E-01    1.5000000000E+00    1.2309643100E-05    1.2395040890E-07
19    6.8000000000E-01    1.5000000000E+00    2.6677160500E-05    2.6883618430E-07
20    7.0000000000E-01    1.5000000000E+00    5.7818390400E-05    5.8366295010E-07
21    7.2000000000E-01    1.5000000000E+00    1.2531259010E-04    1.2697271000E-06
22    7.4000000000E-01    1.5000000000E+00    2.7150799380E-04    2.7733198000E-06
23    7.6000000000E-01    1.5000000000E+00    5.8742825410E-04    6.1053454000E-06
24    7.8000000000E-01    1.5000000000E+00    1.2652027000E-03    1.3644451300E-05
25    8.0000000000E-01    1.5000000000E+00    2.6914578000E-03    3.1330187000E-05
26    8.2000000000E-01    1.5000000000E+00    5.5594742000E-03    7.5068554700E-05
27    8.4000000000E-01    1.5000000000E+00    1.0826655000E-02    1.8876884240E-04
28    8.6000000000E-01    1.5000000000E+00    1.9153439100E-02    4.8076168890E-04
29    8.8000000000E-01    1.5000000000E+00    2.9919886800E-02    1.1315302000E-03
30    9.0000000000E-01    1.5000000000E+00    4.1358455500E-02    2.2710049000E-03
31    9.2000000000E-01    1.5000000000E+00    5.2146945600E-02    3.8753675000E-03
32    9.4000000000E-01    1.5000000000E+00    6.1931553200E-02    5.8478847000E-03
33    9.6000000000E-01    1.5000000000E+00    7.0804235900E-02    8.1012313000E-03
34    9.8000000000E-01    1.5000000000E+00    7.8944211200E-02    1.0572756200E-02
35    1.0000000000E+00    1.5000000000E+00    8.6512172300E-02    1.3218179600E-02
36    1.0200000000E+00    1.5000000000E+00    9.3634498500E-02    1.6004864400E-02
37    1.0400000000E+00    1.5000000000E+00    1.0040838210E-01    1.8907513100E-02
End of Xyce(TM) Parameter Sweep
