Index       TIME             V(BASE)           V(COLL)          I(V_COLL)         I(V_BASE)    
0        0.00000000e+00    3.00000000e-01    5.00000000e-01    1.18027864e-11    2.11721164e-13
1        1.00000000e-03    3.00750000e-01    5.00000000e-01    1.21046902e-11    2.55319359e-13
2        3.00000000e-03    3.02250000e-01    5.00000000e-01    1.27903313e-11    2.65236754e-13
3        7.00000000e-03    3.05250000e-01    5.00000000e-01    1.42768572e-11    2.86234170e-13
4        1.50000000e-02    3.11250000e-01    5.00000000e-01    1.78220012e-11    3.33976772e-13
5        3.10000000e-02    3.23250000e-01    5.00000000e-01    2.79358306e-11    4.59895719e-13
6        6.30000000e-02    3.47250000e-01    5.00000000e-01    6.96254966e-11    9.27687927e-13
7        1.27000000e-01    3.95250000e-01    5.00000000e-01    4.41912037e-10    4.77042576e-12
8        2.27000000e-01    4.70250000e-01    5.00000000e-01    8.01865364e-09    8.11626327e-11
9        3.27000000e-01    5.45250000e-01    5.00000000e-01    1.45675718e-07    1.46649751e-09
10       4.27000000e-01    6.20250000e-01    5.00000000e-01    2.64645963e-06    2.66321927e-08
11       4.84135834e-01    6.63101876e-01    5.00000000e-01    1.38680055e-05    1.39583989e-07
12       5.03420379e-01    6.77565284e-01    5.00000000e-01    2.42494298e-05    2.44121020e-07
13       5.22704924e-01    6.92028693e-01    5.00000000e-01    4.23894098e-05    4.26879788e-07
14       5.41989468e-01    7.06492101e-01    5.00000000e-01    7.40589406e-05    7.46240366e-07
15       5.61274013e-01    7.20955510e-01    5.00000000e-01    1.29263813e-04    1.30382501e-06
16       5.78630103e-01    7.33972577e-01    5.00000000e-01    2.13089183e-04    2.15264703e-06
17       5.93901451e-01    7.45426088e-01    5.00000000e-01    3.30186640e-04    3.34274924e-06
18       6.06601884e-01    7.54951413e-01    5.00000000e-01    4.74293202e-04    4.81433525e-06
19       6.17157615e-01    7.62868211e-01    5.00000000e-01    6.39574916e-04    6.51163784e-06
20       6.26215648e-01    7.69661736e-01    5.00000000e-01    8.25004678e-04    8.42789520e-06
21       6.34223973e-01    7.75667980e-01    5.00000000e-01    1.03125764e-03    1.05743056e-05
22       6.41431466e-01    7.81073599e-01    5.00000000e-01    1.25821957e-03    1.29544281e-05
23       6.47918209e-01    7.85938657e-01    5.00000000e-01    1.50211417e-03    1.55333636e-05
24       6.53756278e-01    7.90317209e-01    5.00000000e-01    1.75871607e-03    1.82704018e-05
25       6.59010540e-01    7.94257905e-01    5.00000000e-01    2.02366153e-03    2.11219505e-05
26       6.64264802e-01    7.98198602e-01    5.00000000e-01    2.32452160e-03    2.43914374e-05
27       6.69519065e-01    8.02139298e-01    5.00000000e-01    2.66501352e-03    2.81318339e-05
28       6.74773327e-01    8.06079995e-01    5.00000000e-01    3.04893924e-03    3.24005113e-05
29       6.80027589e-01    8.10020692e-01    5.00000000e-01    3.48011271e-03    3.72590212e-05
30       6.85281851e-01    8.13961388e-01    5.00000000e-01    3.96227545e-03    4.27727228e-05
31       6.90536113e-01    8.17902085e-01    5.00000000e-01    4.49900372e-03    4.90102486e-05
32       6.95790375e-01    8.21842781e-01    5.00000000e-01    5.09361173e-03    5.60428063e-05
33       7.01044637e-01    8.25783478e-01    5.00000000e-01    5.74905681e-03    6.39433256e-05
34       7.06298899e-01    8.29724175e-01    5.00000000e-01    6.46785249e-03    7.27854679e-05
35       7.11553162e-01    8.33664871e-01    5.00000000e-01    7.25199548e-03    8.26425246e-05
36       7.16807424e-01    8.37605568e-01    5.00000000e-01    8.10291149e-03    9.35862373e-05
37       7.22061686e-01    8.41546264e-01    5.00000000e-01    9.02142319e-03    1.05685575e-04
38       7.27315948e-01    8.45486961e-01    5.00000000e-01    1.00077418e-02    1.19005507e-04
39       7.32570210e-01    8.49427658e-01    5.00000000e-01    1.10614698e-02    1.33605692e-04
40       7.37824472e-01    8.53368354e-01    5.00000000e-01    1.21816939e-02    1.49539869e-04
41       7.43078734e-01    8.57309051e-01    5.00000000e-01    1.33669112e-02    1.66853673e-04
42       7.53587259e-01    8.65190444e-01    5.00000000e-01    1.59244390e-02    2.05762826e-04
43       7.74604307e-01    8.80953230e-01    5.00000000e-01    2.17146611e-02    3.01147927e-04
44       7.92413481e-01    8.94310111e-01    5.00000000e-01    2.72083911e-02    3.99833557e-04
45       8.02484889e-01    9.01863667e-01    5.00000000e-01    3.05055927e-02    4.62211101e-04
46       8.12556297e-01    9.09417223e-01    5.00000000e-01    3.39153063e-02    5.28689457e-04
47       8.21620564e-01    9.16215423e-01    5.00000000e-01    3.70654180e-02    5.91479237e-04
48       8.29778404e-01    9.22333803e-01    5.00000000e-01    3.99563103e-02    6.49909813e-04
49       8.37936245e-01    9.28452184e-01    5.00000000e-01    4.28920707e-02    7.09694196e-04
50       8.45278301e-01    9.33958726e-01    5.00000000e-01    4.55669029e-02    7.64260535e-04
51       8.52620357e-01    9.39465268e-01    5.00000000e-01    4.82679636e-02    8.19166156e-04
52       8.59962414e-01    9.44971810e-01    5.00000000e-01    5.09911700e-02    8.74031536e-04
53       8.67304470e-01    9.50478353e-01    5.00000000e-01    5.37328327e-02    9.28469954e-04
54       8.74646527e-01    9.55984895e-01    5.00000000e-01    5.64896091e-02    9.82091916e-04
55       8.81988583e-01    9.61491437e-01    5.00000000e-01    5.92584557e-02    1.03450960e-03
56       8.89330639e-01    9.66997979e-01    5.00000000e-01    6.20365794e-02    1.08534139e-03
57       8.96672696e-01    9.72504522e-01    5.00000000e-01    6.48213888e-02    1.13421648e-03
58       9.04014752e-01    9.78011064e-01    5.00000000e-01    6.76104422e-02    1.18077986e-03
59       9.11356808e-01    9.83517606e-01    5.00000000e-01    7.04013935e-02    1.22469760e-03
60       9.18698865e-01    9.89024148e-01    5.00000000e-01    7.31919304e-02    1.26566302e-03
61       9.26040921e-01    9.94530691e-01    5.00000000e-01    7.59797032e-02    1.30340383e-03
62       9.32648772e-01    9.99486579e-01    5.00000000e-01    7.84842938e-02    1.33442325e-03
63       9.39256622e-01    1.00444247e+00    5.00000000e-01    8.09826793e-02    1.36251446e-03
64       9.45864473e-01    1.00939835e+00    5.00000000e-01    8.34726445e-02    1.38759533e-03
65       9.52472324e-01    1.01435424e+00    5.00000000e-01    8.59516280e-02    1.40963498e-03
66       9.59080175e-01    1.01931013e+00    5.00000000e-01    8.84165445e-02    1.42868073e-03
67       9.65688025e-01    1.02426602e+00    5.00000000e-01    9.08636127e-02    1.44486726e-03
68       9.72295876e-01    1.02922191e+00    5.00000000e-01    9.32880701e-02    1.45845606e-03
69       9.78903727e-01    1.03417780e+00    5.00000000e-01    9.56838757e-02    1.46985963e-03
70       9.85511577e-01    1.03913368e+00    5.00000000e-01    9.80432945e-02    1.47969884e-03
71       9.92119428e-01    1.04408957e+00    5.00000000e-01    1.00356500e-01    1.48884502e-03
72       1.00000000e+00    1.05000000e+00    5.00000000e-01    1.03037468e-01    1.50053024e-03
0        0.00000000e+00    3.00000000e-01    1.00000000e+00    1.28027914e-11   -2.88278836e-13
1        1.00000000e-03    3.00750000e-01    1.00000000e+00    1.31054525e-11   -2.45437807e-13
2        3.00000000e-03    3.02250000e-01    1.00000000e+00    1.37910951e-11   -2.35521693e-13
3        7.00000000e-03    3.05250000e-01    1.00000000e+00    1.52776255e-11   -2.14528090e-13
4        1.50000000e-02    3.11250000e-01    1.00000000e+00    1.88227750e-11   -1.66789332e-13
5        3.10000000e-02    3.23250000e-01    1.00000000e+00    2.89366205e-11   -4.08819807e-14
6        6.30000000e-02    3.47250000e-01    1.00000000e+00    7.06263253e-11    4.26890399e-13
7        1.27000000e-01    3.95250000e-01    1.00000000e+00    4.42913090e-10    4.26958284e-12
