Index    V(COLL)    V(BASE)    I(V_COLL)    I(V_BASE)
34    1.7000000000E+00    6.5000000000E-01    8.3627786000E-06    8.4194455500E-08
35    1.7500000000E+00    6.5000000000E-01    8.3629744000E-06    8.4197671300E-08
36    1.8000000000E+00    6.5000000000E-01    8.3631701000E-06    8.4200887400E-08
37    1.8500000000E+00    6.5000000000E-01    8.3633659000E-06    8.4204103900E-08
38    1.9000000000E+00    6.5000000000E-01    8.3635616000E-06    8.4207320500E-08
39    1.9500000000E+00    6.5000000000E-01    8.3637574000E-06    8.4210537500E-08
40    2.0000000000E+00    6.5000000000E-01    8.3639532000E-06    8.4213754700E-08
0    0.0000000000E+00    7.0000000000E-01    -1.9442710000E-09    5.8131012960E-07
1    5.0000000000E-02    7.0000000000E-01    4.9210588500E-05    5.7976388200E-07
2    1.0000000000E-01    7.0000000000E-01    5.6378884700E-05    5.7967867830E-07
3    1.5000000000E-01    7.0000000000E-01    5.7424181100E-05    5.7979082980E-07
4    2.0000000000E-01    7.0000000000E-01    5.7582397200E-05    5.7992943590E-07
5    2.5000000000E-01    7.0000000000E-01    5.7612193600E-05    5.8007161590E-07
6    3.0000000000E-01    7.0000000000E-01    5.7623402600E-05    5.8021432930E-07
7    3.5000000000E-01    7.0000000000E-01    5.7631923600E-05    5.8035717500E-07
8    4.0000000000E-01    7.0000000000E-01    5.7640058200E-05    5.8050010100E-07
9    4.5000000000E-01    7.0000000000E-01    5.7648139500E-05    5.8064310050E-07
10    5.0000000000E-01    7.0000000000E-01    5.7656215800E-05    5.8078617270E-07
11    5.5000000000E-01    7.0000000000E-01    5.7664294100E-05    5.8092931760E-07
12    6.0000000000E-01    7.0000000000E-01    5.7672375400E-05    5.8107253510E-07
13    6.5000000000E-01    7.0000000000E-01    5.7680459900E-05    5.8121582550E-07
14    7.0000000000E-01    7.0000000000E-01    5.7688547600E-05    5.8135918860E-07
15    7.5000000000E-01    7.0000000000E-01    5.7696638500E-05    5.8150262460E-07
16    8.0000000000E-01    7.0000000000E-01    5.7704732600E-05    5.8164613360E-07
17    8.5000000000E-01    7.0000000000E-01    5.7712829900E-05    5.8178971550E-07
18    9.0000000000E-01    7.0000000000E-01    5.7720930500E-05    5.8193337050E-07
19    9.5000000000E-01    7.0000000000E-01    5.7729034300E-05    5.8207709870E-07
